bucket,scenario,representative_rx_pos_m,mean_delta_R_EP_norm,P_NI_0,P_NI_epsilon,LP_R_5pct,CP_R_5pct,delta_R_5pct,outage_LP,outage_CP
mild,Mixed office,"(9.5, 6.0, 1.2)",2.8082843490062644e-18,0.5515873015873016,1.0,4.69370274727312e-08,4.693702748303926e-08,1.0308066713284714e-17,0.0500992063492063,0.0500992063492063
moderate,Straight corridor,"(1.0, 0.5, 1.2)",5.4059428283752154e-18,0.5690104166666666,1.0,3.5891946913177986e-08,3.5891946902077004e-08,-1.1100982196143344e-17,0.05078125,0.05078125
rich,Factory-lite,"(6.5, 2.5, 1.2)",-9.644289870011259e-18,0.4195289499509322,1.0,2.343901431694298e-09,2.343901440099329e-09,8.40503059421715e-18,0.0500490677134445,0.0500490677134445
