scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage,raw_total_snr_threshold_db,lp_raw_total_snr_mean_db,cp_raw_total_snr_mean_db,delta_raw_total_snr_mean_db,lp_raw_total_snr_p05_db,cp_raw_total_snr_p05_db,coverage_lp_raw_total_snr,coverage_cp_raw_total_snr,delta_coverage_raw_total_snr,best_port_threshold_db,lp_best_port_snr_mean_db,cp_best_port_snr_mean_db,delta_best_port_snr_mean_db,lp_best_port_outage,cp_best_port_outage,delta_best_port_outage,lp_fixed_single_rate_raw_mean,cp_fixed_single_rate_raw_mean,delta_fixed_single_rate_raw_mean,lp_fixed_single_rate_raw_p05,cp_fixed_single_rate_raw_p05,lp_fixed_egc_rate_raw_mean,cp_fixed_egc_rate_raw_mean,delta_fixed_egc_rate_raw_mean,lp_fixed_egc_rate_raw_p05,cp_fixed_egc_rate_raw_p05,lp_port_power_imbalance_raw_db_mean,cp_port_power_imbalance_raw_db_mean
mixed_office,False,P0,0.0,345,9.350274570294433e-09,9.350274572416787e-09,2.122352848200092e-18,9.350274570294433e-11,0.5478260869565217,1.0,4.858228532805745e-09,4.8582285541619225e-09,2.1356177179034895e-17,-6.101764872845087e-17,4.858228532805745e-09,0.05217391304347826,0.05217391304347826,0.0,0.0,-43.746438727916505,-37.725838814602014,6.020599913314486,-45.94950049229591,-39.928900579057974,0.0,0.0,0.0,0.0,-46.311081476967395,-39.69665620137805,6.614425275589351,1.0,1.0,0.0,4.55691918622973e-05,0.00010105704502278108,5.5487853160483774e-05,2.792037308112839e-05,2.8669414347909044e-05,6.61581522599161e-05,0.0001521742148824235,8.601606262250738e-05,2.5226637594611963e-05,1.808229423267404e-05,-0.4704606488309344,-2.4277988679905635
mixed_office,False,P0,10.0,345,9.350274182354787e-08,9.350274182995915e-08,6.411275450677549e-18,9.350274182354787e-10,0.5739130434782609,1.0,4.8582284756918094e-08,4.8582284732511045e-08,-2.440704923434075e-17,-7.627206111735874e-17,4.8582284756918094e-08,0.05217391304347826,0.05217391304347826,0.0,0.0,-33.746438727916505,-27.725838814602014,6.020599913314485,-35.94950049229591,-29.928900579057967,0.0,0.0,0.0,0.0,-36.311081476967395,-29.696656201378048,6.61442527558935,1.0,1.0,0.0,0.0004555882992152476,0.0010087411663188743,0.0005531528671036266,0.0002791758457757685,0.00028665929304606217,0.0006613530749011826,0.001519566182017363,0.0008582131071161801,0.00025224085834603925,0.00018080568826608445,-0.4704606488309344,-2.4277988679905635
mixed_office,False,P0,20.0,345,9.350270258785674e-07,9.350270259047873e-07,2.621985224959366e-17,9.350270258785674e-09,0.6492753623188405,1.0,4.858227855768981e-07,4.858227854701172e-07,-1.0678089085825815e-16,-9.152635687380024e-17,4.858227855768981e-07,0.05217391304347826,0.05217391304347826,0.0,0.0,-23.746438727916505,-17.72583881460202,6.020599913314485,-25.949500492295915,-19.92890057905797,0.0,0.0,0.0,0.0,-26.3110814769674,-19.696656201378048,6.614425275589351,1.0,1.0,0.0,0.004545573447577033,0.009916788173866983,0.00537121472628995,0.0027889744621477637,0.0028631154627987414,0.006590880399471878,0.0149877257620214,0.008396845362549522,0.002519861447242671,0.0018063346398798639,-0.4704606488309344,-2.4277988679905635
mixed_office,False,P1,0.0,192,1.5115322082604473e-08,1.5115322082525024e-08,-7.944949583889069e-20,1.5115322082604473e-10,0.515625,1.0,2.2477875179231623e-09,2.247787479024412e-09,-3.889875022686706e-17,-6.101764790127025e-17,4.858228532805745e-09,0.2864583333333333,0.2864583333333333,0.0,0.0,-43.49479492109915,-37.47419500772916,6.020599913369982,-49.2803396751078,-43.25973976144257,0.0,0.0,0.0,0.0,-45.65356123319089,-39.74674100877902,5.90682022441187,1.0,1.0,0.0,6.158128906236488e-05,0.00016113907464029764,9.955778557793272e-05,1.0110410768230377e-05,2.9605616596149547e-05,6.121300100017633e-05,0.00020951256772554317,0.00014829956672536681,1.049914676720193e-05,3.409584330808859e-05,0.061702376901234764,-0.1952883699683933
mixed_office,False,P1,10.0,192,1.5115320204206283e-07,1.511532020454792e-07,3.4163530374013323e-18,1.5115320204206283e-09,0.5572916666666666,1.0,2.2477874784116826e-08,2.2477874812337486e-08,2.822065956939808e-17,-9.152644819453987e-17,4.8582284756918094e-08,0.2864583333333333,0.2864583333333333,0.0,0.0,-33.494794921099135,-27.474195007729154,6.020599913369982,-39.2803396751078,-33.25973976144257,0.0,0.0,0.0,0.0,-35.65356123319089,-29.746741008779026,5.906820224411871,1.0,1.0,0.0,0.0006154160282598826,0.0016084176623480202,0.0009930016340881373,0.0001010988863828984,0.0002960074197179899,0.0006116755683442159,0.002088493444937813,0.0014768178765935972,0.00010498552831661805,0.0003408988930328668,0.061702376901234764,-0.1952883699683933
mixed_office,False,P1,20.0,192,1.5115301350070988e-06,1.5115301350253724e-06,1.827345742937483e-17,1.5115301350070988e-08,0.6458333333333334,1.0,2.2477873281531e-07,2.2477873283056441e-07,1.5254401635559907e-17,-9.83922259497423e-17,4.858227855768981e-07,0.2864583333333333,0.2864583333333333,0.0,0.0,-23.494794921099142,-17.474195007729158,6.020599913369984,-29.280339675107793,-23.25973976144257,0.0,0.0,0.0,0.0,-25.653561233190896,-19.746741008779022,5.906820224411871,1.0,1.0,0.0,0.006115221372750521,0.015802934288766776,0.009687712916016255,0.0010104672502775664,0.002955214460455102,0.006072451353633081,0.020278419300885128,0.014205967947252046,0.0010492619722025213,0.003403055605802831,0.061702376901234764,-0.1952883699683933
mixed_office,False,P2,0.0,192,2.6148853095778936e-08,2.6148853098559686e-08,2.780752851853671e-18,2.614885309577894e-10,0.5520833333333334,1.0,2.575373222977265e-09,2.5753732214518234e-09,-1.5254414043269095e-18,-7.62720606624094e-17,4.858228532805745e-09,0.19791666666666666,0.19791666666666666,0.0,0.0,-41.84091813632936,-35.820318223011306,6.020599913318044,-48.67189070701153,-42.651290793529924,0.0,0.0,0.0,0.0,-43.77541785947964,-38.21746231046259,5.5579555490170565,1.0,1.0,0.0,0.0001478393304626021,0.00040451706767175916,0.000256677737209157,6.780847325319214e-06,2.9542993373509836e-05,0.00013308369307093844,0.0003440850514985657,0.00021100135842762734,8.941031093461173e-06,2.92517329541079e-05,0.24712560788507984,-0.031362818849866636
mixed_office,False,P2,10.0,192,2.6148845225610273e-07,2.614884522577712e-07,1.6684499462448175e-18,2.6148845225610275e-09,0.5364583333333334,1.0,2.575373211218e-08,2.5753732115230882e-08,3.0508836358344315e-18,-9.152645911332394e-17,4.8582284756918094e-08,0.19791666666666666,0.19791666666666666,0.0,0.0,-31.84091813632936,-25.82031822301131,6.020599913318044,-38.67189070701153,-32.651290793529924,0.0,0.0,0.0,0.0,-33.77541785947964,-28.217462310462583,5.5579555490170565,1.0,1.0,0.0,0.001474808142843823,0.0039984577063970975,0.002523649563553274,6.780629174668018e-05,0.0002953715555043235,0.0013283517938885512,0.0034264058467606225,0.0020980540528720715,8.940588632440257e-05,0.00029246267384066014,0.24712560788507984,-0.031362818849866636
mixed_office,False,P2,20.0,192,2.6148766501971913e-06,2.614876650211095e-06,1.390391899481875e-17,2.6148766501971914e-08,0.5989583333333334,1.0,2.575372995409858e-07,2.5753729959590167e-07,5.4915845888015664e-17,-1.2203517867376578e-16,4.858227855768981e-07,0.19791666666666666,0.19791666666666666,0.0,0.0,-21.84091813632936,-15.820318223011313,6.020599913318047,-28.671890707011528,-22.651290793529924,0.0,0.0,0.0,0.0,-23.775417859479642,-18.217462310462583,5.5579555490170565,1.0,1.0,0.0,0.014410615519344125,0.03664231736266101,0.02223170184331689,0.0006778448874821452,0.002947905190430147,0.013045585961641843,0.0329491129911517,0.019903527029509857,0.0008936168603117109,0.0029191801732695736,0.24712560788507984,-0.031362818849866636
open_office,False,P0,0.0,343,9.389153290787403e-09,9.389153292210554e-09,1.423152033939929e-18,9.389153290787404e-11,0.5393586005830904,1.0,4.822489516813944e-09,4.8224895213902676e-09,4.576323799390422e-18,-6.101764790127025e-17,4.822489516813944e-09,0.052478134110787174,0.052478134110787174,0.0,0.0,-43.76651049454139,-37.74591058122506,6.02059991331633,-45.9692450992186,-39.94864518595874,0.0,0.0,0.0,0.0,-46.38110476174959,-39.71383096728128,6.667273794468304,1.0,1.0,0.0,4.6599520536366315e-05,0.00010299230658020921,5.639278604384288e-05,2.8286255900194775e-05,2.9083764785117504e-05,6.570380482853576e-05,0.0001540557881152,8.835198328666426e-05,2.3493227462165036e-05,1.8814785143417773e-05,-0.4814611723032147,-2.3841843272154324
