hole_type,pool_n,selected_n,status,strata
none,48,,PASS,LOS0_q1
none,30,,PASS,LOS0_q2
none,47,,PASS,LOS0_q3
none,10,,PASS,LOS1_q1
none,29,,PASS,LOS1_q2
none,11,,PASS,LOS1_q3
