case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results,is_nlos_current_0p20,is_los_current_0p20,is_nlos_geo,is_los_geo,is_nlos_bounce_0p33,is_los_bounce_0p33,is_nlos_mixed_0p33,is_los_mixed_0p33,label_schema
182,A,2.5,2,2.7,3.51573778774762,3.54664620101605,0.65,2,2.7615824674588,42.0698948340703,42.0698948340703,34.4573848451549,23.2952240184487,0.818290899094534,drywall,patch_ffd,drywall,17,7.96887159533074e-09,3.04406943422062,leading_edge,1,1,R,1,1,2,1.91694490550548,2.29348974370072,2.54232385281041,0.107104337856309,0.0249478532026399,0.414407929668213,1.16049707777237e-08,3.1619556927314e-09,4.98054474708171e-09,0.177491951585225,3.98443579766539e-09,1.6397175755174,99.630467761725,9.38536652110829,0.999268367550407,3,149.337948348165,0.215793574211591,0,,23,0,2,1,1,0,2.7615824674588,dielectric,0.00187955250977345,0.000491884712998219,0.261703097115125,0,A,2,42.0698948340703,42.0698948340703,drywall,0.818290899094534,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
183,C,2.5,2,2.7,4.5,0.5,1.2,1,2.91547594742265,59.0362434679265,59.0362434679265,17.2206529764013,25.4641780359694,0.819318061659562,concrete,patch_ffd,concrete,17,7.96887159533074e-09,1.21131889127637,leading_edge,1,1,R,1,1,2,1.93488200351182,2.2259309967018,0.604165194016907,0.013790726204123,0.0116984551271956,0.325745349270529,3.92982158189317e-08,1.81362637313762e-08,1.99221789883268e-08,0.0663694005327368,5.97665369649808e-09,1.62600486542831,66.5191460665038,7.56385019236477,0.982937668867012,3,113.335295252759,0.071087430693261,0,,17,0,2,1,1,0,2.91547594742265,dielectric,0.00178034027763017,0.000516291266083489,0.28999583538644,0,C,1,59.0362434679265,59.0362434679265,concrete,0.819318061659562,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
184,B,2.5,2,2.7,3.57938718911563,3.65382176061273,0.65,2,2.84652474429841,43.9309520738991,43.9309520738991,30.5485581561192,25.7908502872125,1.02156676705653,wood,patch_ffd,wood,15,6.9727626459144e-09,4.88454129951437,leading_edge,1,1,R,1,1,2,0.898654538510367,-0.543651192888136,1.05238400979523,0.0155693087586333,0.0166011848793104,0.326483047171756,6.94504797453949e-09,2.81724897574816e-09,4.98054474708171e-09,0.135198854862348,2.98832684824904e-09,1.67236222520632,112.757588170392,10.2333335271667,0.99962809229459,1,160.107225020238,0.156335194076123,0,,21,0,2,1,1,0,2.84652474429841,dielectric,0.00182346535650364,0.000376198853889968,0.206309844356627,0,B,2,43.9309520738991,43.9309520738991,wood,1.02156676705653,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
185,A,2.5,2,2.7,0.522785778424518,2.09695388180205,1.2,2,2.48370210234578,52.8476003848403,52.8476003848403,30.9946302812061,21.7751130006585,0.851182056764492,concrete,patch_ffd,concrete,13,5.97665369649805e-09,1.42031441988308,leading_edge,1,1,R,1,1,2,0.961443935170327,-3.46844454279686,0.258720755032559,0.179630358446263,0.00667411659572081,0.306447750289302,1.16085976213777e-08,1.0404750533352e-08,1.64357976653697e-08,0.0412303153915249,3.48638132295721e-09,1.65427943572079,38.7506681422759,5.85530712021257,0.999018378164723,4,73.0590514344094,0.0430033573791622,0,,21,0,2,1,1,0,2.48370210234578,dielectric,0.00208983970048431,0.000570232773278824,0.272859575376368,0,A,2,52.8476003848403,52.8476003848403,concrete,0.851182056764492,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
186,A,2.5,2,2.7,1.38888888888889,0.5,1.2,1,2.3946957846947,51.2161315007703,51.2161315007703,29.4887392850961,34.4723556595051,1.02597406297798,brick,patch_ffd,brick,18,8.46692607003891e-09,3.51860658518182,leading_edge,1,1,R,1,1,2,0.99158113894304,-1.45560838397385,1.52536139530488,0.423010379323933,0.0143763805695319,0.319674363547931,1.2610541409374e-08,3.62629281380324e-09,8.46692607003891e-09,0.126009777358349,5.47859922178991e-09,1.95447043277955,88.4924933317726,8.74230869679309,0.998511510315037,3,144.61956706925,0.144177559535485,0,,22,0,2,1,1,0,2.3946957846947,dielectric,0.00216751509349664,0.000575106590441983,0.265329912657826,0,A,1,51.2161315007703,51.2161315007703,brick,1.02597406297798,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
187,C,2.5,2,2.7,2.07441029342912,3.51912012237486,0.65,2,2.58676488002742,37.5806475827805,37.5806475827805,19.8700832183042,35.8168112173372,0.961858476983318,concrete,patch_ffd,concrete,13,5.97665369649805e-09,0.493040315006647,leading_edge,1,1,R,1,1,2,3.21576332980349,5.63848022298408,2.77961103662257,0.146349566445989,0.00887499021078008,0.332764297688784,6.61369884158696e-08,2.06065364659259e-08,1.59377431906615e-08,0.0683102772457956,4.98054474708173e-09,1.71836928349071,45.419949296916,6.26355912553855,0.947970002899717,5,82.3924748510238,0.0733186978212671,0,,19,0,2,1,0,1,2.58676488002742,dielectric,0.00200657558703345,0.00188863286180995,0.941221887684848,0,C,2,37.5806475827805,37.5806475827805,concrete,0.961858476983318,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
188,B,2.5,2,2.7,4.5,2.64285714285714,0.2,1,3.26546555733213,40.0407024618274,40.0407024618274,37.0926718708584,37.2120962332132,0.822647025689477,brick,patch_ffd,brick,17,7.96887159533074e-09,2.41888967458465,leading_edge,1,1,R,1,1,2,3.53198901667326,3.78491068189487,2.882194381891,0.102260850437052,0.016102538056913,0.422629194857687,9.73576401661264e-09,5.07842436133939e-09,1.24513618677043e-08,0.0961816574105982,4.48249027237356e-09,1.65668013531898,56.0184311277601,7.05000021677973,0.999432766416908,2,92.6762516227057,0.106417023065765,0,,20,0,2,1,0,1,3.26546555733213,dielectric,0.00158952503602555,0.000530946335832251,0.334028293860555,0,B,1,40.0407024618274,40.0407024618274,brick,0.822647025689477,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
189,C,2.5,2,2.7,2.72222222222222,0.5,0.2,1,2.92393274820906,31.2388483048522,31.2388483048522,37.8287796227234,38.7049226173963,1.01288810912066,wood,patch_ffd,wood,20,9.46303501945525e-09,0.545943858165472,leading_edge,1,1,R,1,1,2,6.14418515758191,10.0322631601614,3.1123171697256,0.0275830717517439,0.0149945371575238,0.398216605462457,9.01975816936068e-09,5.1607937250272e-09,1.29494163424125e-08,0.089353701301482,1.49416342412452e-09,1.65394206496013,57.5440059704891,7.1125747839801,0.999238008962215,3,97.2047410122037,0.0981211930792284,0,,15,1,2,0,0,1,2.92393274820906,dielectric,0,0.000292563062482095,292563062.482095,1,C,1,31.2388483048522,31.2388483048522,wood,1.01288810912066,1,0,1,0,0,0,1,0,mixed_0p33_primary_with_dual_aux
190,A,2.5,2,2.7,0.944444444444444,2.21428571428571,1.2,1,2.17155968229443,46.3106697646876,46.3106697646876,29.3391311239471,29.3036100243868,1.16525230764214,wood,patch_ffd,wood,26,1.24513618677043e-08,0.962969804481055,leading_edge,1,1,R,1,1,2,1.44764445550585,-0.0742556890704016,1.34567947701487,0.0107381035199697,0.00887303753618778,0.321579565524804,1.06964453390465e-08,6.07488792596257e-09,9.96108949416342e-09,0.0362296276523421,1.04591439688716e-08,2.14787407883304,64.9607836424615,7.67016743099217,0.998884910725037,5,88.2040537395051,0.0375915557189105,0,,20,0,2,1,1,0,2.17155968229443,dielectric,0.00239023559885506,0.000536775994070797,0.224570328685556,0,A,1,46.3106697646876,46.3106697646876,wood,1.16525230764214,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
191,C,2.5,2,2.7,4.5,1.35714285714286,1.2,1,2.58133014279895,54.472350511533,54.472350511533,10.030389043701,35.417469922461,0.817231963565257,concrete,patch_ffd,concrete,14,6.47470817120623e-09,1.13633021550653,leading_edge,1,1,R,1,1,2,3.28969869844845,5.84793788800271,1.67101705018186,0.00675525827908319,0.00670603609041433,0.396033549235516,1.18070874720755e-07,5.84074684213811e-08,2.24124513618677e-08,0.0342117951025693,6.47470817120625e-09,1.65788237050767,27.7630053574606,4.79648463034106,0.832669463733219,15,43.9536600794073,0.0354237035916199,0,,22,0,2,1,1,0,2.58133014279895,dielectric,0.00201080023496352,0.000549449211006667,0.273249028646864,0,C,1,54.472350511533,54.472350511533,concrete,0.817231963565257,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
