case_id,room_type,is_nlos,gamma_cp_3_fp_only,ar_db_at_los,xpd_db_at_los
1,B,0,4.34827941162811,22.9984149359722,1.23211415025788
2,B,1,1.4328825364456,7.04946683117358,8.29302731907469
3,A,1,1.85756069099217,6.96433186407177,-8.38793036520539
4,A,1,0.804322407043717,4.18431722908319,12.5301349264839
5,B,1,0.927378452284363,9.34575945001934,6.17021361982605
6,B,1,0.150153058878927,5.06060252526736,10.9537915508194
7,B,1,0.304977153732548,16.1924658749315,-2.71479144044232
8,B,1,0.467180980223503,21.6138684289013,-1.44594645904259
9,C,1,0.884420191140725,15.9228353455153,2.80185539710875
10,B,1,0.281469751210925,21.7023922068812,-1.43121790189724
11,B,1,1.70079720778957,24.4903401436071,-1.03715312248885
12,C,1,1.78228981951959,21.2090410244625,1.51527595867082
13,B,1,1.30364559052602,2.48452645559391,16.9509556721952
14,B,1,1.1392719365493,1.9715743512695,-18.9378044749664
15,B,1,1.04900380427957,3.05473460216083,15.1863024576637
16,A,1,0.581199504017582,6.04340912336033,9.51207920789099
17,C,1,1.38621935855211,5.7595524288263,-9.89945234605383
18,A,1,0.92944738155278,1.27169298462602,-22.7247367863459
19,B,1,1.9134914929138,12.2939805286365,-4.30435248848916
20,A,1,2.17491937289065,11.7795918377552,-4.57891414368856
21,B,1,0.441344399553949,4.88058124663455,11.2518695967903
22,C,1,0.821299656048119,3.43230140535571,14.1971845373147
23,A,0,1.05248879317922,5.84036315371784,9.78697668497036
24,C,1,1.21248413863798,8.36363891519692,-6.9860042825755
25,C,1,0.498216634534438,1.46695775014194,21.4891458279109
26,C,0,1.03270826909943,1.23645519304702,22.9679687533801
27,B,1,0.427491251166066,1.46688511179647,21.4895738940157
28,A,1,1.57947276718783,1.80425423708501,19.7020850104737
29,A,1,0.387690385494182,2.28693932640509,17.6617693126592
30,B,1,0.758403805083773,11.4333504314455,4.77444721255804
31,A,1,3.77897288047916,6.13022768096793,-9.39777468394981
32,B,1,1.15988061670553,6.78106620844068,-8.59704774208596
33,B,1,0.736998505323034,21.7758888416004,1.41910463101724
34,B,1,0.540667301099253,1.48912984568667,21.3594732910451
35,B,1,0.78312075424227,2.75266961304781,-16.0740777146467
36,B,1,0.477349545970924,2.50311980711308,16.8870766930312
37,B,1,1.09432603008617,7.80794455876316,-7.50495126070897
38,C,0,0.337104172983264,1.57773364266113,20.860048530368
39,A,0,1.43688413449152,9.73171606316924,-5.88054182614898
40,A,1,0.659845087276167,20.8479101510275,1.57995221804908
41,A,0,0.312579157492415,6.80942746691944,8.56424543756025
42,B,1,0.0735598076834932,7.94686062312449,7.37091750875573
43,B,1,0.418053738484921,1.68066560721941,20.3143006265661
44,C,1,0.746044899779675,11.4846612298016,4.74490168758677
45,A,1,0.800375033040665,5.0558812113688,10.9614581365447
46,A,1,0.729282943935153,5.67628010118308,10.0172560832138
47,B,1,1.29971219905789,12.8845795643302,-4.01086255298202
48,C,1,0.848444143352378,4.0014399475944,12.9043023426803
49,B,1,0.780616216583739,6.25691750768028,9.23430676429058
50,C,1,0.779882259577788,7.11698495122291,8.2187432329909
51,C,1,0.807267396029939,10.4858027535513,5.35833064166158
52,C,1,0.877432772216025,22.687231169507,1.27721582914733
53,A,1,0.701054875575798,3.36323000327543,14.3693374015311
54,B,0,0.788219241139823,21.1923256534565,1.51820967702289
55,C,1,0.897825870452206,1.15921323761598,23.5264983570358
56,A,1,1.79090350624913,6.81514758306695,-8.55764942579351
57,C,1,0.446961111054687,18.0140465196588,2.1950516559704
58,A,1,0.984110293851698,12.879410184671,4.01333616163234
59,A,1,0.508396941569014,2.50660854207637,-16.8751451914634
60,C,1,0.843335752572386,45.6836971133181,0.0902949284209355
61,C,1,0.926850553159933,9.61158005873781,5.96899062302697
62,A,1,1.34018351788595,13.0652105487104,3.92544397137358
63,A,1,1.01018437890765,14.9254637006649,3.14988328429106
64,A,1,0.250488116788865,1.40356824427723,21.8710870639897
65,C,1,0.947673004738912,3.8790835694349,13.1650121809954
66,A,1,1.2172908075678,8.20634066360009,7.12833416757246
67,B,0,1.32197796631019,9.73171606316924,-5.88054182614898
68,B,1,0.0261995891656756,10.3752971597782,5.43146459637755
69,C,1,1.21464916967994,13.7474796255996,-3.61987195317177
70,B,1,0.181285561688854,18.9111268000208,-1.9776915725052
71,B,1,1.64064082904438,11.1777174845609,4.92469317734036
72,B,1,1.36788694277679,11.4419313595024,-4.76949214818853
73,C,1,0.776893814011389,2.75250327462329,16.0745939181033
74,C,1,0.592578797557606,5.95643238720966,9.62851208193363
75,A,0,0.291375849027593,7.11367215717804,8.22236802662173
76,A,1,0.640360993610931,26.983156533262,-0.77799479988303
77,C,0,4.71106271276113,22.9984149359722,1.23211415025788
78,B,1,0.524366435296071,9.25735646741336,6.23887027768622
79,A,1,8.81756651149369,1.39553365018998,21.9207363627009
80,A,1,0.531744925985711,1.4674676670742,21.4861414311161
81,C,1,0.463924854033444,7.11367215717804,8.22236802662173
82,B,1,1.97081476069403,3.06525671470791,15.1570440799902
83,B,0,1.06320819299378,5.84036315371784,9.78697668497036
84,C,1,0.644843242744792,4.50874271540175,-11.9078045337648
85,A,1,0.955004791120619,7.0788033225085,-8.26064551628784
86,A,1,0.49358647752936,6.78775815488824,-8.5892931424358
87,B,1,2.03015377362476,1.91768387170119,19.1765281868349
88,A,1,0.582186964687795,2.44448070735994,17.0902198008878
89,A,1,1.01795091789239,7.70588409232952,7.60534902636696
90,A,1,0.878366372480944,16.4382511294974,2.63786059444968
91,A,1,1.0362019360854,24.6632025596668,-1.01666906646565
92,C,1,1.37089023584867,7.83453591255258,-7.47906317385162
93,B,1,2.24849681853938,29.392660892681,-0.589356169817498
94,C,1,0.95682765343237,3.22236383291182,14.7322240218133
95,A,1,0.666856325062845,9.12718778306398,6.34159307545792
96,C,1,0.856215095019212,11.8255640332905,4.55361741890932
97,A,1,0.86865841254086,5.01850399101651,-11.0224340999072
98,C,1,0.709863227217109,5.67628010118308,10.0172560832138
99,A,1,1.35633407541562,23.0979261123746,1.21803249291764
100,B,1,0.283878856471614,8.5205469936814,-6.84743056780256
101,B,0,0.665713564413128,3.9455221124583,13.0223772282392
102,B,0,0.693319451433375,8.01147142095632,7.30958178731689
103,B,1,1.39259600986794,5.2833390404232,-10.6008893121029
104,B,1,1.81984924616156,8.89057472907455,6.53344366137858
105,C,1,0.631092599782938,1.46648714845442,21.491919517487
106,A,0,2.11682751689039,9.82137332993814,5.81551313297753
107,C,1,0.703919265651531,4.60447795212312,-11.7334148959456
108,A,1,1.21474122038394,15.2614045277899,-3.02789757153134
109,C,1,0.710230413071464,10.9432870069555,5.0670794925121
110,B,1,1.39380712960794,13.96283839359,3.52873301937444
111,B,1,0.558168678773339,1.93683180432223,19.0909343983667
112,B,1,1.97781120271742,9.11478522085465,-6.3514834396433
113,A,1,0.589539951121996,1.42389862662712,21.7467261188058
114,B,1,1.0357469812566,7.70588409232952,7.60534902636696
115,A,1,0.663661564058995,10.172899370751,5.56835270259391
116,A,1,0.735289992864686,10.6431359427153,-5.25610651894529
117,A,1,0.0940041401920681,4.67356590452621,-11.6100065662592
118,C,1,0.837166723741027,16.4382511294974,2.63786059444968
119,A,1,1.45346861856062,12.4198485715317,4.23991940560336
120,C,1,0.613136249930683,1.93349621069488,19.1057829071886
121,A,1,0.521277668012394,1.26975578937494,22.7379311462814
122,C,1,1.06901041184551,32.9969962935287,-0.389105265821356
123,B,1,0.764967331317704,1.54688401073241,-21.0306459189669
124,C,1,0.677520178109416,2.78095574412118,15.9867620625554
125,B,1,0.411966402177155,11.738343311779,4.60174214181606
126,B,1,1.07003609442023,24.3938749200779,-1.04876392180109
127,A,1,0.560586610050981,24.3938749200779,-1.04876392180109
128,C,1,4.83804890262657,7.81800158189502,7.49514720835163
129,C,1,0.67290934771715,5.88507897602384,9.72550303623913
130,A,1,0.0307935523622447,15.9845204025909,2.78168587894732
131,B,1,1.46870532975653,24.5619293077331,-1.02862003472481
132,C,1,0.273369499472294,19.0900200341746,1.9370373997006
133,C,1,2.87602564436515,5.50202927597895,10.2702519503396
134,B,1,0.593473020544958,4.98277215143051,11.0811985211257
135,A,1,0.406072170909262,5.50202927597895,10.2702519503396
136,B,1,0.977472139043593,12.879410184671,4.01333616163234
137,B,1,0.59230962936757,6.66079071596141,8.73799972987031
138,C,1,1.72828128373463,4.48809924076676,-11.9459369266899
139,A,1,2.86987642655678,3.06525671470791,15.1570440799902
140,A,1,1.53333828183373,13.7474796255996,-3.61987195317177
141,C,1,0.559683860345221,1.42389862662712,21.7467261188058
142,B,1,0.115847330386734,8.36426750211549,6.98544244339233
143,C,1,1.15170499528283,27.105836545893,-0.76706930307674
144,C,1,0.732389334704483,1.38443365485893,21.9898044890537
145,A,0,0.657617956813347,8.3346801643933,7.01194724839423
146,A,1,0.206274489237684,22.687231169507,1.27721582914733
147,B,1,2.06757286435973,7.83453591255258,-7.47906317385162
148,B,1,0.47016911346883,1.46695775014194,21.4891458279109
149,B,1,0.400142493762148,4.88726542895606,11.2405860473632
150,C,0,0.248440322900684,16.3716349222139,2.65848670193133
151,C,1,0.591624079521661,2.07173958787445,-18.5112255456426
152,A,1,1.75303031389545,7.11283034349515,-8.22328944908629
153,B,1,0.721330193073874,45.6836971133181,0.0902949284209355
154,A,1,0.620425895471667,11.6521776917409,-4.64983049057661
155,B,1,1.1981214706431,3.56268475050192,13.8819323224918
156,A,1,0.75950372462342,6.25691750768028,9.23430676429058
157,A,1,0.351968417381459,9.67197744006373,5.92433384033048
158,A,1,0.824149358784514,2.86291679095575,-15.7388530588161
159,A,1,0.714461337676243,3.56487236845868,13.8767472153622
160,A,1,0.901489445945432,3.82286713336143,13.2877501333595
161,A,1,0.712808327707653,10.1069994199711,5.61376250594513
