label_name,label_display,n,n_neg,n_pos,auc_cir,auc_cp,auc_joint,delta_auc,auc_rise_time_fp,auc_gamma_cp_3
current_0p20,"Current ratio >= 0.20",900,79,821,0.782389491049816,0.601412294361615,0.799426448141353,0.0170369570915371,0.702832297753589,0.449328543455804
geo_only,"Geo only (has_los_path == 0)",900,833,67,0.652326602282704,0.659798247657272,0.7190338822096,0.0667072799268954,0.585305764096684,0.617691852860548
bounce_0p33_visible,"Bounce only (visible LoS, ratio >= 0.33)",833,463,370,0.675658163563131,0.582260229992411,0.696806958146051,0.0211487945829201,0.590415037067305,0.504249605977468
mixed_0p33,"Mixed geo OR bounce@0.33",900,463,437,0.681892542418117,0.596557126688446,0.706678660215192,0.0247861177970752,0.595306700406759,0.522104867766185
