room_type,rho_ar_all,rho_xpd_all,rho_ar_los,rho_ar_nlos
A,0.0483039107279883,-0.0217444615280065,0.174683600552335,0.039192712043295
B,0.0379941707656577,-0.0517157022213887,0.0703762335207227,0.0388569353388651
C,0.0376879007279647,-0.102255189519221,0.388294191963693,0.0180618443852728
