room_type,n,n_los,n_nlos,auc_cir,auc_cp,auc_joint,delta_auc
Stage1_ALL,NaN,NaN,NaN,0.679536878216124,0.648484133790737,0.720529588336192,0.040992710120068
A,300,28,272,0.804359243697479,0.557379201680672,0.874343487394958,0.069984243697479
B,300,25,275,0.841163636363636,0.660072727272727,0.8688,0.0276363636363636
C,300,26,274,0.772318921953959,0.653425042111173,0.791128579449747,0.0188096574957887
ALL,900,79,821,0.789620561525771,0.615535237977767,0.809324843121232,0.0197042815954611
