label_name,label_display,n,n_neg,n_pos,auc_cir,auc_cp,auc_joint,delta_auc,auc_rise_time_fp,auc_gamma_cp_3
current_0p20,"Current ratio >= 0.20",900,79,821,0.789620561525771,0.615535237977767,0.809324843121232,0.0197042815954611,0.716484990517893,0.447277941380533
geo_only,"Geo only (has_los_path == 0)",900,833,67,0.660532869864362,0.649065596387809,0.718980129365179,0.0584472595008163,0.572216946480085,0.621633728118113
bounce_0p33_visible,"Bounce only (visible LoS, ratio >= 0.33)",833,463,370,0.679096374992703,0.580450645029479,0.698885062168,0.0197886871752964,0.58756056272255,0.503671706263499
mixed_0p33,"Mixed geo OR bounce@0.33",900,463,437,0.685337392688218,0.590043048272386,0.707869777740435,0.0225323850522168,0.590893140448078,0.522099925369815
