case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results
495,A,2.5,2,2.7,3.80328164257549,3.67719847423783,0.65,2,2.95195490511965,46.0161921317193,46.0161921317193,14.0395927899401,36.36582106977,0.935725310127612,drywall,patch_ffd,drywall,16,7.47081712062257e-09,5.05467424529818,leading_edge,1,1,R,1,1,2,0.558992418201153,-5.2176373486978,0.329687459299052,0.00542456600598651,0.0294064176322432,0.43810171354523,3.24533560598342e-08,5.78687660483469e-09,4.48249027237354e-09,0.197736928181915,2.49027237354087e-09,1.6488339685837,114.133893827001,10.2766305095598,0.987084600565043,2,157.5017312212,0.246473924985485,0,,22,0,2,1,0,1,2.95195490511965,dielectric,0.00175833961713184,0.000512370160932906,0.291394310826411,0,A,2,46.0161921317193,46.0161921317193,drywall,0.935725310127612
496,C,2.5,2,2.7,1.83333333333333,2.64285714285714,0.2,1,2.66602883528421,20.327173128864,20.327173128864,13.1659848074653,30.2893701959541,0.917760186162765,glass,patch_ffd,glass,13,5.97665369649805e-09,0.462089853148701,leading_edge,1,1,R,1,1,2,2.45789611646742,4.55216069861936,1.09956166798995,0.178416663914249,0.0160281533000256,0.380226036726489,1.09836908468577e-07,4.69389069219384e-08,1.34474708171206e-08,0.125013646978755,2.49027237354087e-09,1.66252779472764,75.5892960976165,7.8818757881878,0.847074249197595,4,113.970616309908,0.142874967760463,0,,12,0,2,1,0,1,2.66602883528421,dielectric,0.0019469178986225,0.00140019191251715,0.719183851310743,0,C,1,20.327173128864,20.327173128864,glass,0.917760186162765
497,A,2.5,2,2.7,2.27777777777778,2.64285714285714,0.2,1,2.59087784779056,15.2202177920417,15.2202177920417,14.2055776325526,23.5148416124444,1.06681827234033,brick,patch_ffd,brick,14,6.47470817120623e-09,1.91431640319973,leading_edge,1,1,R,1,1,2,1.32232579901229,0.586150131479929,0.672219317625677,2.60725867141653e-05,0.0165994702199999,0.395250762515645,4.65684278341993e-08,1.17932755842327e-08,1.34474708171206e-08,0.118158283185292,9.96108949416347e-10,1.65171838817808,65.5503055919675,7.57048873464604,0.977745343600013,3,109.229993879303,0.133990353293888,0,,21,0,2,1,0,1,2.59087784779056,dielectric,0.00200339018764814,0.000726679692321689,0.362724993264925,0,A,1,15.2202177920417,15.2202177920417,brick,1.06681827234033
498,A,2.5,2,2.7,3.16666666666667,3.5,0.2,1,2.99072640748773,33.2885231343062,33.2885231343062,16.803065038558,36.809357072629,1.02904871797848,wood,patch_ffd,wood,17,7.96887159533074e-09,4.75963455143928,leading_edge,1,1,R,1,1,2,0.509192180833512,-6.24398752691212,0.464522305929406,0.0116742938381924,0.032875801775259,0.458899495884987,2.54117895195454e-08,4.14664796145302e-09,4.48249027237354e-09,0.215232857620635,1.49416342412452e-09,1.64164503949445,116.056480725256,10.4150862277628,0.99341108764021,1,160.484948291421,0.274263340037482,0,,22,0,2,1,0,1,2.99072640748773,dielectric,0.00173554466388609,0.000639164265397855,0.368278776511974,0,A,1,33.2885231343062,33.2885231343062,wood,1.02904871797848
499,A,2.5,2,2.7,2.5,0.8,0.65,2,2.37539470404394,30.3432488842396,30.3432488842396,35.7786038269159,24.5558739630199,0.903014109448446,brick,patch_ffd,brick,12,5.47859922178988e-09,3.58178252819138,leading_edge,1,1,R,1,1,2,1.06999020539682,-0.202015573388534,0.487469150992949,0.000155448947196102,0.0236664535132573,0.408103581165514,5.60721660142805e-09,3.51942585546667e-09,4.48249027237354e-09,0.168631623441507,9.96108949416347e-10,1.65017144517988,94.1297690621004,9.0572834573338,0.999815638903006,3,146.078225843361,0.202836225428215,0,,23,0,2,1,0,1,2.37539470404394,dielectric,0.00218512706491347,0.00055726633945865,0.255026972301365,0,A,2,30.3432488842396,30.3432488842396,brick,0.903014109448446
500,B,2.5,2,2.7,1.83333333333333,1.35714285714286,0.2,1,2.66602883528421,20.327173128864,20.327173128864,15.7529957293485,20.5699222846311,0.91498994183697,glass,patch_ffd,glass,8,3.4863813229572e-09,2.30747321335325,leading_edge,1,1,R,1,1,2,5.48280861946126,9.06872512639548,0.154888649490988,0.171427085538132,0.0064170465863996,0.308754166363915,8.29795511496078e-08,2.6030153935292e-08,1.29494163424125e-08,0.0343535391891398,3.48638132295721e-09,1.68402320866653,45.5761184456197,6.3074084020106,0.939728914879958,3,69.1994517071957,0.0355756900515049,0,,21,0,2,1,0,1,2.66602883528421,dielectric,0.0019469178986225,0.00065766377381901,0.337797384411703,0,B,1,20.327173128864,20.327173128864,glass,0.91498994183697
501,A,2.5,2,2.7,4.5,1.78571428571429,0.2,1,3.2087253493166,38.8194160580634,38.8194160580634,39.7918609683367,27.4701388614044,1.10672845806538,brick,patch_ffd,brick,29,1.39455252918288e-08,1.65331818985951,leading_edge,1,1,R,1,1,2,2.00965299429934,0.112477504620059,0.94285654353447,0.599588721140193,0.0107675301293276,0.327695592369688,6.42165834052321e-09,6.47233326606043e-09,1.59377431906615e-08,0.0924903714599686,6.47470817120625e-09,1.90144203144569,57.1107696682366,7.08715679977214,0.999907768090576,3,103.078481075672,0.101916683362097,0,,21,0,2,1,0,1,3.2087253493166,dielectric,0.00161763276460044,0.000628207962153171,0.388350171868792,0,A,1,38.8194160580634,38.8194160580634,brick,1.10672845806538
502,C,2.5,2,2.7,0.5,0.5,1.2,1,2.91547594742265,59.0362434679265,59.0362434679265,24.0462056877353,26.1792465664454,1.05748991490239,wood,patch_ffd,wood,15,6.9727626459144e-09,5.13164791657518,leading_edge,1,1,R,1,1,2,0.304414507542614,-10.51788799321,0.395971226516932,0.0460335308628418,0.0232511006004924,0.395524672150388,1.17691717346686e-08,2.94276619051349e-09,5.47859922178988e-09,0.167317275914388,2.49027237354087e-09,1.65121985547541,106.66411237913,9.95048277051575,0.998608110439603,1,152.788079308273,0.200937609337485,0,,14,0,2,1,0,1,2.91547594742265,dielectric,0.00178034027763017,0.000438979537560156,0.246570581520789,0,C,1,59.0362434679265,59.0362434679265,wood,1.05748991490239
503,A,2.5,2,2.7,4.30521104720945,0.311361595085364,0.2,2,3.51571992449906,44.6761742014632,44.6761742014632,20.3419823630203,24.4228918700351,1.17867326299669,brick,patch_ffd,brick,47,2.29105058365759e-08,1.48574627677024,leading_edge,1,1,R,1,1,2,1.0934864208413,0.246126349846555,0.906088121101708,0.00711406174136842,0.0186228372405644,0.354605197718856,2.90086729155775e-08,4.73590076523581e-09,4.48249027237354e-09,0.14566381786342,1.4443579766537e-08,1.66423634904069,101.850568034636,9.50878248825266,0.99061837807782,3,152.247008560143,0.170499413356384,0,,17,0,2,1,0,1,3.51571992449906,dielectric,0.0014763801921446,0.000603215968746563,0.408577663095253,0,A,2,44.6761742014632,44.6761742014632,brick,1.17867326299669
504,C,2.5,2,2.7,2.72222222222222,1.35714285714286,1.2,1,1.64701184639693,24.3921485182582,24.3921485182582,15.764876663703,29.5509182416571,1.13262612660897,wood,patch_ffd,wood,8,3.4863813229572e-09,5.0760511838599,leading_edge,1,1,R,1,1,2,0.905668945909492,-1.06260667945943,0.610739884320623,0.00413538206028452,0.0257333960251568,0.412918085256991,3.88303757833239e-08,6.9007380342647e-09,4.98054474708171e-09,0.181246346887715,2.98832684824904e-09,1.64614511013394,111.828798575095,10.1396771926742,0.984635344614069,2,155.153797134764,0.221368596278933,0,,21,0,2,1,0,1,1.64701184639693,dielectric,0.00315148872123389,0.000711437961472883,0.225746631006293,0,C,1,24.3921485182582,24.3921485182582,wood,1.13262612660897
