label_name,n,n_los,n_nlos,auc_cir,auc_cp,auc_joint,delta_auc
A_mixed_0p33,300,165,135,0.681705948372615,0.607048260381594,0.720628507295174,0.0389225589225588
A_geo_only,300,300,0,NaN,NaN,NaN,NaN
B_mixed_0p33,300,162,138,0.716765074252997,0.600062623009483,0.73385220969762,0.0170871354446234
B_geo_only,300,293,7,0.818137493905412,0.655777669429547,0.833252072159922,0.0151145782545099
C_mixed_0p33,300,136,164,0.700277977044476,0.613522238163558,0.741750358680057,0.041472381635581
C_geo_only,300,240,60,0.690069444444445,0.653541666666667,0.739444444444444,0.0493749999999999
