label_name,n,n_los,n_nlos,auc_cir,auc_cp,auc_joint,delta_auc
ALL_mixed_0p33,900,463,437,0.685337392688218,0.590043048272386,0.707869777740435,0.0225323850522168
ALL_geo_only,900,833,67,0.660532869864362,0.649065596387809,0.718980129365179,0.0584472595008163
