scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage,raw_total_snr_threshold_db,lp_raw_total_snr_mean_db,cp_raw_total_snr_mean_db,delta_raw_total_snr_mean_db,lp_raw_total_snr_p05_db,cp_raw_total_snr_p05_db,coverage_lp_raw_total_snr,coverage_cp_raw_total_snr,delta_coverage_raw_total_snr,best_port_threshold_db,lp_best_port_snr_mean_db,cp_best_port_snr_mean_db,delta_best_port_snr_mean_db,lp_best_port_outage,cp_best_port_outage,delta_best_port_outage,lp_best_port_rate_raw_mean,cp_best_port_rate_raw_mean,delta_best_port_rate_raw_mean,lp_best_port_rate_raw_p05,cp_best_port_rate_raw_p05,lp_fixed_single_rate_raw_mean,cp_fixed_single_rate_raw_mean,delta_fixed_single_rate_raw_mean,lp_fixed_single_rate_raw_p05,cp_fixed_single_rate_raw_p05,lp_fixed_egc_rate_raw_mean,cp_fixed_egc_rate_raw_mean,delta_fixed_egc_rate_raw_mean,lp_fixed_egc_rate_raw_p05,cp_fixed_egc_rate_raw_p05,lp_pdg_raw_mean,cp_pdg_raw_mean,delta_pdg_raw_mean,lp_mimo_efficiency_raw_mean,cp_mimo_efficiency_raw_mean,delta_mimo_efficiency_raw_mean,lp_xpr_raw_db_mean,cp_xpr_raw_db_mean,delta_xpr_raw_db_mean,lp_condition_number_raw_mean,cp_condition_number_raw_mean,delta_condition_number_raw_mean,lp_port_power_imbalance_raw_db_mean,cp_port_power_imbalance_raw_db_mean,lp_best_port_rate_norm_mean,cp_best_port_rate_norm_mean,delta_best_port_rate_norm_mean,lp_best_port_rate_norm_p05,cp_best_port_rate_norm_p05,noninferiority_prob_best_port_rate_0,lp_fixed_single_rate_norm_mean,cp_fixed_single_rate_norm_mean,delta_fixed_single_rate_norm_mean,lp_fixed_single_rate_norm_p05,cp_fixed_single_rate_norm_p05,lp_fixed_egc_rate_norm_mean,cp_fixed_egc_rate_norm_mean,delta_fixed_egc_rate_norm_mean,lp_fixed_egc_rate_norm_p05,cp_fixed_egc_rate_norm_p05,lp_pdg_norm_mean,cp_pdg_norm_mean,delta_pdg_norm_mean,lp_mimo_efficiency_norm_mean,cp_mimo_efficiency_norm_mean,delta_mimo_efficiency_norm_mean,lp_xpr_norm_db_mean,cp_xpr_norm_db_mean,delta_xpr_norm_db_mean,lp_condition_number_norm_mean,cp_condition_number_norm_mean,delta_condition_number_norm_mean,lp_port_power_imbalance_norm_db_mean,cp_port_power_imbalance_norm_db_mean,delta_port_power_imbalance_norm_db_mean
mixed_office,False,P0,0.0,345,9.350274570294433e-09,9.350274572416787e-09,2.122352848200092e-18,9.350274570294433e-11,0.5478260869565217,1.0,4.858228532805745e-09,4.8582285541619225e-09,2.1356177179034895e-17,-6.101764872845087e-17,4.858228532805745e-09,0.05217391304347826,0.05217391304347826,0.0,-30.0,-43.746438727916505,-37.725838814602014,6.020599913314486,-45.94950049229591,-39.928900579057974,0.0,0.014492753623188406,0.014492753623188406,-30.0,-46.311081476967395,-39.69665620137805,6.614425275589351,1.0,1.0,0.0,4.0089963284109016e-05,0.00017271361321846376,0.00013262364993435474,1.9530200896078464e-05,9.44031080414378e-05,4.55691918622973e-05,0.00010105704502278108,5.5487853160483774e-05,2.792037308112839e-05,2.8669414347909044e-05,6.61581522599161e-05,0.00015217421488242355,8.601606262250744e-05,2.5226637594611963e-05,1.808229423267404e-05,1.4778587124046934,2.0300797491460454,0.5522210367413525,1.6302818618000032,1.4211314802569737,-0.20915038154302934,1.189752997112476,-1.5718549330039044,-2.7616079301163805,5.168165424754065,5.1681654248641635,1.1009801186676411e-10,-0.4704606488309344,-2.4277988679905635,5.304419508333617e-09,5.73313607057942e-09,4.287165622458024e-10,2.6114277000164845e-09,3.158908640467303e-09,0.7768115942028986,6.048636503371048e-09,3.3108044339084386e-09,-2.73783206946261e-09,3.718640236757449e-09,9.450669391848017e-10,8.758265407990163e-09,5.032294395655808e-09,-3.725971012334353e-09,3.3367364143016264e-09,5.892244138416208e-10,1.4735477501305212,2.048987747286497,0.575439997155976,1.630122852228395,1.4165191678278843,-0.21360368440051072,1.1872802927811006,-1.5715027713544445,-2.758783064135545,5.16876265910561,5.1687626592127875,1.0717624919599022e-10,-0.46292199954478774,-2.4851909546548905,-2.0222689551101025
mixed_office,False,P0,10.0,345,9.350274182354787e-08,9.350274182995915e-08,6.411275450677549e-18,9.350274182354787e-10,0.5739130434782609,1.0,4.8582284756918094e-08,4.8582284732511045e-08,-2.440704923434075e-17,-7.627206111735874e-17,4.8582284756918094e-08,0.05217391304347826,0.05217391304347826,0.0,-30.0,-33.746438727916505,-27.725838814602014,6.020599913314485,-35.94950049229591,-29.928900579057967,0.05217391304347826,0.9565217391304348,0.9043478260869565,-30.0,-36.311081476967395,-29.696656201378048,6.61442527558935,0.9710144927536232,0.5130434782608696,-0.45797101449275357,0.00040079061513046457,0.0017254309336536312,0.0013246403185231664,0.00019528819165675118,0.0009437287948876052,0.0004555882992152476,0.0010087411663188743,0.0005531528671036266,0.0002791758457757685,0.00028665929304606217,0.0006613530749011826,0.0015195661820173636,0.0008582131071161808,0.00025224085834603925,0.00018080568826608445,1.4776946911772293,2.029145275932521,0.5514505847552919,1.629813093377555,1.4194873592448993,-0.21032573413265618,1.189752997112476,-1.5718549330039044,-2.7616079301163805,5.168165424754065,5.1681654248641635,1.1009801186676411e-10,-0.4704606488309344,-2.4277988679905635,5.304419317093952e-08,5.7331358814624786e-08,4.2871656436852615e-09,2.6114276902628464e-08,3.15890860685781e-08,0.7768115942028986,6.048636321066061e-08,3.310804242227811e-08,-2.7378320788382508e-08,3.7186401942302996e-08,9.45066937521848e-09,8.758265008584607e-08,5.032294153765333e-08,-3.7259708548192726e-08,3.336736327009519e-08,5.892244148215869e-09,1.4735477278852647,2.0489877146130873,0.5754399867278223,1.6301227899709667,1.4165191136244668,-0.21360367634650007,1.1872802927811006,-1.5715027713544445,-2.758783064135545,5.16876265910561,5.1687626592127875,1.0717624919599022e-10,-0.46292199954478774,-2.4851909546548905,-2.0222689551101025
mixed_office,False,P0,20.0,345,9.350270258785674e-07,9.350270259047873e-07,2.621985224959366e-17,9.350270258785674e-09,0.6492753623188405,1.0,4.858227855768981e-07,4.858227854701172e-07,-1.0678089085825815e-16,-9.152635687380024e-17,4.858227855768981e-07,0.05217391304347826,0.05217391304347826,0.0,-30.0,-23.746438727916505,-17.72583881460202,6.020599913314485,-25.949500492295915,-19.92890057905797,1.0,1.0,0.0,-30.0,-26.3110814769674,-19.696656201378048,6.614425275589351,0.0,0.0,0.0,0.003997102657570716,0.01708855140815066,0.013091448750579944,0.0019515017911836306,0.00940721019577315,0.004545573447577033,0.009916788173866983,0.00537121472628995,0.0027889744621477637,0.0028631154627987414,0.00659088039947188,0.014987725762021405,0.008396845362549523,0.002519861447242683,0.0018063346398798639,1.4760695630502005,2.0200141211528777,0.5439445581026772,1.6251796580673001,1.4038418158020078,-0.22133784226529227,1.189752997112476,-1.5718549330039044,-2.7616079301163805,5.168165424754065,5.1681654248641635,1.1009801186676411e-10,-0.4704606488309344,-2.4277988679905635,5.304417419725385e-07,5.733134007920532e-07,4.287165881951465e-08,2.611427440090858e-07,3.158908257949234e-07,0.7768115942028986,6.048634485482275e-07,3.310802304693928e-07,-2.737832180788347e-07,3.718639683320657e-07,9.450669005124195e-08,8.7582610152383e-07,5.032291732286872e-07,-3.725969282951428e-07,3.336735772966837e-07,5.892244002141902e-08,1.4735475128232531,2.048987394010895,0.5754398811876418,1.6301221638668333,1.4165185666995508,-0.21360359716728228,1.1872802927811006,-1.5715027713544445,-2.758783064135545,5.16876265910561,5.1687626592127875,1.0717624919599022e-10,-0.46292199954478774,-2.4851909546548905,-2.0222689551101025
mixed_office,False,P1,0.0,192,1.5115322082604473e-08,1.5115322082525024e-08,-7.944949583889069e-20,1.5115322082604473e-10,0.515625,1.0,2.2477875179231623e-09,2.247787479024412e-09,-3.889875022686706e-17,-6.101764790127025e-17,4.858228532805745e-09,0.2864583333333333,0.2864583333333333,0.0,-30.0,-43.49479492109915,-37.47419500772916,6.020599913369982,-49.2803396751078,-43.25973976144257,0.0,0.06770833333333333,0.06770833333333333,-30.0,-45.65356123319089,-39.74674100877902,5.90682022441187,1.0,0.9583333333333334,-0.04166666666666663,7.177925177799628e-05,0.00026952063529162945,0.00019774138351363315,1.0878788752366479e-05,3.654373205158558e-05,6.158128906236488e-05,0.00016113907464029764,9.955778557793272e-05,1.0110410768230377e-05,2.9605616596149547e-05,6.121300100017633e-05,0.00020951256772554325,0.00014829956672536692,1.049914676720193e-05,3.409584330808859e-05,1.3367352493494018,1.3919378812161438,0.05520263186674191,1.4414010961610586,1.4762977917231652,0.034896695562106415,0.5202881182309285,-0.26680535909748254,-0.7870934773284111,4.167746768158765,4.1677467678996765,-2.5908870650755606e-10,0.061702376901234764,-0.1952883699683933,9.517686557726065e-09,8.928930406515613e-09,-5.887561512104536e-10,1.425580400963028e-09,1.2053457176679468e-09,0.4427083333333333,8.184088843805999e-09,5.342721050169488e-09,-2.8413677936365084e-09,1.314631964012729e-09,1.0194351008074834e-09,8.15350783386964e-09,6.966933388229926e-09,-1.1865744456397134e-09,1.3574148445806551e-09,1.127695728468289e-09,1.3501382145536223,1.3965474430907292,0.04640922853710716,1.4401233534747995,1.4772224433911862,0.03709908991638655,0.5286900955301465,-0.282943638888355,-0.8116337344185013,4.169066970076412,4.169066969802064,-2.74347581689464e-10,0.059189673193171304,-0.18207775971903642,-0.24126743291220779
mixed_office,False,P1,10.0,192,1.5115320204206283e-07,1.511532020454792e-07,3.4163530374013323e-18,1.5115320204206283e-09,0.5572916666666666,1.0,2.2477874784116826e-08,2.2477874812337486e-08,2.822065956939808e-17,-9.152644819453987e-17,4.8582284756918094e-08,0.2864583333333333,0.2864583333333333,0.0,-30.0,-33.494794921099135,-27.474195007729154,6.020599913369982,-39.2803396751078,-33.25973976144257,0.09375,0.71875,0.625,-30.0,-35.65356123319089,-29.746741008779026,5.906820224411871,0.9166666666666666,0.4375,-0.47916666666666663,0.0007171092671318697,0.002686776037403774,0.0019696667702719045,0.00010878307632188752,0.00036538554566360027,0.0006154160282598826,0.0016084176623480202,0.0009930016340881373,0.0001010988863828984,0.0002960074197179899,0.0006116755683442161,0.002088493444937814,0.001476817876593598,0.00010498552831661805,0.0003408988930328668,1.3365147374162119,1.3906734709027682,0.05415873348655644,1.4408566308674395,1.4739622294234287,0.03310559855598861,0.5202881182309285,-0.26680535909748254,-0.7870934773284111,4.167746768158765,4.1677467678996765,-2.5908870650755606e-10,0.061702376901234764,-0.1952883699683933,9.517685377963495e-08,8.928929487307736e-08,-5.887558906557563e-09,1.425580384960982e-08,1.2053457402731573e-08,0.4427083333333333,8.184088148350052e-08,5.342720725631807e-08,-2.8413674227182466e-08,1.314631967008148e-08,1.0194350861698702e-08,8.153507033490632e-08,6.966932648442721e-08,-1.1865743850479085e-08,1.3574148217508099e-08,1.1276957350859447e-08,1.3501381839244162,1.3965473968743476,0.04640921294993149,1.4401232801776398,1.4772223631668986,0.03709908298925896,0.5286900955301465,-0.282943638888355,-0.8116337344185013,4.169066970076412,4.169066969802064,-2.74347581689464e-10,0.059189673193171304,-0.18207775971903642,-0.24126743291220779
mixed_office,False,P1,20.0,192,1.5115301350070988e-06,1.5115301350253724e-06,1.827345742937483e-17,1.5115301350070988e-08,0.6458333333333334,1.0,2.2477873281531e-07,2.2477873283056441e-07,1.5254401635559907e-17,-9.83922259497423e-17,4.858227855768981e-07,0.2864583333333333,0.2864583333333333,0.0,-30.0,-23.494794921099142,-17.474195007729158,6.020599913369984,-29.280339675107793,-23.25973976144257,0.9947916666666666,1.0,0.00520833333333337,-30.0,-25.653561233190896,-19.746741008779022,5.906820224411871,0.16145833333333334,0.0,-0.16145833333333334,0.007104513505718283,0.026087733164867677,0.018983219659149394,0.0010873500143412469,0.003648690914574748,0.006115221372750521,0.015802934288766776,0.009687712916016255,0.0010104672502775664,0.002955214460455102,0.006072451353633083,0.02027841930088513,0.01420596794725205,0.0010492619722025213,0.003403055605802831,1.3343506315143046,1.3791834704390125,0.044832838924707796,1.435570357939184,1.453065662903965,0.01749530496478132,0.5202881182309285,-0.26680535909748254,-0.7870934773284111,4.167746768158765,4.1677467678996765,-2.5908870650755606e-10,0.061702376901234764,-0.1952883699683933,9.517673557813935e-07,8.928920277243186e-07,-5.887532805707506e-08,1.4255803049728023e-07,1.2053456825016772e-07,0.4427083333333333,8.184081197358468e-07,5.342717451918413e-07,-2.8413637454400546e-07,1.3146318751024794e-07,1.0194350314956389e-07,8.153499025179985e-07,6.966925261482903e-07,-1.1865737636970823e-07,1.3574147234123317e-07,1.1276956677330168e-07,1.3501378686226724,1.3965469500330754,0.046409081410403064,1.4401225537641864,1.4772215719425883,0.03709901817840162,0.5286900955301465,-0.282943638888355,-0.8116337344185013,4.169066970076412,4.169066969802064,-2.74347581689464e-10,0.059189673193171304,-0.18207775971903642,-0.24126743291220779
mixed_office,False,P2,0.0,192,2.6148853095778936e-08,2.6148853098559686e-08,2.780752851853671e-18,2.614885309577894e-10,0.5520833333333334,1.0,2.575373222977265e-09,2.5753732214518234e-09,-1.5254414043269095e-18,-7.62720606624094e-17,4.858228532805745e-09,0.19791666666666666,0.19791666666666666,0.0,-30.0,-41.84091813632936,-35.820318223011306,6.020599913318044,-48.67189070701153,-42.651290793529924,0.010416666666666666,0.171875,0.16145833333333334,-30.0,-43.77541785947964,-38.21746231046259,5.5579555490170565,0.9895833333333334,0.953125,-0.03645833333333337,0.00014012064095163444,0.0004457242695305788,0.00030560362857894426,1.1472536479273804e-05,4.272400996153852e-05,0.0001478393304626021,0.00040451706767175916,0.000256677737209157,6.780847325319214e-06,2.9542993373509836e-05,0.00013308369307093844,0.0003440850514985661,0.00021100135842762766,8.941031093461173e-06,2.92517329541079e-05,1.745755924823434,1.285637325837475,-0.4601185989859589,1.3955801003704664,1.5459235714091513,0.1503434710386851,0.1282063068493494,-0.25685384446871806,-0.38506015131806753,5.380066646121183,5.380066646434632,3.134505051349823e-10,0.24712560788507984,-0.031362818849866636,1.8565116946121646e-08,1.4759129868291456e-08,-3.805987077830189e-09,1.5218787681435284e-09,1.4336061054730984e-09,0.3229166666666667,1.9667749943290043e-08,1.3421390579657081e-08,-6.246359363632961e-09,8.74324112644087e-10,1.0075290556846145e-09,1.7696878609813307e-08,1.1404007339868719e-08,-6.29287126994459e-09,1.1563592847536728e-09,9.63747660355794e-10,1.755320923165817,1.2908505625624327,-0.46447036060338415,1.3971740009702796,1.548646708810998,0.15147270784071856,0.13091629792913198,-0.2620358044726437,-0.39295210240177575,5.383893569506992,5.3838935698146315,3.076396290491168e-10,0.25982370991303844,-0.04580462047414435,-0.30562833038718296
mixed_office,False,P2,10.0,192,2.6148845225610273e-07,2.614884522577712e-07,1.6684499462448175e-18,2.6148845225610275e-09,0.5364583333333334,1.0,2.575373211218e-08,2.5753732115230882e-08,3.0508836358344315e-18,-9.152645911332394e-17,4.8582284756918094e-08,0.19791666666666666,0.19791666666666666,0.0,-30.0,-31.84091813632936,-25.82031822301131,6.020599913318044,-38.67189070701153,-32.651290793529924,0.3229166666666667,0.8072916666666666,0.48437499999999994,-30.0,-33.77541785947964,-28.217462310462583,5.5579555490170565,0.7708333333333334,0.4010416666666667,-0.3697916666666667,0.001398031683635233,0.004431373043561416,0.003033341359926183,0.00011472016393795522,0.0004271640601096706,0.001474808142843823,0.0039984577063970975,0.002523649563553274,6.780629174668018e-05,0.0002953715555043235,0.0013283517938885512,0.003426405846760624,0.002098054052872073,8.940588632440257e-05,0.00029246267384066014,1.7451101715176793,1.2846588752175558,-0.46045129630012344,1.3946404349866401,1.540891583950769,0.14625114896412922,0.1282063068493494,-0.25685384446871806,-0.38506015131806753,5.380066646121183,5.380066646434632,3.134505051349823e-10,0.24712560788507984,-0.031362818849866636,1.8565111326659717e-07,1.4759126966221394e-07,-3.805984360438324e-08,1.521878730373404e-08,1.4336060728751057e-08,0.3229166666666667,1.966774345850493e-07,1.3421385180755041e-07,-6.24635827774989e-08,8.743240963661597e-09,1.0075290432710636e-08,1.7696874087820433e-07,1.140400570803462e-07,-6.292868379785813e-08,1.1563592641881509e-08,9.637476347993377e-09,1.7553208338311084,1.2908505298247601,-0.46447030400634803,1.3971738742542872,1.5486465341773406,0.15147265992305367,0.13091629792913198,-0.2620358044726437,-0.39295210240177575,5.383893569506992,5.3838935698146315,3.076396290491168e-10,0.25982370991303844,-0.04580462047414435,-0.30562833038718296
mixed_office,False,P2,20.0,192,2.6148766501971913e-06,2.614876650211095e-06,1.390391899481875e-17,2.6148766501971914e-08,0.5989583333333334,1.0,2.575372995409858e-07,2.5753729959590167e-07,5.4915845888015664e-17,-1.2203517867376578e-16,4.858227855768981e-07,0.19791666666666666,0.19791666666666666,0.0,-30.0,-21.84091813632936,-15.820318223011313,6.020599913318047,-28.671890707011528,-22.651290793529924,0.9635416666666666,1.0,0.03645833333333337,-30.0,-23.775417859479642,-18.217462310462583,5.5579555490170565,0.09895833333333333,0.0,-0.09895833333333333,0.013685908201149117,0.04212351093882017,0.02843760273767106,0.0011466819567970445,0.0042640609466152776,0.014410615519344125,0.03664231736266101,0.02223170184331689,0.0006778448874821452,0.002947905190430147,0.013045585961641848,0.03294911299115171,0.01990352702950986,0.0008936168603117109,0.0029191801732695736,1.7387898323033768,1.2756025287543844,-0.4631873035489924,1.3858091543841773,1.5002190466920495,0.11440989230787206,0.1282063068493494,-0.25685384446871806,-0.38506015131806753,5.380066646121183,5.380066646434632,3.134505051349823e-10,0.24712560788507984,-0.031362818849866636,1.856505512937955e-06,1.4759097960497048e-06,-3.8059571688825034e-07,1.5218786338033518e-07,1.433605985413173e-07,0.3229166666666667,1.9667678603151935e-06,1.3421331194177888e-06,-6.246347408974043e-07,8.743240545238713e-08,1.0075289665615402e-07,1.7696828863790772e-06,1.1403989395006854e-06,-6.292839468783917e-07,1.1563591895149484e-07,9.637475762378796e-08,1.7553199348418473,1.2908502031020939,-0.4644697317397533,1.3971726059939886,1.5486447845470461,0.15147217855305753,0.13091629792913198,-0.2620358044726437,-0.39295210240177575,5.383893569506992,5.3838935698146315,3.076396290491168e-10,0.25982370991303844,-0.04580462047414435,-0.30562833038718296
open_office,False,P0,0.0,343,9.389153290787403e-09,9.389153292210554e-09,1.423152033939929e-18,9.389153290787404e-11,0.5393586005830904,1.0,4.822489516813944e-09,4.8224895213902676e-09,4.576323799390422e-18,-6.101764790127025e-17,4.822489516813944e-09,0.052478134110787174,0.052478134110787174,0.0,-30.0,-43.76651049454139,-37.74591058122506,6.02059991331633,-45.9692450992186,-39.94864518595874,0.0,0.011661807580174927,0.011661807580174927,-30.0,-46.38110476174959,-39.71383096728128,6.667273794468304,1.0,1.0,0.0,3.9346476665906574e-05,0.0001740541240705461,0.00013470764740463952,1.9840892733051017e-05,9.395285732662173e-05,4.6599520536366315e-05,0.00010299230658020921,5.639278604384288e-05,2.8286255900194775e-05,2.9083764785117504e-05,6.570380482853576e-05,0.0001540557881152,8.835198328666426e-05,2.3493227462165036e-05,1.8814785143417773e-05,1.4342813394259986,2.1137478194353236,0.6794664800093252,1.639618440330824,1.4122896897305468,-0.22732875060027719,1.3036579712179233,-1.6407046783052663,-2.9443626495231894,4.906465701739432,4.906465701762648,2.3215832884233702e-11,-0.4814611723032147,-2.3841843272154324,5.2043377736322556e-09,5.7821942614333e-09,5.778564878010451e-10,2.6397235845439416e-09,3.1491417788489776e-09,0.8046647230320699,6.188696932297218e-09,3.3695075728635165e-09,-2.819189359433701e-09,3.8274492119287354e-09,9.546094418149867e-10,8.704208974689142e-09,5.091799488415162e-09,-3.612409486273982e-09,3.060493621109179e-09,6.249160003275343e-10,1.4302238783891468,2.133303738308357,0.7030798599192103,1.6402369923717026,1.4068879475979112,-0.23334904477379112,1.3011615563084333,-1.6431644808230772,-2.94432603713151,4.906618511957321,4.906618511972897,1.557538031170092e-11,-0.4703724408671124,-2.4414197339715753,-1.9710472931044631
