group,label_name,axis,axis_value,regime_desc,n,n_pos,n_neg,auc_cir,auc_joint,delta_auc,pr_auc_cir,pr_auc_joint,delta_pr_auc
BOUNCE,is_nlos_bounce_0p33,los_angle_bin,"(11.628, 33.289]","los_angle_bin=(11.628, 33.289]",171,95,76,0.7695290858725762,0.811218836565097,0.04168975069252079,0.7603840436745992,0.7917875766470042,0.031403532972404946
BOUNCE,is_nlos_bounce_0p33,dominant_wall_material_bin,drywall,dominant_wall_material_bin=drywall,169,57,112,0.556234335839599,0.5977443609022557,0.041510025062656664,0.43036240624532973,0.49923009506847454,0.06886768882314481
GEO,is_nlos_geo,snr_bin,"(10.012, 16.02]","snr_bin=(10.012, 16.02]",180,17,163,0.9552508119812342,0.9960303139660772,0.040779501984843036,0.6898908621597697,0.9679458949355144,0.2780550327757447
BOUNCE,is_nlos_bounce_0p33,dominant_wall_material_bin,concrete,dominant_wall_material_bin=concrete,166,86,80,0.5497093023255814,0.5895348837209302,0.039825581395348864,0.5773934465308003,0.5879501858940526,0.010556739363252299
BOUNCE,is_nlos_bounce_0p33,room_type,A,room_type=A,300,135,165,0.6427833894500561,0.681391694725028,0.038608305274971944,0.6061137247151333,0.6066717734315277,0.0005580487163944214
BOUNCE,is_nlos_bounce_0p33,xpol_bin,"(35.975, 39.958]","xpol_bin=(35.975, 39.958]",166,73,93,0.608778907055531,0.6453085874208278,0.0365296803652968,0.5878104814384801,0.5956959835225654,0.007885502084085227
BOUNCE,is_nlos_bounce_0p33,xpol_bin,"(27.995, 31.988]","xpol_bin=(27.995, 31.988]",162,85,77,0.5744843391902216,0.5972498090145149,0.022765469824293283,0.5770130456058027,0.5797508213724364,0.002737775766633699
BOUNCE,is_nlos_bounce_0p33,grid_layer_bin,1,grid_layer_bin=1,419,176,243,0.6951459034792369,0.714038533482978,0.018892630003741084,0.616948220768647,0.6261987909562692,0.009250570187622209
BOUNCE,is_nlos_bounce_0p33,snr_bin,"(22.005, 28.007]","snr_bin=(22.005, 28.007]",166,79,87,0.5959551869634803,0.6126873272224647,0.016732140258984396,0.5536272954850487,0.5406105817658948,-0.013016713719153916
BOUNCE,is_nlos_bounce_0p33,dominant_wall_material_bin,brick,dominant_wall_material_bin=brick,162,59,103,0.553233503373375,0.5687016620042784,0.01546815863090345,0.408867844699068,0.408866606212653,-1.238486414978368e-06
BOUNCE,is_nlos_bounce_0p33,dominant_wall_material_bin,wood,dominant_wall_material_bin=wood,171,58,113,0.5625572169667379,0.5659139456820264,0.0033567287152884706,0.4348484028735633,0.44935430759053496,0.014505904716971663
BOUNCE,is_nlos_bounce_0p33,xpol_bin,"(24.017, 27.995]","xpol_bin=(24.017, 27.995]",167,71,96,0.631161971830986,0.6335093896713615,0.0023474178403755097,0.518265850656979,0.5137069299652767,-0.004558920691702384
BOUNCE,is_nlos_bounce_0p33,snr_bin,"(10.012, 16.02]","snr_bin=(10.012, 16.02]",163,63,100,0.6082539682539683,0.5974603174603174,-0.01079365079365091,0.4962483302134913,0.449744523647087,-0.04650380656640429
