EL_db,L_m,P_lin,case_id,incidence_deg,link_id,los_flag_ray,material_class,n_bounce,parity,ray_index,run_id,scenario_id,surface_seq,tau_s
2.7199659283313338,5.0,1.9015384099281446e-07,0,53.13010235415599,A2_0,0.0,1,1.0,odd,0.0,step1_A2,A2,1,1.6678204759907603e-08
2.7199659283313338,5.0,1.9015384099281446e-07,1,53.13010235415599,A2_1,0.0,1,1.0,odd,0.0,step1_A2,A2,1,1.6678204759907603e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,2,45.0,A2_2,0.0,1,1.0,odd,0.0,step1_A2,A2,1,1.8869234693997473e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,3,45.0,A2_3,0.0,1,1.0,odd,0.0,step1_A2,A2,1,1.8869234693997473e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,4,38.65980825409008,A2_4,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.1358523427006454e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,5,38.65980825409008,A2_5,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.1358523427006454e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,6,63.43494882292201,A2_6,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.2376159751488378e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,7,63.43494882292201,A2_7,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.2376159751488378e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,8,56.309932474020215,A2_8,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,9,56.309932474020215,A2_9,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.405364897781377e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,10,50.1944289077348,A2_10,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.6052188664154634e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,11,50.1944289077348,A2_11,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.6052188664154634e-08
2.719965928331348,8.54400374531753,6.51211784221968e-08,12,69.44395478041653,A2_12,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.8499728786764644e-08
2.719965928331348,8.54400374531753,6.51211784221968e-08,13,69.44395478041653,A2_13,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.8499728786764644e-08
2.7199659283313338,8.94427190999916,5.94230753102546e-08,14,63.43494882292201,A2_14,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.983487966865117e-08
2.7199659283313338,8.94427190999916,5.94230753102546e-08,15,63.43494882292201,A2_15,0.0,1,1.0,odd,0.0,step1_A2,A2,1,2.983487966865117e-08
2.7199659283313338,9.433981132056603,5.341400027888052e-08,16,57.9946167919165,A2_16,0.0,1,1.0,odd,0.0,step1_A2,A2,1,3.146837380430899e-08
2.7199659283313338,9.433981132056603,5.341400027888052e-08,17,57.9946167919165,A2_17,0.0,1,1.0,odd,0.0,step1_A2,A2,1,3.146837380430899e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,0,45.0,A3_0,0.0,2|1,2.0,even,0.0,step1_A3,A3,2|1,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,1,45.0,A3_1,0.0,2|1,2.0,even,0.0,step1_A3,A3,2|1,2.405364897781377e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,8,45.0,A3_8,0.0,1,1.0,odd,0.0,step1_A3,A3,1,1.8869234693997473e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,8,45.0,A3_8,0.0,2,1.0,odd,1.0,step1_A3,A3,2,1.8869234693997473e-08
2.7199659283313338,6.666666666666668,1.069615355584582e-07,8,45.0,A3_8,0.0,2|1,2.0,even,2.0,step1_A3,A3,2|1,2.2237606346543473e-08
