case_id,case_label,has_target_bounce_n2,los_rays,rays_topk_n,review_status,scenario_id,scene_debug_issues,scene_debug_json,scene_debug_valid,scene_png_path
0,A3_0,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__0__scene.png
1,A3_1,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__1__scene.png
10,A3_10,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__10__scene.png
11,A3_11,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__11__scene.png
12,A3_12,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__12__scene.png
13,A3_13,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__13__scene.png
14,A3_14,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__14__scene.png
15,A3_15,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__15__scene.png
16,A3_16,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__16__scene.png
17,A3_17,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__17__scene.png
18,A3_18,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__18__scene.png
19,A3_19,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__19__scene.png
2,A3_2,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__2__scene.png
20,A3_20,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__20__scene.png
21,A3_21,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__21__scene.png
22,A3_22,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__22__scene.png
23,A3_23,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__23__scene.png
3,A3_3,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__3__scene.png
4,A3_4,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__4__scene.png
5,A3_5,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__5__scene.png
6,A3_6,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__6__scene.png
7,A3_7,0,0,0,FAIL,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__7__scene.png
8,A3_8,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__8__scene.png
9,A3_9,1,0,0,WARN,A3,,,0,analysis_report/out/diag_20260303_step1/figures/A3__9__scene.png
