scenario_id,case_id,link_id,target_tau_ns,target_rank,target_in_Wearly,target_is_first,bounce_count,parity,incidence_angle_deg,Pco_target,Pcross_target,xpd_target_raw_db,xpd_target_ex_db,C_target_db
A2,0,A2_0,16.6782047599076,1.0,1,1,1,odd,53.13010235415599,2.601435534217647e-08,1.6413948565063798e-07,-8.0,-33.06286481744288,-232.79105102322603
A2,1,A2_1,21.358523427006453,1.0,1,1,1,odd,38.65980825409008,1.5862411794010066e-08,1.0008505222599891e-07,-8.0,-33.06286481744288,-230.64261254274908
A2,2,A2_2,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,1.4452419634542507e-08,9.118860313924345e-08,-8.0,-33.06286481744288,-230.23832597219297
A2,3,A2_3,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.0661621041875613e-08,6.727028100435988e-08,-8.0,-33.06286481744288,-228.91715275983873
A3,0,A3_0,23.704182717551713,2.0,0,0,2,even,45.0,8.125717111417731e-08,1.2878393733750742e-08,8.000000000000002,-17.06286481744288,-229.7375373287598
A3,1,A3_1,23.704182717551713,2.0,0,0,2,even,45.0,8.125717111417727e-08,1.287839373375074e-08,7.999999999999999,-17.06286481744288,-229.7375373287598
A3,2,A3_2,21.745718517050378,2.0,1,0,2,even,45.0,1.1437069022225291e-07,1.2772686720614925e-07,-0.4796751817476732,-25.542539999190552,0.6609606559383674
A3,3,A3_3,21.745718517050378,2.0,1,0,2,even,45.0,1.1437069022225295e-07,1.277268672061492e-07,-0.47967518174767,-25.54253999919055,0.6609606559383634
A3,4,A3_4,28.40195927464993,2.0,0,0,2,even,45.0,5.6599822638151095e-08,8.970467359371208e-09,8.0,-17.06286481744288,-228.16707104423648
A3,5,A3_5,28.40195927464993,2.0,0,0,2,even,45.0,5.6599822638151095e-08,8.970467359371208e-09,8.0,-17.06286481744288,-228.16707104423648
A3,6,A3_6,26.370557161984873,2.0,0,0,2,even,45.0,6.565579426025525e-08,1.0405742136870598e-08,8.0,-17.06286481744288,-228.81165093650566
A3,7,A3_7,26.370557161984873,2.0,0,0,2,even,45.0,6.565579426025521e-08,1.0405742136870593e-08,8.0,-17.06286481744288,-228.81165093650566
A3,8,A3_8,33.10529119661711,2.0,0,0,2,even,45.0,0.0,0.0,0.0,-25.06286481744288,-226.8360888049703
A3,9,A3_9,33.10529119661711,2.0,0,0,2,even,45.0,0.0,0.0,0.0,-25.06286481744288,-226.8360888049703
A3,10,A3_10,31.023254156944585,2.0,0,0,2,even,45.0,4.743915770249656e-08,7.5185998098776e-09,8.0,-17.06286481744288,-227.40029003529827
A3,11,A3_11,31.023254156944585,2.0,0,0,2,even,45.0,4.743915770249656e-08,7.5185998098776e-09,8.0,-17.06286481744288,-227.40029003529827
A4,0,A4_0,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,8.102032935849329e-09,1.5431696182834746e-08,-2.7981966007205945,-27.861061418163473,-223.7169075026763
A4,1,A4_1,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,5.363796842473887e-09,9.81918366503461e-09,-2.6260306317195936,-27.688895449162473,-221.8135703446493
A4,2,A4_2,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,7.728552333459288e-09,1.5805176785224786e-08,-3.107012058330528,-28.169876875773408,-223.7169075026763
A4,3,A4_3,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,5.2507665069006635e-09,9.932214000607835e-09,-2.7682336199862,-27.83109843742908,-221.8135703446493
A4,4,A4_4,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,8.594146843307166e-09,1.493958227537691e-08,-2.4013568441678927,-27.46422166161077,-223.7169075026763
A4,5,A4_5,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,4.69714287824112e-09,1.0485837629267375e-08,-3.487693576772459,-28.550558394215336,-221.8135703446493
A4,6,A4_6,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,8.721215651808004e-09,1.481251346687607e-08,-2.300517326580363,-27.36338214402324,-223.7169075026763
A4,7,A4_7,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,5.6014625006246365e-09,9.581518006883861e-09,-2.3313288721719645,-27.394193689614845,-221.8135703446493
A4,8,A4_8,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,4.513890103823311e-09,5.981417463569235e-09,-1.2225313292622264,-26.285396146705104,-220.20995170204188
A4,9,A4_9,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.4781102028669262e-09,2.569712899632955e-09,-2.4017778984230427,-27.46464271586592,-216.072215247589
A4,10,A4_10,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,4.1350131614023435e-09,6.360294405990202e-09,-1.8700032256936883,-26.932868043136565,-220.20995170204188
A4,11,A4_11,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.5452912941370672e-09,2.502531808362814e-09,-2.0936924839604982,-27.156557301403378,-216.072215247589
A4,12,A4_12,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,3.8947590055962445e-09,6.600548561796302e-09,-2.290994404331142,-27.35385922177402,-220.20995170204188
A4,13,A4_13,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.3973817710070436e-09,2.650441331492838e-09,-2.7800312186070486,-27.84289603604993,-216.072215247589
A4,14,A4_14,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,3.755149222945222e-09,6.740158344447325e-09,-2.5404289962791067,-27.603293813721987,-220.20995170204188
