scenario_id,case_id,link_id,xpd_early_ex_db,xpd_late_ex_db,l_pol_db,rho_early_linear,rho_early_db,ds_ns,early_energy_fraction,EL_proxy_db,LOSflag,material,stress_flag,claim_caution_early,claim_caution_late
A2,0,A2_0,-33.06286467695759,-25.06286481744288,-7.9999998595147055,6.309573240700269,7.999999859514707,0.0,1.0,2.7199659283313338,0,PEC,0,0,0
A2,1,A2_1,-33.062864587047,-25.06286481744288,-7.999999769604122,6.3095731100752115,7.9999997696041225,0.0,1.0,2.7199659283313338,0,PEC,0,0,0
A2,2,A2_2,-33.06286456456935,-25.06286481744288,-7.999999747126473,6.309573077418947,7.999999747126475,0.0,1.0,2.7199659283313338,0,PEC,0,0,0
A2,3,A2_3,-33.062864474658774,-25.06286481744288,-7.999999657215893,6.309572946793898,7.999999657215894,4.440892098500626e-07,1.0,2.719965928331348,0,PEC,0,0,0
A2_on,0,A2_on_0,-17.062864907353468,-33.06286467695759,15.999999769604116,0.15848932252726472,-7.999999910089385,1.707317073170719,0.6097560983618552,2.7199659283313338,1,PEC,0,0,0
A2_on,1,A2_on_1,-17.062864907353468,-33.062864587047,15.999999679693534,0.15848932252726472,-7.999999910089385,3.5947364139973867,0.7192982462935967,2.7199659283313338,1,PEC,0,0,0
A2_on,2,A2_on_2,-24.360302150805147,-25.06286481744288,0.7025626666377321,0.8506359503932149,-0.7025626666377276,1.2422599874998812,1.0,0.1672408772982692,1,PEC,0,0,0
A2_on,3,A2_on_3,-17.0628650197417,-33.062864474658774,15.999999454917072,0.15848932662870646,-7.999999797701152,2.898649364254015,0.6288659811488897,2.7199659283313338,1,PEC,0,0,0
A3,0,A3_0,-33.062864634812,-17.062865101223167,-15.999999533588833,6.309573179469771,7.999999817369119,2.3184775065068375,0.6084337365685178,2.719965928331348,0,PEC,0,0,0
A3,1,A3_1,-33.062864634812,-17.062865101223167,-15.99999953358883,6.309573179469771,7.999999817369119,2.318477506506869,0.6084337365685181,2.719965928331348,0,PEC,0,0,0
A3,2,A3_2,-25.54253999521983,-25.06286481744288,-0.4796751777769511,1.1167797172611444,0.47967517777695584,0.7478337567079032,1.0,0.02758431593002797,0,PEC,0,0,0
A3,3,A3_3,-25.542539995219826,-25.06286481744288,-0.4796751777769479,1.1167797172611436,0.47967517777695234,0.7478337567079362,1.0,0.02758431593002797,0,PEC,0,0,0
A3,4,A3_4,-33.06286456737906,-17.062865224850214,-15.999999342528845,6.30957308150098,7.999999749936181,3.0341927365438033,0.6196581218643008,2.719965928331348,0,PEC,0,0,0
A3,5,A3_5,-33.06286456737906,-17.062865224850214,-15.999999342528845,6.30957308150098,7.999999749936181,3.0341927365438033,0.6196581218643008,2.719965928331348,0,PEC,0,0,0
A3,6,A3_6,-25.86087142882594,-25.06286481744288,-0.7980066113830607,1.2017127282491087,0.7980066113830652,1.4880213206449522,1.0,0.22553631390552198,0,PEC,0,0,0
A3,7,A3_7,-25.860871428825938,-25.06286481744288,-0.7980066113830596,1.2017127282491082,0.7980066113830635,1.4880213206449189,1.0,0.22553631390552198,0,PEC,0,0,0
A3,8,A3_8,-33.0628644887073,-17.062865370954903,-15.999999117752399,6.309572967204061,7.999999671264422,2.175749586495263,0.6273885379086064,2.719965928331348,0,PEC,0,0,0
A3,9,A3_9,-33.0628644887073,-17.062865370954903,-15.999999117752397,6.309572967204062,7.999999671264422,2.1757495864952854,0.6273885379086066,2.7199659283313338,0,PEC,0,0,0
A3,10,A3_10,-33.062864466229655,-17.06286530352197,-15.999999162707685,6.3095729345478,7.999999648786776,1.8505169257364438,0.5805369159532148,2.7199659283313338,0,PEC,0,0,0
A3,11,A3_11,-33.062864466229655,-17.06286530352197,-15.999999162707685,6.309572934547799,7.999999648786776,1.8505169257364438,0.5805369159532147,2.7199659283313338,0,PEC,0,0,0
A3_on,0,A3_on_0,-17.062864831491407,-29.1305377495209,12.067672918029494,0.15848931975879155,-7.999999985951444,5.300041204678144,0.8010386287368704,2.7199659283313338,1,PEC,0,0,0
A3_on,1,A3_on_1,-17.062864831491407,-29.130537749520904,12.067672918029496,0.15848931975879155,-7.999999985951444,5.300041204678144,0.8010386287368703,2.7199659283313338,1,PEC,0,0,0
A3_on,2,A3_on_2,-17.062864853969057,-29.441051249586813,12.378186395617758,0.1584893205790799,-7.999999963473796,4.572451940670921,0.5402416942868179,2.719965928331348,1,PEC,0,0,0
A3_on,3,A3_on_3,-17.062864853969053,-29.441051249586813,12.378186395617758,0.15848932057907988,-7.999999963473796,4.572451940670924,0.5402416942868178,2.719965928331348,1,PEC,0,0,0
A3_on,4,A3_on_4,-17.062864831491407,-29.12371188798727,12.06084705649586,0.15848931975879155,-7.999999985951444,6.011340686887218,0.852784097130262,2.7199659283313338,1,PEC,0,0,0
A3_on,5,A3_on_5,-17.062864831491407,-29.12371188798727,12.060847056495861,0.15848931975879155,-7.999999985951444,6.011340686887218,0.852784097130262,2.7199659283313338,1,PEC,0,0,0
A3_on,6,A3_on_6,-17.062864853969057,-29.318781675743598,12.255916821774541,0.1584893205790799,-7.999999963473796,5.841194759640365,0.6430480318139868,2.719965928331348,1,PEC,0,0,0
A3_on,7,A3_on_7,-17.062864853969053,-29.318781675743598,12.255916821774544,0.15848932057907988,-7.999999963473796,5.841194759640365,0.6430480318139868,2.719965928331348,1,PEC,0,0,0
A3_on,8,A3_on_8,-17.062864831491407,-29.120690673777844,12.057825842286437,0.15848931975879155,-7.999999985951444,6.227020832404948,0.8873592529037413,2.7199659283313338,1,PEC,0,0,0
