EL_db,L_m,P_lin,case_id,incidence_deg,link_id,los_flag_ray,material_class,n_bounce,parity,ray_index,run_id,scenario_id,surface_seq,tau_s
2.7199659283313338,5.0,1.9015384099281446e-07,0,53.13010235415599,A2_0,0.0,1,1.0,odd,0.0,A2_20260309T022955Z,A2,1,1.6678204759907603e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,1,38.65980825409008,A2_1,0.0,1,1.0,odd,0.0,A2_20260309T022955Z,A2,1,2.1358523427006454e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,2,63.43494882292201,A2_2,0.0,1,1.0,odd,0.0,A2_20260309T022955Z,A2,1,2.2376159751488378e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,3,50.1944289077348,A2_3,0.0,1,1.0,odd,0.0,A2_20260309T022955Z,A2,1,2.6052188664154634e-08
2.7199659283313338,4.0,2.971153765512727e-07,0,nan,A2_on_0,1.0,NA,0.0,even,0.0,A2_on_20260309T054206Z,A2_on,,1.3342563807926082e-08
2.7199659283313338,5.0,1.9015384099281446e-07,0,53.13010235415599,A2_on_0,0.0,1,1.0,odd,1.0,A2_on_20260309T054206Z,A2_on,1,1.6678204759907603e-08
2.7199659283313338,4.0,2.971153765512727e-07,1,nan,A2_on_1,1.0,NA,0.0,even,0.0,A2_on_20260309T054206Z,A2_on,,1.3342563807926082e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,1,38.65980825409008,A2_on_1,0.0,1,1.0,odd,1.0,A2_on_20260309T054206Z,A2_on,1,2.1358523427006454e-08
2.7199659283313338,6.0,1.3205127846723235e-07,2,nan,A2_on_2,1.0,NA,0.0,even,0.0,A2_on_20260309T054206Z,A2_on,,2.0013845711889122e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,2,63.43494882292201,A2_on_2,0.0,1,1.0,odd,1.0,A2_on_20260309T054206Z,A2_on,1,2.2376159751488378e-08
2.7199659283313338,6.0,1.3205127846723235e-07,3,nan,A2_on_3,1.0,NA,0.0,even,0.0,A2_on_20260309T054206Z,A2_on,,2.0013845711889122e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,3,50.1944289077348,A2_on_3,0.0,1,1.0,odd,1.0,A2_on_20260309T054206Z,A2_on,1,2.6052188664154634e-08
2.719965928331348,5.70087712549569,1.462721853790882e-07,0,15.255118703057764,A3_0,0.0,2,1.0,odd,0.0,A3_20260309T023001Z,A3,2,1.9016079202018117e-08
2.7199659283313338,7.106335201775948,9.413556484792805e-08,0,45.0,A3_0,0.0,2|1,2.0,even,1.0,A3_20260309T023001Z,A3,2|1,2.3704182717551713e-08
2.719965928331348,5.70087712549569,1.462721853790882e-07,1,15.255118703057764,A3_1,0.0,1,1.0,odd,0.0,A3_20260309T023001Z,A3,1,1.9016079202018117e-08
2.7199659283313338,7.106335201775948,9.4135564847928e-08,1,45.0,A3_1,0.0,1|2,2.0,even,1.0,A3_20260309T023001Z,A3,1|2,2.3704182717551713e-08
2.7199659283313338,6.041522986797286,1.3024235684439357e-07,2,24.44395478041653,A3_2,0.0,2,1.0,odd,0.0,A3_20260309T023001Z,A3,2,2.0152351487098737e-08
2.719965928331348,6.519202405202648,1.1185520058400861e-07,2,45.0,A3_2,0.0,2|1,2.0,even,1.0,A3_20260309T023001Z,A3,2|1,2.174571851705038e-08
2.7199659283313338,6.041522986797286,1.302423568443935e-07,3,24.44395478041653,A3_3,0.0,1,1.0,odd,0.0,A3_20260309T023001Z,A3,1,2.0152351487098737e-08
2.719965928331348,6.519202405202648,1.1185520058400865e-07,3,45.0,A3_3,0.0,1|2,2.0,even,1.0,A3_20260309T023001Z,A3,1|2,2.174571851705038e-08
2.719965928331348,6.670832032063167,1.0682800055776097e-07,4,12.994616791916512,A3_4,0.0,2,1.0,odd,0.0,A3_20260309T023001Z,A3,2,2.2251500509940002e-08
2.7199659283313338,8.5146931829632,6.55702899975223e-08,4,45.0,A3_4,0.0,2|1,2.0,even,1.0,A3_20260309T023001Z,A3,2|1,2.840195927464993e-08
2.719965928331348,6.670832032063167,1.0682800055776097e-07,5,12.994616791916512,A3_5,0.0,1,1.0,odd,0.0,A3_20260309T023001Z,A3,1,2.2251500509940002e-08
2.7199659283313338,8.5146931829632,6.55702899975223e-08,5,45.0,A3_5,0.0,1|2,2.0,even,1.0,A3_20260309T023001Z,A3,1|2,2.840195927464993e-08
2.7199659283313338,6.96419413859206,9.801744381072925e-08,6,21.037511025421807,A3_6,0.0,2,1.0,odd,0.0,A3_20260309T023001Z,A3,2,2.3230051166237343e-08
2.7199659283313338,7.905694150420949,7.606153639712585e-08,6,45.0,A3_6,0.0,2|1,2.0,even,1.0,A3_20260309T023001Z,A3,2|1,2.6370557161984873e-08
2.719965928331348,6.96419413859206,9.801744381072914e-08,7,21.037511025421807,A3_7,0.0,1,1.0,odd,0.0,A3_20260309T023001Z,A3,1,2.3230051166237343e-08
2.7199659283313338,7.905694150420949,7.60615363971258e-08,7,45.0,A3_7,0.0,1|2,2.0,even,1.0,A3_20260309T023001Z,A3,1|2,2.6370557161984873e-08
2.719965928331348,7.648529270389178,8.126232521060452e-08,8,11.309932474020195,A3_8,0.0,2,1.0,odd,0.0,A3_20260309T023001Z,A3,2,2.5512747456739482e-08
2.7199659283313338,9.924716620639604,4.82623961910697e-08,8,45.0,A3_8,0.0,2|1,2.0,even,1.0,A3_20260309T023001Z,A3,2|1,3.310529119661711e-08
2.7199659283313338,7.648529270389178,8.126232521060454e-08,9,11.309932474020195,A3_9,0.0,1,1.0,odd,0.0,A3_20260309T023001Z,A3,1,2.5512747456739482e-08
2.7199659283313338,9.924716620639604,4.826239619106968e-08,9,45.0,A3_9,0.0,1|2,2.0,even,1.0,A3_20260309T023001Z,A3,1|2,3.310529119661711e-08
