stage,cp_feature,cir_feature,pearson,spearman,abs_pearson,abs_spearman
stage1,f_r_fp,fp_to_total_ratio,0.999999999999998,1.0,0.999999999999998,1.0
stage1,f_r_fp,k_factor_estimate,0.9969218808732889,1.0,0.9969218808732889,1.0
stage1,xpr_fp_db,mean_excess_delay,-0.44495407242518703,-0.7419178259908695,0.44495407242518703,0.7419178259908695
stage1,gamma_anchor_linear,mean_excess_delay,0.14959906574414966,0.7419178259908695,0.14959906574414966,0.7419178259908695
stage1,s3_fp,mean_excess_delay,-0.4082448604632005,-0.7419175944352883,0.4082448604632005,0.7419175944352883
stage1,gamma_anchor_linear,energy_concentration_50ns,-0.144231794277559,-0.7312923528102614,0.144231794277559,0.7312923528102614
stage1,xpr_fp_db,energy_concentration_50ns,0.4390328232439695,0.7312923528102614,0.4390328232439695,0.7312923528102614
stage1,s3_fp,energy_concentration_50ns,0.40267242184369484,0.7312921630324626,0.40267242184369484,0.7312921630324626
stage1,xpr_fp_db,rms_delay_spread,-0.6099330957865151,-0.7293004210333801,0.6099330957865151,0.7293004210333801
stage1,gamma_anchor_linear,rms_delay_spread,0.12514832017189773,0.7293004210333801,0.12514832017189773,0.7293004210333801
stage1,s3_fp,rms_delay_spread,-0.5537304146280909,-0.7293002765889196,0.5537304146280909,0.7293002765889196
stage1,f_r_fp,max_excess_delay,-0.45486736892038016,-0.6969976040066245,0.45486736892038016,0.6969976040066245
stage1,delta_f_l_minus_r_fp,fp_to_total_ratio,-0.6872473636380154,-0.6865750665083408,0.6872473636380154,0.6865750665083408
stage1,delta_f_l_minus_r_fp,k_factor_estimate,-0.6822754638289411,-0.6865750665083408,0.6822754638289411,0.6865750665083408
stage1,gamma_delay_linear,mean_excess_delay,0.3394997400991177,0.6732654956961662,0.3394997400991177,0.6732654956961662
stage1,gamma_delay_linear,energy_concentration_50ns,-0.33616563939003063,-0.6726322205146912,0.33616563939003063,0.6726322205146912
stage1,xpr_fp_db,peak_to_avg_ratio,0.5821481040084913,0.6706697291855255,0.5821481040084913,0.6706697291855255
stage1,gamma_anchor_linear,peak_to_avg_ratio,-0.14136035515657,-0.6706697291855255,0.14136035515657,0.6706697291855255
stage1,s3_fp,peak_to_avg_ratio,0.5576346398239937,0.6706693389632599,0.5576346398239937,0.6706693389632599
stage1,gamma_delay_linear,rms_delay_spread,0.23223196168718901,0.6684566604951845,0.23223196168718901,0.6684566604951845
stage1,f_r_fp,kurtosis_total,0.7780204414243694,0.6610301943366883,0.7780204414243694,0.6610301943366883
stage1,f_r_fp,skewness_total,0.7634553671590781,0.6598256955361884,0.7634553671590781,0.6598256955361884
stage1,f_r_fp,peak_to_avg_ratio,0.7958231389172113,0.6577267895251988,0.7958231389172113,0.6577267895251988
stage1,f_r_fp,fp_kurtosis,-0.4029151755595439,-0.6547693339005973,0.4029151755595439,0.6547693339005973
stage1,xpr_all_db,energy_concentration_50ns,0.43069264608881075,0.6489174796574977,0.43069264608881075,0.6489174796574977
stage1,s3_all,energy_concentration_50ns,0.4191909965515636,0.6489174796574977,0.4191909965515636,0.6489174796574977
stage1,s3_all,rms_delay_spread,-0.5615213126457121,-0.6451079765675529,0.5615213126457121,0.6451079765675529
stage1,xpr_all_db,rms_delay_spread,-0.5901599571947166,-0.6451079765675529,0.5901599571947166,0.6451079765675529
stage1,xpr_all_db,mean_excess_delay,-0.4361598376093039,-0.6429621083291231,0.4361598376093039,0.6429621083291231
stage1,s3_all,mean_excess_delay,-0.4247649167436559,-0.6429621083291231,0.4247649167436559,0.6429621083291231
stage1,xpr_late_db,energy_concentration_50ns,0.42365339067472924,0.6427733536414837,0.42365339067472924,0.6427733536414837
stage1,s3_late,energy_concentration_50ns,0.41674513809642044,0.6427733536414837,0.41674513809642044,0.6427733536414837
stage1,s3_late,rms_delay_spread,-0.55951676065904,-0.638967557663062,0.55951676065904,0.638967557663062
stage1,xpr_late_db,rms_delay_spread,-0.5841907970583821,-0.638967557663062,0.5841907970583821,0.638967557663062
stage1,s3_late,mean_excess_delay,-0.42232526368211176,-0.6351212656801406,0.42232526368211176,0.6351212656801406
