stage,cv_scheme,joint_definition,AUC_CIR,AUC_CP,AUC_Joint,Delta_AUC,n,cir_positive_rate,cp_positive_rate,joint_positive_rate,cir_cp_predicted_nlos_jaccard,cp_nlos_given_cir_nlos,cir_nlos_given_cp_nlos,both_correct_rate,cir_only_correct_rate,cp_only_correct_rate,both_wrong_rate,cp_save,cp_harm,net_recovery,recovery_given_cir_fail,harm_given_cir_correct,delta_auc_ci_low,delta_auc_ci_high,net_recovery_ci_low,net_recovery_ci_high
stage1,stratified5,Joint_CIR_plus_greedy_CP,0.6786170668953688,0.7004261363636364,0.7564928173241853,0.07787575042881645,3000,0.9713333333333334,0.896,0.8536666666666667,0.8685790527018012,0.8936170212765957,0.96875,0.6623333333333333,0.044333333333333336,0.087,0.20633333333333334,0.09766666666666667,0.03933333333333333,0.058333333333333334,0.33295454545454545,0.05566037735849057,0.06285086567324173,0.09397598627787315,0.046325000000000005,0.07
stage2,room_label_stratified5,Joint_CIR_plus_greedy_CP,0.6396399958483869,0.6832022774562474,0.7245108263192491,0.08487083047086219,900,0.48777777777777775,0.33111111111111113,0.42444444444444446,0.3522935779816514,0.43735763097949887,0.6442953020134228,0.41444444444444445,0.1811111111111111,0.2111111111111111,0.19333333333333333,0.15333333333333332,0.10555555555555556,0.047777777777777766,0.3791208791208791,0.17723880597014927,0.05447818179122335,0.11382474756710541,0.012222222222222218,0.08224999999999998
