stage,cp_feature,cir_feature,pearson,spearman,abs_pearson,abs_spearman
stage2,f_r_fp,fp_to_total_ratio,0.9999999999999997,1.0,0.9999999999999997,1.0
stage2,f_r_fp,k_factor_estimate,0.9980269784469464,1.0,0.9980269784469464,1.0
stage2,f_r_fp,peak_to_avg_ratio,0.8059913131500069,0.8117826812131866,0.8059913131500069,0.8117826812131866
stage2,f_r_fp,kurtosis_total,0.771765208734362,0.7752416649074052,0.771765208734362,0.7752416649074052
stage2,f_r_fp,skewness_total,0.762956725770549,0.7734021070807906,0.762956725770549,0.7734021070807906
stage2,cp_phase_residual_circvar,peak_to_avg_ratio,-0.6821950072117747,-0.7458122129368884,0.6821950072117747,0.7458122129368884
stage2,delta_f_l_minus_r_fp,fp_to_total_ratio,-0.7264575376953939,-0.712978114787796,0.7264575376953939,0.712978114787796
stage2,delta_f_l_minus_r_fp,k_factor_estimate,-0.7263704090664808,-0.712978114787796,0.7263704090664808,0.712978114787796
stage2,cp_phase_residual_circvar,skewness_total,-0.6358595108585889,-0.7003652267883458,0.6358595108585889,0.7003652267883458
stage2,cp_phase_residual_circvar,kurtosis_total,-0.6338536703022339,-0.6908648693804972,0.6338536703022339,0.6908648693804972
stage2,f_r_fp,max_excess_delay,-0.29082963749317264,-0.6176239622785671,0.29082963749317264,0.6176239622785671
stage2,cp_phase_residual_circvar,fp_to_total_ratio,-0.5449065657340632,-0.59783668868727,0.5449065657340632,0.59783668868727
stage2,cp_phase_residual_circvar,k_factor_estimate,-0.534286180791766,-0.59783668868727,0.534286180791766,0.59783668868727
stage2,delta_f_l_minus_r_fp,peak_to_avg_ratio,-0.5909890220358472,-0.5821203565271891,0.5909890220358472,0.5821203565271891
stage2,gamma_delay_linear,skewness_total,-0.3101559462803051,-0.570277790466408,0.3101559462803051,0.570277790466408
stage2,delta_p_l_given_r_db,skewness_total,0.5038128582839222,0.5624341264618845,0.5038128582839222,0.5624341264618845
stage2,gamma_delay_linear,peak_to_avg_ratio,-0.28571885243455886,-0.560637515190348,0.28571885243455886,0.560637515190348
stage2,gamma_delay_linear,kurtosis_total,-0.29237238078819655,-0.552359216904383,0.29237238078819655,0.552359216904383
stage2,delta_p_l_given_r_db,peak_to_avg_ratio,0.5090043981316591,0.5523515296520942,0.5090043981316591,0.5523515296520942
stage2,delta_p_l_given_r_db,k_factor_estimate,0.4632031023783211,0.5458537109305073,0.4632031023783211,0.5458537109305073
stage2,delta_p_l_given_r_db,fp_to_total_ratio,0.47352277168958956,0.5458537109305073,0.47352277168958956,0.5458537109305073
stage2,delta_f_l_minus_r_fp,kurtosis_total,-0.551285596485906,-0.5445271907743096,0.551285596485906,0.5445271907743096
stage2,delta_f_l_minus_r_fp,skewness_total,-0.547389689546204,-0.5419794016206604,0.547389689546204,0.5419794016206604
stage2,delta_p_l_given_r_db,kurtosis_total,0.4807917915117339,0.5413661333738272,0.4807917915117339,0.5413661333738272
stage2,gamma_delay_linear,fp_to_total_ratio,-0.2525514332854624,-0.5396499501851237,0.2525514332854624,0.5396499501851237
stage2,gamma_delay_linear,k_factor_estimate,-0.24231696367548275,-0.5396499501851237,0.24231696367548275,0.5396499501851237
stage2,xpr_fp_db,skewness_total,0.45496857326943546,0.5392234640618898,0.45496857326943546,0.5392234640618898
stage2,s3_fp,skewness_total,0.24103208928387565,0.5392234640618898,0.24103208928387565,0.5392234640618898
stage2,gamma_anchor_linear,skewness_total,-0.2995283526671098,-0.5392234640618898,0.2995283526671098,0.5392234640618898
stage2,gamma_anchor_linear,peak_to_avg_ratio,-0.29203587239355444,-0.5389355624718878,0.29203587239355444,0.5389355624718878
stage2,s3_fp,peak_to_avg_ratio,0.28034222565893285,0.5389355624718878,0.28034222565893285,0.5389355624718878
stage2,xpr_fp_db,peak_to_avg_ratio,0.471090660716413,0.5389355624718878,0.471090660716413,0.5389355624718878
stage2,cp_phase_residual_circvar,max_excess_delay,0.22635610649930338,0.5332707225375121,0.22635610649930338,0.5332707225375121
stage2,f_r_fp,mean_excess_delay,-0.505404356065758,-0.5283486687432124,0.505404356065758,0.5283486687432124
stage2,xpr_fp_db,kurtosis_total,0.43842972229290816,0.5214036889757477,0.43842972229290816,0.5214036889757477
stage2,gamma_anchor_linear,kurtosis_total,-0.28617989704388486,-0.5214036889757477,0.28617989704388486,0.5214036889757477
stage2,s3_fp,kurtosis_total,0.22630637037105028,0.5214036889757477,0.22630637037105028,0.5214036889757477
stage2,cp_phase_residual_circvar,mean_excess_delay,0.4823726591394943,0.5068084775413303,0.4823726591394943,0.5068084775413303
stage2,xpr_fp_db,k_factor_estimate,0.4190940225349472,0.5065321315211501,0.4190940225349472,0.5065321315211501
stage2,xpr_fp_db,fp_to_total_ratio,0.4305762655657849,0.5065321315211501,0.4305762655657849,0.5065321315211501
stage2,s3_fp,fp_to_total_ratio,0.22924088837468334,0.5065321315211501,0.22924088837468334,0.5065321315211501
stage2,s3_fp,k_factor_estimate,0.22496677803371884,0.5065321315211501,0.22496677803371884,0.5065321315211501
