stage,cv_scheme,feature,feature_family,AUC,PR_AUC
stage1,stratified5,kurtosis_total,cir,0.6258962264150943,0.765621219198626
stage1,stratified5,skewness_total,cir,0.6247041166380789,0.7608078244177354
stage1,stratified5,peak_to_avg_ratio,cir,0.6004132718696398,0.7485799706691558
stage1,stratified5,delta_tau_l_given_r_s,cp,0.5931759219554031,0.7455443237734887
stage1,stratified5,cp_phase_slope_delay_s,cp,0.5905440608919382,0.7452316635933054
stage1,stratified5,k_factor_estimate,cir,0.5605537092624356,0.7328812446796675
stage1,stratified5,fp_to_total_ratio,cir,0.5603328687821612,0.732747256601435
stage1,stratified5,f_r_fp,cp,0.5603328687821612,0.732747256601435
stage1,stratified5,delta_f_l_minus_r_fp,cp,0.54,0.7246219370913846
stage1,stratified5,rise_time_fp,cir,0.5321636470840481,0.7412033611406419
stage1,stratified5,xpr_fp_db,cp,0.5262558962264151,0.7084573272283579
stage1,stratified5,s3_all,cp,0.5194859562607204,0.7043541878046776
stage1,stratified5,s3_late,cp,0.5184482204116638,0.70231311634461
stage1,stratified5,fp_kurtosis,cir,0.5174855274442538,0.7181912873278142
stage1,stratified5,xpr_all_db,cp,0.5150332332761578,0.6998751586168996
stage1,stratified5,xpr_late_db,cp,0.5131062392795883,0.697700557237066
stage1,stratified5,delta_p_l_given_r_db,cp,0.5123279373927959,0.6998125208110867
stage1,stratified5,s3_fp,cp,0.5104818825042882,0.7049781397767563
stage1,stratified5,lambda_l_late_fraction,cp,0.5100895154373928,0.6958813910180411
stage1,stratified5,f_l_fp,cp,0.5098976200686106,0.7103504757347903
stage1,stratified5,gamma_delay_linear,cp,0.5026270368782162,0.7001090407121795
stage1,stratified5,energy_concentration_50ns,cir,0.5025627144082333,0.7081444060509186
stage1,stratified5,num_significant_peaks,cir,0.4949595304459692,0.7025836939511024
stage1,stratified5,rms_delay_spread,cir,0.493873820754717,0.7033948130990897
stage1,stratified5,gamma_anchor_linear,cp,0.493527551457976,0.6941884594275975
stage1,stratified5,cp_phase_residual_circvar,cp,0.4927712264150943,0.699197749537099
stage1,stratified5,mean_excess_delay,cir,0.4926811749571184,0.695180507086591
stage1,stratified5,max_excess_delay,cir,0.4378682461406518,0.6705165234109882
