,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar
rms_delay_spread,1.0,0.9698211150054917,0.20894359459745662,-0.4094671886426197,0.632517752706681,-0.04848960718881546,-0.35935280578535694,-0.42269925436121936,-0.9990802786999325,0.5117471986677966,-0.5486064386087719,-0.4094671886426197,-0.42443436761444564,-0.3353006114822364,-0.39518458664763784,-0.42443436761444564,-0.3353006114822364,-0.39518458664763784,-0.008889873891520442,-0.4510978573224576,-0.4094671886426197,0.03274448486973441,0.32086650312737014,0.24122125253652577,0.42443436761444564,0.4339717127222791,-0.12717416523559494,0.40727553161588265
mean_excess_delay,0.9698211150054917,1.0,0.34067962011245734,-0.5283486687432124,0.6486654088336495,-0.04894761598471109,-0.49483404300499134,-0.5549454587804018,-0.9687808174248774,0.5679465251259107,-0.6655621385540805,-0.5283486687432124,-0.45558155010067913,-0.3451572327044025,-0.4094960940280996,-0.45558155010067913,-0.3451572327044025,-0.4094960940280996,-0.0031627651662750104,-0.4847101786545415,-0.5283486687432124,0.0072764534277202815,0.38348709072480336,0.24231514689112785,0.45558155010067913,0.4748713846148781,-0.19291431223989167,0.5068084775413303
max_excess_delay,0.20894359459745662,0.34067962011245734,1.0,-0.6176239622785671,0.22049246273614442,-0.08474687929177617,-0.850989936287863,-0.8352463760549952,-0.2092757550460023,0.4031793299065167,-0.722835328419781,-0.6176239622785671,-0.43567858118621816,-0.32690760803795804,-0.3717827066214226,-0.43567858118621816,-0.32690760803795804,-0.3717827066214226,0.04242865648897316,-0.4674893292962513,-0.6176239622785671,0.006323072019262773,0.4429879347967167,0.18264632537943423,0.43567858118621816,0.47217823726631897,-0.3611409298539303,0.5332707225375121
fp_to_total_ratio,-0.4094671886426197,-0.5283486687432124,-0.6176239622785671,1.0,-0.44580102735962823,-0.29050389774143753,0.7752416649074052,0.7734021070807906,0.4131263701148602,-0.4529800185369661,0.8117826812131866,1.0,0.5065321315211501,0.26784265165759463,0.33607205276385116,0.5065321315211501,0.26784265165759463,0.33607205276385116,-0.015533779148656246,0.5458537109305073,1.0,-0.016211015898373538,-0.712978114787796,-0.16134294816001832,-0.5065321315211501,-0.5396499501851237,0.41412984460474644,-0.59783668868727
rise_time_fp,0.632517752706681,0.6486654088336495,0.22049246273614442,-0.44580102735962823,1.0,0.02020825202469561,-0.3795576311656208,-0.42199401178886736,-0.6345728580131056,0.4226174905792291,-0.5122673301221216,-0.44580102735962823,-0.3922936853795375,-0.12254526605905693,-0.2557360407344697,-0.3922936853795375,-0.12254526605905693,-0.2557360407344697,-0.24444997824252018,-0.3284211668089911,-0.44580102735962823,-0.006134419906155785,0.31049238218214675,-0.034138258167077044,0.3922936853795375,0.25338834992994697,-0.23934851104194538,0.37927094392036936
fp_kurtosis,-0.04848960718881546,-0.04894761598471109,-0.08474687929177617,-0.29050389774143753,0.02020825202469561,1.0,0.12757665132919918,0.1303836671403298,0.04419114920718009,-0.1206218434670634,0.10422672949801996,-0.29050389774143753,-0.02607682231706459,0.16667923458341719,0.10714485655743608,-0.02607682231706459,0.16667923458341719,0.10714485655743608,-0.04692726279852422,-0.014878454582454218,-0.29050389774143753,0.025559784641709434,0.23703504160704725,-0.12759166369341196,0.02607682231706459,-0.043527329457608385,-0.03268191689125542,-0.047269210620424634
kurtosis_total,-0.35935280578535694,-0.49483404300499134,-0.850989936287863,0.7752416649074052,-0.3795576311656208,0.12757665132919918,1.0,0.9924041058486903,0.36002829633123,-0.5562524892490974,0.9385174055770439,0.7752416649074052,0.5214036889757477,0.3620941260421309,0.4168974858816698,0.5214036889757477,0.3620941260421309,0.4168974858816698,-0.0014215491882784194,0.5413661333738272,0.7752416649074052,-0.0004292350978211084,-0.5445271907743096,-0.2044076103797659,-0.5214036889757477,-0.552359216904383,0.42296825880855,-0.6908648693804972
skewness_total,-0.42269925436121936,-0.5549454587804018,-0.8352463760549952,0.7734021070807906,-0.42199401178886736,0.1303836671403298,0.9924041058486903,1.0,0.42272172352476156,-0.6160932559377402,0.9444846557423734,0.7734021070807906,0.5392234640618898,0.3822531138927332,0.4419119200558684,0.5392234640618898,0.3822531138927332,0.4419119200558684,-0.0020488980999663316,0.5624341264618845,0.7734021070807906,0.0029500612552196565,-0.5419794016206604,-0.2210487008831698,-0.5392234640618898,-0.570277790466408,0.4060739005027578,-0.7003652267883458
energy_concentration_50ns,-0.9990802786999325,-0.9687808174248774,-0.2092757550460023,0.4131263701148602,-0.6345728580131056,0.04419114920718009,0.36002829633123,0.42272172352476156,1.0,-0.5116587521786867,0.5494721680726354,0.4131263701148602,0.42628264973166635,0.33151028581516767,0.39375520216691623,0.42628264973166635,0.33151028581516767,0.39375520216691623,0.011625599072175275,0.4518811010877791,0.4131263701148602,-0.03428993533736873,-0.3251455865994896,-0.23662557608095813,-0.42628264973166635,-0.43261941475647914,0.13166893621679368,-0.4085023644062112
num_significant_peaks,0.5117471986677966,0.5679465251259107,0.4031793299065167,-0.4529800185369661,0.4226174905792291,-0.1206218434670634,-0.5562524892490974,-0.6160932559377402,-0.5116587521786867,1.0,-0.5720555610077545,-0.4529800185369661,-0.3964449457879693,-0.354890426631126,-0.39758208563462316,-0.3964449457879693,-0.354890426631126,-0.39758208563462316,0.0687871029639862,-0.45436979915695747,-0.4529800185369661,-0.02335800849288355,0.3062268948651509,0.2818207655668751,0.3964449457879693,0.45597283408958034,-0.19396908123269269,0.4618438436722551
