stage,feature_a,feature_b,pair_type,pearson,spearman,abs_pearson,abs_spearman
stage2,s3_fp,gamma_anchor_linear,cp_cp,-0.16907112679081468,-1.0,0.16907112679081468,1.0
stage2,k_factor_estimate,f_r_fp,cp_cir,0.9980269784469464,1.0,0.9980269784469464,1.0
stage2,xpr_fp_db,gamma_anchor_linear,cp_cp,-0.47767290795847556,-1.0,0.47767290795847556,1.0
stage2,xpr_fp_db,s3_fp,cp_cp,0.8712648902288407,1.0,0.8712648902288407,1.0
stage2,xpr_late_db,s3_late,cp_cp,0.9129243158139434,1.0,0.9129243158139434,1.0
stage2,xpr_all_db,s3_all,cp_cp,0.9011596097655201,1.0,0.9011596097655201,1.0
stage2,fp_to_total_ratio,f_r_fp,cp_cir,0.9999999999999997,1.0,0.9999999999999997,1.0
stage2,fp_to_total_ratio,k_factor_estimate,cir_cir,0.9980269784469484,1.0,0.9980269784469484,1.0
stage2,rms_delay_spread,energy_concentration_50ns,cir_cir,-0.8934232286264836,-0.9990802786999325,0.8934232286264836,0.9990802786999325
stage2,kurtosis_total,skewness_total,cir_cir,0.9779731623803549,0.9924041058486903,0.9779731623803549,0.9924041058486903
stage2,rms_delay_spread,mean_excess_delay,cir_cir,0.8964106025475662,0.9698211150054917,0.8964106025475662,0.9698211150054917
stage2,mean_excess_delay,energy_concentration_50ns,cir_cir,-0.998365609330997,-0.9687808174248774,0.998365609330997,0.9687808174248774
stage2,skewness_total,peak_to_avg_ratio,cir_cir,0.9502243494958268,0.9444846557423734,0.9502243494958268,0.9444846557423734
stage2,s3_late,gamma_delay_linear,cp_cp,-0.19874937305375356,-0.9413573267785927,0.19874937305375356,0.9413573267785927
stage2,xpr_late_db,gamma_delay_linear,cp_cp,-0.44308060792464904,-0.9413573267785927,0.44308060792464904,0.9413573267785927
stage2,kurtosis_total,peak_to_avg_ratio,cir_cir,0.9388439853704793,0.9385174055770439,0.9388439853704793,0.9385174055770439
stage2,s3_all,delta_p_l_given_r_db,cp_cp,0.8680527169217285,0.9332548476397295,0.8680527169217285,0.9332548476397295
stage2,xpr_all_db,delta_p_l_given_r_db,cp_cp,0.9567994107513869,0.9332548476397295,0.9567994107513869,0.9332548476397295
stage2,delta_p_l_given_r_db,gamma_delay_linear,cp_cp,-0.4499775421694707,-0.9217067675392192,0.4499775421694707,0.9217067675392192
stage2,xpr_late_db,s3_all,cp_cp,0.8421738664178651,0.9190372333793004,0.8421738664178651,0.9190372333793004
stage2,xpr_all_db,s3_late,cp_cp,0.8451496572383453,0.9190372333793004,0.8451496572383453,0.9190372333793004
stage2,xpr_late_db,xpr_all_db,cp_cp,0.934438079298663,0.9190372333793004,0.934438079298663,0.9190372333793004
