,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar
rms_delay_spread,1.0,0.8964106025475662,0.26783527877313673,-0.45764549861807935,0.7012676788155467,0.04022997992828504,-0.42584669555980337,-0.5381027384405042,-0.8934232286264836,0.6973321419162402,-0.6462316894988827,-0.44444236157406414,-0.3810998115339007,-0.2789492271965806,-0.33435097782846096,-0.28648844308614363,-0.2511580755891798,-0.29823896885742873,-0.08744552913977803,-0.40673247012972435,-0.45764549861807013,0.04414637643045569,0.3511341499383002,0.15966245581209987,0.2101283071454432,0.18700673938142182,-0.13225410568612977,0.45778915344806403
mean_excess_delay,0.8964106025475662,1.0,0.48369400149349745,-0.505404356065768,0.6088025270246354,0.08728569444135763,-0.5101499558131655,-0.6564539534556604,-0.998365609330997,0.9220000615111382,-0.7025020476111674,-0.4842502046021154,-0.3497343473152777,-0.2323249843334473,-0.28169191322374326,-0.23349426994601338,-0.20193557830210657,-0.24181151251456623,-0.05701306987831157,-0.38573697360503256,-0.505404356065758,0.02205221478355114,0.36941570891573966,0.13751736981539214,0.22362972664362285,0.2081385505119103,-0.0894754197687427,0.4823726591394943
max_excess_delay,0.26783527877313673,0.48369400149349745,1.0,-0.2908296374931767,0.09232547595439858,0.14638996260966236,-0.37158898348825414,-0.4773390694093666,-0.4870282537277839,0.5721662524560486,-0.3821689991052474,-0.2700268671769028,-0.15853467098079738,-0.10394725010527532,-0.11286772463001368,-0.07826455412936194,-0.0750165915200064,-0.08213616422765137,0.031736997663116204,-0.20837314089756873,-0.29082963749317264,0.010639562924476516,0.2111665359641569,0.08513927722686894,0.1107941240480571,0.20387702318208525,-0.048972840179118564,0.22635610649930338
fp_to_total_ratio,-0.45764549861807935,-0.505404356065768,-0.2908296374931767,1.0,-0.4290965745438097,-0.2954399628208989,0.7717652087343541,0.7629567257705439,0.48702139618428597,-0.47883234620963144,0.8059913131500073,0.9980269784469484,0.4305762655657849,0.22816920575306432,0.2823549667653785,0.22924088837468334,0.15707625347220164,0.1891260421997705,-0.0008751196984886527,0.47352277168958956,0.9999999999999997,-0.03712772300847207,-0.7264575376953939,-0.10455996229076903,-0.294556468703374,-0.2525514332854624,0.30734540978645664,-0.5449065657340632
rise_time_fp,0.7012676788155467,0.6088025270246354,0.09232547595439858,-0.4290965745438097,1.0,0.09625724982914993,-0.3702860537153757,-0.4264164197956265,-0.6080013904110767,0.464707648054897,-0.5138558829838554,-0.4169235816462376,-0.31088834441495383,-0.07670635469500751,-0.20527515543833186,-0.19740657708179246,-0.06659429159472424,-0.17716295190633716,-0.22057214072695874,-0.27847872514744,-0.42909657454380823,0.006036629246290586,0.30491596526448234,-0.10022546579019317,0.15558334872543367,0.043356624686117985,-0.14263839584605872,0.3519818840210398
fp_kurtosis,0.04022997992828504,0.08728569444135763,0.14638996260966236,-0.2954399628208989,0.09625724982914993,1.0,-0.06551649915197522,-0.09159396063901337,-0.08781310294332385,0.07963690215814545,-0.0601088565057579,-0.2876180567990701,-0.18985370041864347,0.05440095811813508,-0.0545646533463099,-0.057012801071612905,0.05489436337604963,-0.026752824316263822,-0.16237885111580178,-0.11136544013492629,-0.2954399628209065,-0.03924573796952345,0.1800926320167762,-0.2186372673441955,0.2502198455059468,0.09194656650615057,-0.0938363211711255,0.05156114400832926
kurtosis_total,-0.42584669555980337,-0.5101499558131655,-0.37158898348825414,0.7717652087343541,-0.3702860537153757,-0.06551649915197522,1.0,0.9779731623803549,0.48812071688012015,-0.5363533755955574,0.9388439853704793,0.7570861714865307,0.43842972229290816,0.3217550073198211,0.35566704854954,0.22630637037105028,0.2144504619981318,0.22752591793421287,-0.007230275593167545,0.4807917915117339,0.771765208734362,-0.015029841917463411,-0.551285596485906,-0.15618005166872836,-0.28617989704388486,-0.29237238078819655,0.31492386555073953,-0.6338536703022339
skewness_total,-0.5381027384405042,-0.6564539534556604,-0.4773390694093666,0.7629567257705439,-0.4264164197956265,-0.09159396063901337,0.9779731623803549,1.0,0.6376315842909624,-0.682278128857849,0.9502243494958268,0.7435477342443694,0.45496857326943546,0.3331986218926392,0.3724020227387503,0.24103208928387565,0.23018917319068244,0.2491353875107101,0.0021476156479583773,0.5038128582839222,0.762956725770549,-0.01834266733808767,-0.547389689546204,-0.16696496137849648,-0.2995283526671098,-0.3101559462803051,0.28730014604791837,-0.6358595108585889
energy_concentration_50ns,-0.8934232286264836,-0.998365609330997,-0.4870282537277839,0.48702139618428597,-0.6080013904110767,-0.08781310294332385,0.48812071688012015,0.6376315842909624,1.0,-0.9225958059640346,0.6849713967212611,0.46597890955859894,0.33891002037004175,0.21954830231482272,0.27134602587836393,0.2293143929772313,0.1942098707568669,0.23724946178141712,0.06323670466576206,0.37366419774343945,0.4870213961842744,-0.021650136534063114,-0.35625412310977267,-0.1292981152102115,-0.21490413829389923,-0.19717557680552952,0.08250486102560475,-0.4692026445665625
num_significant_peaks,0.6973321419162402,0.9220000615111382,0.5721662524560486,-0.47883234620963144,0.464707648054897,0.07963690215814545,-0.5363533755955574,-0.682278128857849,-0.9225958059640346,1.0,-0.6647269491478306,-0.45252512953397633,-0.3032164254325771,-0.1903572471229699,-0.23148447132440575,-0.17964951328237605,-0.15762120688634443,-0.18887973654771462,-0.03369248701907918,-0.34597746896393106,-0.47883234620962206,0.01702182927029182,0.3473313906944342,0.11324462919366622,0.21400272280168112,0.18798182081474468,-0.07137377362894669,0.4247833555885884
