stage,n,n_pos,mean_abs_cp_cir_spearman,median_abs_cp_cir_spearman,max_abs_cp_cir_spearman,mean_abs_cp_cp_spearman,mean_abs_cir_cir_spearman
stage1,3000,2120,0.46101438759425006,0.4704929860547762,1.0,0.6236626082975217,0.5260785709218974
stage2,900,437,0.35077227077670486,0.3930244437732269,1.0,0.49264704984712765,0.5111643476095223
