case_name,los_angle_deg,gamma_cp_3_fp_only,gamma_cp_2_freq_db,midband_norm
below,0,6.11579319898528e-18,-331.687159255904,0.0130071600578982
offaxis_45,45,2.68314435547862e-18,-335.53143189422,0.00459872554045931
corner_55,54.7356103172453,1.10814171799607e-16,-319.30325951996,0.00250322912027336
far_63,63.434948822922,1.29058139416582e-16,-318.128718520435,0.00116339576334722
