x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,3,"[29.65, 38.57]","[28.00, 32.00]",121,0.749673202614379,0.777777777777778,0.0281045751633986
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,3,"[38.57, 45.77]","[28.00, 32.00]",126,0.749667553191489,0.88563829787234,0.135970744680851
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,3,"[45.77, 53.49]","[28.00, 32.00]",110,0.845029239766082,0.932383040935672,0.0873538011695906
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,3,"[53.49, 77.65]","[28.00, 32.00]",116,0.687032967032967,0.743736263736264,0.0567032967032965
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,4,"[1.27, 29.65]","[32.00, 36.00]",110,0.720683760683761,0.729230769230769,0.00854700854700829
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,4,"[29.65, 38.57]","[32.00, 36.00]",120,0.772428229665072,0.788875598086124,0.0164473684210527
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,4,"[38.57, 45.77]","[32.00, 36.00]",134,0.766238532110092,0.820917431192661,0.0546788990825688
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,4,"[45.77, 53.49]","[32.00, 36.00]",127,0.796396396396396,0.865765765765766,0.0693693693693694
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,4,"[53.49, 77.65]","[32.00, 36.00]",109,0.853668261562998,0.89792663476874,0.0442583732057417
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,5,"[1.27, 29.65]","[36.00, 40.00]",118,0.750291375291375,0.800990675990676,0.0506993006993007
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,5,"[29.65, 38.57]","[36.00, 40.00]",119,0.726907630522088,0.842369477911647,0.115461847389558
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,5,"[38.57, 45.77]","[36.00, 40.00]",112,0.818419675562533,0.935112506541078,0.116692830978545
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,5,"[45.77, 53.49]","[36.00, 40.00]",138,0.678022309315647,0.785046728971963,0.107024419656316
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,5,"[53.49, 77.65]","[36.00, 40.00]",113,0.821629213483146,0.919475655430712,0.0978464419475655
