x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,3,"[29.65, 38.57]","[28.00, 32.00]",121,0.73562091503268,0.77156862745098,0.0359477124183006
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,3,"[38.57, 45.77]","[28.00, 32.00]",126,0.747007978723404,0.905252659574468,0.158244680851064
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,3,"[45.77, 53.49]","[28.00, 32.00]",110,0.839912280701754,0.899488304093567,0.0595760233918128
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,3,"[53.49, 77.65]","[28.00, 32.00]",116,0.678241758241758,0.752967032967033,0.0747252747252748
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,4,"[1.27, 29.65]","[32.00, 36.00]",110,0.784615384615385,0.806495726495726,0.0218803418803418
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,4,"[29.65, 38.57]","[32.00, 36.00]",120,0.758672248803828,0.800239234449761,0.0415669856459329
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,4,"[38.57, 45.77]","[32.00, 36.00]",134,0.782385321100917,0.826422018348624,0.0440366972477063
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,4,"[45.77, 53.49]","[32.00, 36.00]",127,0.80960960960961,0.856456456456457,0.0468468468468468
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,4,"[53.49, 77.65]","[32.00, 36.00]",109,0.834529505582137,0.881180223285486,0.0466507177033492
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,5,"[1.27, 29.65]","[36.00, 40.00]",118,0.778263403263403,0.819055944055944,0.040792540792541
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,5,"[29.65, 38.57]","[36.00, 40.00]",119,0.732262382864793,0.845046854082999,0.112784471218206
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,5,"[38.57, 45.77]","[36.00, 40.00]",112,0.780743066457352,0.882260596546311,0.101517530088959
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,5,"[45.77, 53.49]","[36.00, 40.00]",138,0.661742538438348,0.765752185709979,0.104009647271631
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,5,"[53.49, 77.65]","[36.00, 40.00]",113,0.776685393258427,0.833801498127341,0.0571161048689138
los_angle_from_anchor_bore_deg,snr_db,1,1,"[1.27, 29.65]","[10.00, 16.00]",120,0.787851851851852,0.85362962962963,0.0657777777777778
los_angle_from_anchor_bore_deg,snr_db,2,1,"[29.65, 38.57]","[10.00, 16.00]",111,0.83605851979346,0.880808950086059,0.0447504302925991
los_angle_from_anchor_bore_deg,snr_db,3,1,"[38.57, 45.77]","[10.00, 16.00]",118,0.779796511627907,0.875726744186047,0.0959302325581397
los_angle_from_anchor_bore_deg,snr_db,4,1,"[45.77, 53.49]","[10.00, 16.00]",120,0.803901079763149,0.871125043538837,0.0672239637756877
los_angle_from_anchor_bore_deg,snr_db,5,1,"[53.49, 77.65]","[10.00, 16.00]",131,0.70467032967033,0.80521978021978,0.100549450549451
