case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,slab_placement_results
1,2.22118117796212,1.15234059502196,-0.999888925729175,0.0724870138788596,3.55134713883628,0.0104905777207102,31.3213379700212,10.3234096287526,12.6918066916332,1.30229077155619,brick,ideal,wall_y,1.46541885572582,43.1659360435241,43.1659360435241,2.22118117796212,1.15234059502196,43.1659360435241,0,1,0,6,2.49027237354086e-09,0.0801527219321311,leading_edge,1,1,R,1,1,2,0.174277012320801,-15.3094536101055,0.00686273387063921,0.752399390748321,0.0202808679330928,0.354546081948487,4.96600188956894e-08,9.92100787478783e-09,4.48249027237354e-09,0.158379713937556,9.96108949416347e-10,1.66605023849952,121.338501353314,10.639942304603,0.972726477610099,1,165.857177657201,0.188184287570517,0,,2,0,1,1,1,0,1.46541885572582,dielectric,0.00354201751763844,0.00031002723330522,0.0875284302692901,0,43.1659360435241,43.1659360435241,wall_y
2,2.33855459337546,1.13158151907313,1.45035246871268,1.2024221154705,6.22547228971897,0.00350522182530199,25.0026356852706,6.92112366775475,32.9778384912133,3.15657930753739,brick,ideal,ceiling,2.23743720121131,57.3541720303403,57.3541720303403,2.33855459337546,1.13158151907313,57.3541720303403,0,1,0,11,4.98054474708171e-09,0.0471995089941038,leading_edge,1,1,R,1,1,2,0.076463936330466,-22.8329352692575,0.00479963728356308,0.333313871461651,0.0230632885668901,0.370677277758866,5.58059812063224e-09,2.44452128034547e-09,4.48249027237354e-09,0.181640066534379,9.96108949416347e-10,1.65701327884977,121.388810291047,10.5723674812484,0.999679289043537,2,172.552961623881,0.221956206684219,0,,2,0,1,1,0,1,2.23743720121131,dielectric,0.00231985919195786,0.00077720358325267,0.335021878029047,0,57.3541720303403,57.3541720303403,ceiling
3,2.7866616397085,1.31708543879299,-0.681157081729319,-0.069264942126555,8.62284585456668,0.0100905138688234,35.302825509174,9.17684420459054,19.6647337858544,1.85902217385817,concrete,patch_ffd,wall_x,1.62124236698128,24.9806242638307,24.9806242638307,2.7866616397085,1.31708543879299,24.9806242638307,0,1,0,7,2.98832684824903e-09,8.21918080616483,leading_edge,1,1,R,1,1,2,1.31091196864318,2.15312577819902,1.52335247161744,0.000283637273286397,0.0169483407693444,0.327076572432495,3.18464765961058e-08,5.78354273561522e-09,4.98054474708171e-09,0.138314046575978,9.96108949416347e-10,1.68145038217366,114.07352868284,10.2207701984481,0.98979652233184,2,162.862623433431,0.160515610155149,0,,2,0,1,1,1,0,1.62124236698128,dielectric,0.00320158130787269,0.000559883135729664,0.174877062891675,0,24.9806242638307,24.9806242638307,wall_x
4,2.60168746361349,1.23648434531782,-1.88986513073608,0.517290654111219,6.4411063664575,0.00789264615057781,21.8432562501813,14.9495974076881,26.9486336354521,3.71596676447131,wood,patch_ffd,ceiling,2.38808697232892,55.1330787369569,55.1330787369569,2.60168746361349,1.23648434531782,55.1330787369569,0,1,0,10,4.48249027237354e-09,0.732565961406159,leading_edge,1,1,R,1,1,2,0.925668028515597,-2.35385306650093,0.837985718426759,0.0740955168842823,0.0162050035881428,0.330925514004651,2.14641280086388e-08,3.80894774057704e-09,5.47859922178988e-09,0.115337254018907,4.48249027237356e-09,1.87414818120596,104.374283917638,9.78866772621245,0.997430327564445,1,152.118397619441,0.130374263574305,0,,2,0,1,1,0,1,2.38808697232892,dielectric,0.00217351349335347,0.000745753186016148,0.343109526716368,0,55.1330787369569,55.1330787369569,ceiling
5,2.85676763030814,1.20050466995946,1.78703227226806,1.06810395061155,8.89298352139415,0.00106340525767183,28.7222211839029,7.86240531106838,23.0938838506567,4.38235577734719,drywall,ideal,wall_x,2.66036414523698,51.4959451624095,51.4959451624095,2.85676763030814,1.20050466995946,51.4959451624095,0,1,0,14,6.47470817120623e-09,0.0442821988759647,leading_edge,1,1,R,1,1,2,0.345169890282615,-9.25911844594184,0.00869431443204795,0.394439300102488,0.0204505851512138,0.353366232767268,1.49677043554746e-08,3.1160178667954e-09,4.48249027237354e-09,0.159577370466182,9.96108949416347e-10,1.66650750676048,120.356071475829,10.6260366528566,0.997422564167428,1,168.363816008153,0.189877526923209,0,,2,0,1,1,0,1,2.66036414523698,dielectric,0.00195106345383262,0.000675826245330355,0.346388654865519,0,51.4959451624095,51.4959451624095,wall_x
6,2.60378592865245,0.727161546373904,-1.51172423844814,-0.776390676988364,8.18679150570996,0.0457001641241766,26.4913434178514,13.7705039316072,33.2590011828327,2.83356728858341,concrete,patch_ffd,floor,2.53176059859308,42.1634496640921,42.1634496640921,2.60378592865245,0.727161546373904,42.1634496640921,0,1,0,13,5.97665369649805e-09,5.48656526746332,leading_edge,1,1,R,1,1,2,0.519775509968934,-6.09254444932474,0.925972896689541,0.280563726100538,0.0147685684560919,0.302257165622375,1.3288116879667e-08,3.05758285593971e-09,4.48249027237354e-09,0.14231594634255,3.98443579766539e-09,1.6416969904416,112.031636125847,10.0440690094818,0.999093710804017,3,166.179827600432,0.165930502888176,0,,2,0,1,1,0,1,2.53176059859308,dielectric,0.0020501698543468,0.000671172826513429,0.327374253938228,0,42.1634496640921,42.1634496640921,floor
7,2.89947120795183,0.723136133204817,0.186143037174321,1.43207197205226,8.60118887878088,0.0066036904014833,38.608630779974,8.76288897962437,17.5369377284982,3.01937571819352,concrete,ideal,wall_y,2.61187934656259,33.5664777305065,33.5664777305065,2.89947120795183,0.723136133204817,33.5664777305065,0,1,0,14,6.47470817120623e-09,0.0444366804968206,leading_edge,1,1,R,1,1,2,0.314980081822124,-10.0859307475446,0.0340010577543519,0.000705396178598328,0.02786210207828,0.415302733649828,2.70341805891407e-08,4.46366697174386e-09,4.48249027237354e-09,0.197261627265402,9.96108949416347e-10,1.64715511147483,121.84575466452,10.6872471442443,0.991939841136079,1,166.064733976582,0.245735888510491,0,,2,0,1,1,0,1,2.61187934656259,dielectric,0.00198728140505022,0.000611166213658753,0.307538837783927,0,33.5664777305065,33.5664777305065,wall_y
8,2.83705829266783,0.27695017986579,1.78160272788049,-0.878081147798627,6.12730615969537,0.00698140407421318,22.7339604267103,11.3675836386221,15.4590087341962,2.27327396622711,glass,patch_ffd,wall_y,3.24026053448567,37.8057693649517,37.8057693649517,2.83705829266783,0.27695017986579,37.8057693649517,0,1,0,18,8.46692607003891e-09,0.594034108998747,leading_edge,1,1,R,1,1,2,3.67391843776764,7.5163876973939,0.462354475726925,0.553892353435814,0.0161534044775754,0.433668252933384,9.75314750105494e-08,3.70024854535426e-08,1.09571984435798e-08,0.109673128840148,3.48638132295721e-09,1.62103402212395,60.5365499298248,7.28819093027754,0.871672112108108,6,88.2961813836034,0.12318299311496,0,,2,0,1,1,0,1,3.24026053448567,dielectric,0.001601889478459,0.000427228344725266,0.266702759753598,0,37.8057693649517,37.8057693649517,wall_y
9,2.47511703185873,0.210075353764654,0.681176383118955,0.225373929777471,9.70511683910437,0.0239604659561346,20.4352192800532,9.91069777890405,38.4796060245868,3.33944836879391,metal_pec,ideal,ceiling,2.37596474650732,17.5765172912304,17.5765172912304,2.47511703185873,0.210075353764654,17.5765172912304,0,1,0,12,5.47859922178988e-09,0.0493185306417881,leading_edge,1,1,R,1,1,2,0.709623673350839,-3.00198725709011,0.0157698913101649,0.732972815977329,0.0191605418360893,0.339428151011548,3.58670901057267e-09,2.47820642434672e-09,4.48249027237354e-09,0.153763621975176,9.96108949416347e-10,1.673107915416,121.50920554023,10.6727695944398,0.999895585283113,1,170.964202252951,0.181702921273688,0,,2,0,1,1,0,1,2.37596474650732,PEC,0.00218460280830709,0.00155969120213774,0.713947265931783,0,17.5765172912304,17.5765172912304,ceiling
10,2.50752961308275,1.23968227477012,-0.674277490104678,0.106264387590972,8.64919905124154,0.0122147334073645,32.4662109301829,5.99039693250583,39.7247099727087,4.56962499284933,brick,ideal,wall_x,1.43992330594319,28.2976937628282,28.2976937628282,2.50752961308275,1.23968227477012,28.2976937628282,0,1,0,6,2.49027237354086e-09,0.0811767684339498,leading_edge,1,1,R,1,1,2,0.156959483861767,-16.0844476338766,0.0018356386933442,0.00231124750256806,0.0246090083572983,0.386990610174536,5.30247299301951e-09,2.37766686617807e-09,4.48249027237354e-09,0.181600641623061,9.96108949416347e-10,1.65556821610333,121.403275152549,10.6786571085833,0.999861175220025,1,168.922061678214,0.22189734115043,0,,2,0,1,1,1,0,1.43992330594319,dielectric,0.00360473313837961,0.000567226940236768,0.157356153274565,0,28.2976937628282,28.2976937628282,wall_x
