scenario_name,proxy,rx_x,rx_y,rx_z,path_count,n_eff,tau_rms_ns,mean_aoa_spread_deg,aoa_azimuth_spread_deg,aoa_elevation_spread_deg,aod_azimuth_spread_deg,aod_elevation_spread_deg,dpr_db,pmi_env,mrs_raw,mrs_score,mrs_label,selected_role,lp_port_power_imbalance_raw_db,cp_port_power_imbalance_raw_db,lp_rate_raw_snr_0,cp_rate_raw_snr_0,delta_rate_raw_snr_0,lp_capacity_raw_snr_0,cp_capacity_raw_snr_0,delta_capacity_raw_snr_0,lp_rate_norm_snr_0,cp_rate_norm_snr_0,delta_rate_norm_snr_0,lp_capacity_norm_snr_0,cp_capacity_norm_snr_0,delta_capacity_norm_snr_0,lp_total_snr_raw_db_snr_0,cp_total_snr_raw_db_snr_0,lp_best_port_snr_raw_db_snr_0,cp_best_port_snr_raw_db_snr_0,lp_fixed_single_rate_raw_snr_0,cp_fixed_single_rate_raw_snr_0,lp_fixed_egc_rate_raw_snr_0,cp_fixed_egc_rate_raw_snr_0,lp_rate_raw_snr_10,cp_rate_raw_snr_10,delta_rate_raw_snr_10,lp_capacity_raw_snr_10,cp_capacity_raw_snr_10,delta_capacity_raw_snr_10,lp_rate_norm_snr_10,cp_rate_norm_snr_10,delta_rate_norm_snr_10,lp_capacity_norm_snr_10,cp_capacity_norm_snr_10,delta_capacity_norm_snr_10,lp_total_snr_raw_db_snr_10,cp_total_snr_raw_db_snr_10,lp_best_port_snr_raw_db_snr_10,cp_best_port_snr_raw_db_snr_10,lp_fixed_single_rate_raw_snr_10,cp_fixed_single_rate_raw_snr_10,lp_fixed_egc_rate_raw_snr_10,cp_fixed_egc_rate_raw_snr_10,lp_rate_raw_snr_20,cp_rate_raw_snr_20,delta_rate_raw_snr_20,lp_capacity_raw_snr_20,cp_capacity_raw_snr_20,delta_capacity_raw_snr_20,lp_rate_norm_snr_20,cp_rate_norm_snr_20,delta_rate_norm_snr_20,lp_capacity_norm_snr_20,cp_capacity_norm_snr_20,delta_capacity_norm_snr_20,lp_total_snr_raw_db_snr_20,cp_total_snr_raw_db_snr_20,lp_best_port_snr_raw_db_snr_20,cp_best_port_snr_raw_db_snr_20,lp_fixed_single_rate_raw_snr_20,cp_fixed_single_rate_raw_snr_20,lp_fixed_egc_rate_raw_snr_20,cp_fixed_egc_rate_raw_snr_20
open_office,False,0.5,0.5,1.2,21,1.907650454733512,5.607730885897167,16.148788791096287,28.490158468956785,3.80741911323579,18.32857738850103,11.699132966565287,3.7822585918798337,0.00025913688547973146,-0.16455681899620742,16.119049304731526,moderate,,-0.5499241744851106,-2.165511197488181,4.192774349858351e-05,0.00016770481903390276,0.00012577707553531925,7.448444875278996e-05,0.0002979137805919832,0.00022342933183919325,5.5651599739935104e-09,5.5651599739935104e-09,0.0,9.907922294832191e-09,9.907922294832191e-09,0.0,-45.366677359426994,-39.346077446198734,-48.11071366930521,-41.4072191900062,3.448016683696105e-05,3.7195342230265935e-05,4.441863422369697e-05,4.246052765339048e-05,0.0004192312778408936,0.0016763101194653665,0.0012570788416244728,0.0007446644195048485,0.0029762602401087737,0.0022315958206039254,5.565159896089878e-08,5.5651599021916424e-08,6.101764624690903e-17,9.907921956148858e-08,9.907921956148858e-08,0.0,-35.366677359426994,-29.346077446198734,-38.11071366930521,-31.407219190006206,0.0003447575171945618,0.0003718700466163407,0.0004441118223697768,0.00042452923040874085,0.004187705367665824,0.016689821787704777,0.012502116420038952,0.007428703269376694,0.02947900261332,0.022050299343943307,5.565159070527809e-07,5.565159071137987e-07,6.101771242135803e-17,9.90791872079348e-07,9.90791872079348e-07,0.0,-25.366677359426998,-19.346077446198734,-28.110713669305213,-21.407219190006206,0.003443169292037535,0.003710399113508731,0.004433686501446415,0.0042377112309076965
open_office,False,1.0,0.5,1.2,22,1.827444775611211,5.514656389109983,16.374815537512777,27.962519959820664,4.78711111520489,17.8116083639042,12.137002723523981,4.173007801073453,0.0002360445220360184,-0.20279089755504373,15.545461568079181,moderate,,-1.6687190829749259,-1.7907270027372593,3.696255805613151e-05,0.00014784568425434732,0.00011088312619821582,6.208016568219675e-05,0.0002483032345519169,0.00018622306886972016,4.898511895578171e-09,4.898511895578171e-09,0.0,8.193491610701014e-09,8.193491610701014e-09,0.0,-45.914080659588635,-39.89348074638852,-48.16968074107158,-42.10006702758847,2.718450566341377e-05,3.883196009596996e-05,4.017090646906505e-05,2.1259294607427057e-05,0.0003695914741552719,0.0014779114345050502,0.0011083199603497782,0.0006206709719886165,0.0024809437163459285,0.001860272744357312,4.898511836716807e-08,4.8985118367168086e-08,1.3234889800848443e-23,8.193491426507867e-08,8.193491426507867e-08,0.0,-35.914080659588635,-29.89348074638852,-38.16968074107158,-32.10006702758847,0.000271818752816112,0.00038825172752487936,0.00040165390034090515,0.00021257115463395277,0.003692509615166982,0.014724924086901348,0.011032414471734366,0.006193684782074519,0.024603323922453145,0.018409639140378624,4.898511243069351e-07,4.898511243679528e-07,6.101771242135803e-17,8.193489157301313e-07,8.193489157606401e-07,3.050875033156061e-17,-25.914080659588635,-19.89348074638852,-28.16968074107158,-22.10006702758847,0.0027155612493972745,0.0038757500558202545,0.004011034482433788,0.002123536675564005
open_office,False,1.5,0.5,1.2,23,2.0152522580334478,5.279428502474298,18.26958343883606,25.607945580011222,10.931221297660903,16.80684020011418,12.552698669623043,3.418756308965852,0.00020518795271464726,-0.13345263474407948,16.58567435019041,moderate,,-5.568968342322558,-2.1694375978889187,0.0001599572391305567,0.0006397382673333779,0.00047978102820282124,0.00028806466903499785,0.001151902396371864,0.0008638377273368661,2.1077505976506333e-08,2.1077506022269568e-08,4.576323468518177e-17,3.787920465904719e-08,3.787920465904719e-08,0.0,-39.55150115189858,-33.53090123858746,-40.614763123474766,-35.59055975702538,3.422211662986269e-05,0.00012939072917217916,7.912630135976414e-05,0.0003884003248727186,0.0015988925073865388,0.006386529540951917,0.004787637033565379,0.0028779768609663906,0.011476505190439457,0.008598528329473066,2.1077504845481412e-07,2.1077504840905092e-07,-4.576320490667972e-17,3.787920004185344e-07,3.787920004185344e-07,0.0,-29.551501151898577,-23.530901238587457,-30.614763123474763,-25.59055975702538,0.0003421731653386167,0.0012930827516691838,0.0007909870158367596,0.00387843536343715,0.01592140332413247,0.06280906202786442,0.046887658703731946,0.02851647118908214,0.1107370264967948,0.08222055530771266,2.107749311422103e-06,2.1077493114983747e-06,7.62715052519871e-17,3.78791540089679e-06,3.787915400851027e-06,-4.576307255778171e-17,-19.551501151898577,-13.530901238587456,-20.614763123474763,-15.590559757025382,0.0034169433823587436,0.012849284704043725,0.007882441804725436,0.03824034013358273
open_office,False,2.0,0.5,1.2,22,1.8940438410963878,5.1629165079740735,17.884625222721308,24.76018123145781,11.009069213984805,15.91589138963784,12.97338177551579,3.931539530955546,0.00017883974968567335,-0.19694438382791463,15.633170980793034,moderate,,-0.023897991732824968,-1.5420892324763642,4.0634591865952066e-05,0.00016253202907041592,0.00012189743720446386,7.550332370968643e-05,0.0003019881675446607,0.00022648484383497428,5.357780439676687e-09,5.357780439676686e-09,-8.271806125530277e-25,9.948633833460524e-09,9.948633833460524e-09,0.0,-45.50272991199709,-39.48212999845949,-48.50109731073229,-41.78947423241748,3.7965332948261484e-05,4.819962698180227e-05,6.0855117137749945e-05,3.260425201226489e-05,0.00040629838616190994,0.0016245602565308497,0.0012182618703689397,0.0007548448263379495,0.003016870980077634,0.0022620261537396845,5.357780364505681e-08,5.35778036450568e-08,-6.617444900424222e-24,9.948633517786337e-08,9.948633517786337e-08,0.0,-35.50272991199709,-29.482129998459495,-38.50109731073229,-31.789474232417486,0.00037959560048437917,0.00048188295060700874,0.0006084255908263595,0.0003259783672961735,0.004058239707714659,0.01617017686874667,0.01211193716103201,0.007529679675415639,0.029872209786456057,0.02234253011104042,5.357779540642469e-07,5.357779540489924e-07,-1.5254533984457915e-17,9.948630254570304e-07,9.948630255180477e-07,6.101728890488441e-17,-25.50272991199709,-19.482129998459495,-28.50109731073229,-21.789474232417483,0.0037901983924867144,0.0048075469646151215,0.00607173878518696,0.0032533931054676258
open_office,False,2.5,0.5,1.2,22,1.795449331293542,5.137092346510926,17.677331346971624,24.20662032214231,11.148042371800935,15.613649854882834,13.382082550716259,4.408943170870041,0.00015341326826622613,-0.2423507064730571,14.95198522145389,moderate,,-1.2504404145006995,-2.857884943867857,6.174330520088679e-05,0.00024695857209864724,0.00018521526689776045,0.00011244094909509607,0.00044970609719557843,0.00033726514810048235,8.308492591117598e-09,8.308492530099952e-09,-6.101764624690903e-17,1.5123887182413297e-08,1.512388719766771e-08,1.5254411561727257e-17,-43.685760774441185,-37.66516086088488,-46.11568998610469,-39.477475084077,4.397727796158423e-05,4.3095852841127614e-05,7.140328178953956e-05,7.780969221480043e-05,0.0006173232064432368,0.002467829935482469,0.0018505067290392324,0.001123976904991918,0.004490153481944134,0.0033661765769522163,8.308492312075579e-08,8.308492319702784e-08,7.627204788246894e-17,1.51238863771882e-07,1.5123886375662759e-07,-1.5254401635559907e-17,-33.685760774441185,-27.665160860884885,-36.1156899861047,-29.477475084076996,0.00043968185094874,0.000430855276944404,0.0007138350183040595,0.0007777986521225138,0.006162280128487175,0.024504783949804782,0.018342503821317607,0.011196769678658998,0.04422699088670835,0.033030221208049354,8.308490250054441e-07,8.308490250664618e-07,6.101771242135803e-17,1.512387824790948e-06,1.5123878249282376e-06,1.3728964118981876e-16,-23.68576077444118,-17.665160860884882,-26.115689986104694,-19.477475084077,0.0043877591411448985,0.004298272942283977,0.00711866027694304,0.007748360678965835
open_office,False,3.0,0.5,1.2,22,1.7264753727013926,5.044858905559837,18.270273073085676,24.764619136880274,11.775927009291081,15.26039373237032,13.831739309813246,4.789910042901184,0.00014641678826372726,-0.2734954886868795,14.484751125277985,moderate,,0.02801551606690982,-4.696256110444504,6.041456262458474e-05,0.00024164401570182372,0.00018122945307723898,0.00010940494845229553,0.00043756394766280546,0.00032815899921050996,7.943494071722742e-09,7.943494071722742e-09,0.0,1.4438092306861802e-08,1.4438092306861802e-08,0.0,-43.78024374962923,-37.75964383641516,-46.776558538546205,-39.02789194455353,5.371976756455748e-05,2.77603865710963e-05,7.589806349791026e-05,9.958807721650008e-05,0.0006040388846018272,0.002414733987159312,0.0018106951025574846,0.0010936307921141518,0.004368953884070072,0.0032753230919559204,7.943493870571113e-08,7.943493867520232e-08,-3.0508816506009614e-17,1.4438091574297517e-07,1.4438091574297517e-07,0.0,-33.780243749629236,-27.759643836415158,-36.776558538546205,-29.027891944553534,0.0005370695142428604,0.00027756201125370735,0.0007587499581445351,0.0009953927633226795,0.006029746420766822,0.023978730168845823,0.017948983748079,0.010894690442909367,0.043036715989986686,0.03214202554707732,7.943492016481094e-07,7.943492016176004e-07,-3.0508962089797424e-17,1.443808429259314e-06,1.4438084292440599e-06,-1.5254216347102695e-17,-23.780243749629232,-17.759643836415158,-26.776558538546205,-19.027891944553538,0.005357931653047574,0.0027714462264320132,0.007564546077273344,0.009905570811707825
open_office,False,3.5,0.5,1.2,23,1.7608192401686504,4.977123379650476,21.002716058374332,24.446158131232576,17.559273985516086,14.673111517725165,16.254213458571762,4.6089413333272775,0.00011434699758152279,-0.22296404046539609,15.242824030592638,moderate,,0.14426289259465344,-3.4363688643882,4.53476572059613e-05,0.00018138251331268482,0.0001360348561067235,8.378420975287629e-05,0.0003351046840046764,0.0002513204742518001,6.024578666450175e-09,6.024578666450176e-09,1.6543612251060553e-24,1.1107319900618912e-08,1.1107319900618912e-08,0.0,-45.02613206518199,-39.005532151832135,-47.964899559229046,-40.62901437962211,4.1285975406080696e-05,4.59816223699127e-05,6.92147669637208e-05,4.8785314119502776e-05,0.00045341571401441035,0.001812852135066458,0.0013594364210520477,0.000837601001294322,0.0033471951299527646,0.002509594128658443,6.02457855419314e-08,6.02457854198961e-08,-1.2203529249381806e-16,1.1107319484030316e-07,1.1107319485555757e-07,1.5254414870449708e-17,-35.026132065182,-29.005532151832135,-37.96489955922905,-30.62901437962212,0.00041279909870730133,0.0004597276709147827,0.0006919812043863849,0.00048772839059395534,0.004528085013088125,0.018032089063646523,0.013504004050558398,0.00835200933710426,0.033093629389174165,0.024741620052069903,6.024577468538787e-07,6.024577468538788e-07,1.0587911840678754e-22,1.1107315215942373e-06,1.1107315216400004e-06,4.576307255778171e-17,-25.026132065181997,-19.00553215183213,-27.96489955922905,-20.62901437962212,0.0041219397352975475,0.00458845228865415,0.006903228791253147,0.004864867242262607
open_office,False,4.0,0.5,1.2,24,1.7076925116277055,5.022572000033484,21.374284565641027,24.76152413192786,17.987044999354193,15.048033287506696,16.516190085396776,4.908340948578191,8.23133765875342e-05,-0.23483696178817798,15.064706436925352,moderate,,0.2570927497168695,-3.280022920579382,4.642388459313013e-05,0.0001856869254494375,0.00013926304085630736,8.8372771625323e-05,0.0003534567805390049,0.00026508400891368187,6.148162879653364e-09,6.148162910162189e-09,3.050882477781574e-17,1.1703848099675214e-08,1.1703848099675214e-08,0.0,-44.92426345992357,-38.90366354650273,-47.80791917941929,-40.576516711637105,4.4745761918500906e-05,4.653050664074188e-05,7.826510020333112e-05,6.007273104782099e-05,0.000464174257694253,0.0018558366102288909,0.0013916623525346379,0.000883470491229923,0.003530458334412088,0.002646987843182165,6.148162754455047e-08,6.14816275903137e-08,4.576323137645932e-17,1.1703847671617676e-07,1.1703847671617676e-07,0.0,-34.92426345992357,-28.903663546502727,-37.80791917941929,-30.576516711637105,0.00044738883436938067,0.000465215928883896,0.0007824494590517061,0.0006005713035170056,0.0046352981212807514,0.018456013225992857,0.013820715104712104,0.008809096970275912,0.034900841939302416,0.026091744969026505,6.148161613676873e-07,6.148161613829416e-07,1.5254322226221102e-17,1.1703843129584365e-06,1.1703843130041996e-06,4.576307255778171e-17,-24.92426345992357,-18.90366354650273,-27.807919179419287,-20.576516711637105,0.004467026926844681,0.004643275265751636,0.007804419631083099,0.005990186464178856
open_office,False,4.5,0.5,1.2,26,1.6701010837036454,4.847740183045419,21.980976943481338,25.346787423408088,18.615166463554587,14.465133136272668,16.77811425859879,5.136985312566017,8.402380094358507e-05,-0.26409604627204214,14.62576158253862,moderate,,0.8121376842689726,-3.205731132953997,4.672459879081562e-05,0.00018688881794085317,0.00014016421915003755,8.937969321776317e-05,0.00035748057940633246,0.0002681008861885693,6.196711645954762e-09,6.1967116459547625e-09,8.271806125530277e-25,1.1854262468462215e-08,1.1854262468462215e-08,0.0,-44.89621539140323,-38.8756154780888,-47.51940279150836,-40.5723565525374,4.5498955038691194e-05,5.214967647149235e-05,7.143099193074274e-05,6.682026032706622e-05,0.0004671741701039278,0.0018677400943405446,0.0014005659242366168,0.0008935105720987593,0.0035702320163470487,0.002676721444248289,6.196711539056109e-08,6.196711546683315e-08,7.627206111735874e-17,1.185426197975707e-07,1.1854261982807954e-07,3.0508842975789216e-17,-34.89621539140323,-28.875615478088797,-37.519402791508355,-30.572356552537396,0.0004549045396019392,0.0005213483662118006,0.0007141122448456336,0.0006679880180245244,0.0046645786301077055,0.01856377709396971,0.013899198463862006,0.008906618820814314,0.0352542850229684,0.026347666202154087,6.196710276338984e-07,6.196710275881352e-07,-4.576317843690012e-17,1.185425692414791e-06,1.1854256924300453e-06,1.5254428105339508e-17,-24.89621539140323,-18.8756154780888,-27.519402791508355,-20.572356552537396,0.004540571489560088,0.00519872411497028,0.007121448820503464,0.006658563157113308
open_office,False,5.0,0.5,1.2,26,1.630480856504237,4.81400121825679,22.16453483404617,25.581021571536493,18.748048096555845,14.3361014397313,16.931745293118603,5.383768093842431,4.266003793611214e-05,-0.2846095835285467,14.318017448268836,moderate,,0.09700628803522272,-1.2788991983043172,5.248941635906676e-05,0.00020994704357258062,0.00015745762721351385,9.392521353714526e-05,0.00037565906247147144,0.0002817338489343262,7.027726758673258e-09,7.027726712910023e-09,-4.5763235512362385e-17,1.2608818086644797e-08,1.2608818086644797e-08,0.0,-44.39095470735304,-38.37035479432828,-47.35302236224627,-40.78811190142147,4.03644276886041e-05,6.127383862344796e-05,7.036381386918749e-05,8.85275139836888e-05,0.0005248145124569263,0.00209819713845581,0.001573382625998884,0.0009389387996733103,0.0037515861829994037,0.0028126473833260937,7.027726561597813e-08,7.02772657075046e-08,9.152646275291864e-17,1.2608817510241122e-07,1.260881750871568e-07,-1.5254428105339508e-17,-34.39095470735304,-28.37035479432828,-37.35302236224627,-30.788111901421473,0.00040357266131630217,0.000612550757568219,0.0007034492268565037,0.0008849503936957694,0.0052402009865505925,0.02085596983881323,0.015615768852262638,0.009358221202361948,0.037025867544726754,0.027667646342364807,7.027725099120901e-07,7.027725099273445e-07,1.5254322226221102e-17,1.2608811716767673e-06,1.2608811716310042e-06,-4.576307255778171e-17,-24.390954707353036,-18.37035479432828,-27.353022362246268,-20.788111901421473,0.004028587867432108,0.0061068585616750526,0.0070156837455849904,0.00881723545517318
