EL_proxy_db,LOSflag,L_pol_db,XPD_early_excess_db,XPD_late_excess_db,case_id,case_label,flags,link_id,reasons,scenario_id,scene_source,severity
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,12,A3_12,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_12,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,13,A3_13,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_13,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,14,A3_14,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_14,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,15,A3_15,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_15,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
2.7199659283313338,0.0,-7.99999976960412,-32.93483746859778,-24.934837698993658,16,A3_16,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A3_16,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-1 rays""]",A3,fallback_layout,FAIL
2.7199659283313338,0.0,-7.99999976960412,-32.93483746859778,-24.934837698993658,17,A3_17,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A3_17,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-1 rays""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,2,A3_2,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_2,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,3,A3_3,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_3,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,4,A3_4,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_4,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.934837698993658,-24.934837698993658,5,A3_5,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_5,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
