plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
L3-3,fitted_mean,,,,-7.056036802360644,-27.596667520894176,-27.596667520894176,
L3-3,fitted_mean,,,,-6.652704885047953,-27.671609689434597,-27.671609689434597,
L3-3,fitted_mean,,,,-6.249372967735263,-27.746551857975017,-27.746551857975017,
L3-3,fitted_mean,,,,-5.8460410504225715,-27.821494026515442,-27.821494026515442,
L3-3,fitted_mean,,,,-5.442709133109881,-27.896436195055863,-27.896436195055863,
L3-3,fitted_mean,,,,-5.03937721579719,-27.971378363596283,-27.971378363596283,
L3-3,fitted_mean,,,,-4.636045298484499,-28.046320532136708,-28.046320532136708,
L3-3,fitted_mean,,,,-4.232713381171807,-28.12126270067713,-28.12126270067713,
L3-3,fitted_mean,,,,-3.829381463859117,-28.19620486921755,-28.19620486921755,
L3-3,fitted_mean,,,,-3.4260495465464262,-28.271147037757974,-28.271147037757974,
L3-3,fitted_mean,,,,-3.0227176292337354,-28.346089206298394,-28.346089206298394,
L3-3,fitted_mean,,,,-2.619385711921044,-28.421031374838815,-28.421031374838815,
L3-3,fitted_mean,,,,-2.216053794608353,-28.49597354337924,-28.49597354337924,
L3-3,fitted_mean,,,,-1.8127218772956626,-28.57091571191966,-28.57091571191966,
L3-3,fitted_mean,,,,-1.4093899599829713,-28.64585788046008,-28.64585788046008,
L3-3,fitted_mean,,,,-1.006058042670281,-28.720800049000506,-28.720800049000506,
L3-3,fitted_mean,,,,-0.6027261253575897,-28.795742217540926,-28.795742217540926,
L3-3,fitted_mean,,,,-0.1993942080448985,-28.870684386081347,-28.870684386081347,
L3-3,fitted_mean,,,,0.20393770926779187,-28.94562655462177,-28.94562655462177,
L3-3,fitted_mean,,,,0.6072696265804831,-29.020568723162192,-29.020568723162192,
L3-3,fitted_mean,,,,1.0106015438931735,-29.095510891702613,-29.095510891702613,
L3-3,fitted_mean,,,,1.4139334612058647,-29.170453060243037,-29.170453060243037,
L3-3,fitted_mean,,,,1.817265378518556,-29.245395228783458,-29.245395228783458,
L3-3,fitted_mean,,,,2.220597295831247,-29.32033739732388,-29.32033739732388,
L3-3,fitted_mean,,,,2.6239292131439385,-29.395279565864303,-29.395279565864303,
L3-3,fitted_mean,,,,3.027261130456628,-29.470221734404724,-29.470221734404724,
L3-3,fitted_mean,,,,3.430593047769319,-29.545163902945145,-29.545163902945145,
L3-3,fitted_mean,,,,3.8339249650820104,-29.62010607148557,-29.62010607148557,
L3-3,fitted_mean,,,,4.237256882394702,-29.69504824002599,-29.69504824002599,
L3-3,fitted_mean,,,,4.640588799707393,-29.76999040856641,-29.76999040856641,
L3-3,fitted_mean,,,,5.043920717020082,-29.84493257710683,-29.84493257710683,
L3-3,fitted_mean,,,,5.447252634332774,-29.919874745647256,-29.919874745647256,
L3-3,fitted_mean,,,,5.850584551645465,-29.994816914187677,-29.994816914187677,
L3-3,fitted_mean,,,,6.253916468958156,-30.069759082728098,-30.069759082728098,
L3-3,fitted_mean,,,,6.657248386270847,-30.144701251268522,-30.144701251268522,
L3-3,fitted_mean,,,,7.060580303583537,-30.219643419808943,-30.219643419808943,
L3-3,fitted_mean,,,,7.463912220896228,-30.294585588349364,-30.294585588349364,
L3-3,fitted_mean,,,,7.867244138208919,-30.369527756889788,-30.369527756889788,
L3-3,fitted_mean,,,,8.27057605552161,-30.44446992543021,-30.44446992543021,
L3-3,fitted_mean,,,,8.673907972834302,-30.51941209397063,-30.51941209397063,
L3-3,fitted_mean,,,,9.077239890146991,-30.594354262511054,-30.594354262511054,
L3-3,fitted_mean,,,,9.480571807459683,-30.669296431051475,-30.669296431051475,
L3-3,fitted_mean,,,,9.883903724772374,-30.744238599591895,-30.744238599591895,
L3-3,fitted_mean,,,,10.287235642085065,-30.81918076813232,-30.81918076813232,
L3-3,fitted_mean,,,,10.690567559397756,-30.89412293667274,-30.89412293667274,
L3-3,fitted_mean,,,,11.093899476710448,-30.96906510521316,-30.96906510521316,
L3-3,fitted_mean,,,,11.497231394023139,-31.044007273753586,-31.044007273753586,
L3-3,fitted_mean,,,,11.90056331133583,-31.118949442294007,-31.118949442294007,
L3-3,fitted_mean,,,,12.303895228648521,-31.193891610834427,-31.193891610834427,
L3-3,fitted_mean,,,,12.707227145961209,-31.26883377937485,-31.26883377937485,
L3-3,fitted_mean,,,,13.1105590632739,-31.343775947915272,-31.343775947915272,
L3-3,fitted_mean,,,,13.513890980586591,-31.418718116455693,-31.418718116455693,
L3-3,fitted_mean,,,,13.917222897899283,-31.493660284996118,-31.493660284996118,
L3-3,fitted_mean,,,,14.320554815211974,-31.56860245353654,-31.56860245353654,
L3-3,fitted_mean,,,,14.723886732524665,-31.64354462207696,-31.64354462207696,
L3-3,fitted_mean,,,,15.127218649837356,-31.718486790617384,-31.718486790617384,
L3-3,fitted_mean,,,,15.530550567150048,-31.793428959157804,-31.793428959157804,
L3-3,fitted_mean,,,,15.933882484462739,-31.868371127698225,-31.868371127698225,
L3-3,fitted_mean,,,,16.33721440177543,-31.94331329623865,-31.94331329623865,
L3-3,fitted_mean,,,,16.740546319088118,-32.01825546477907,-32.01825546477907,
L3-3,fitted_mean,,,,17.14387823640081,-32.09319763331949,-32.09319763331949,
L3-3,fitted_mean,,,,17.5472101537135,-32.168139801859915,-32.168139801859915,
L3-3,fitted_mean,,,,17.95054207102619,-32.24308197040034,-32.24308197040034,
L3-3,fitted_mean,,,,18.353873988338883,-32.31802413894076,-32.31802413894076,
