plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
R1-3,L_pol_db,B1,0,B1_0,2.0,-3.0,-12.678598420096266,
R1-3,L_pol_db,B1,1,B1_1,2.0,-2.0,-8.128200482548309,
R1-3,L_pol_db,B1,2,B1_2,2.0,-1.0,-8.99468821418985,
R1-3,L_pol_db,B1,3,B1_3,2.0,0.0,-6.261150491865992,
R1-3,L_pol_db,B1,4,B1_4,2.0,1.0,-8.491027401543564,
R1-3,L_pol_db,B1,5,B1_5,2.0,2.0,-7.648863613258021,
R1-3,L_pol_db,B1,6,B1_6,2.0,3.0,-13.074736720409728,
R1-3,L_pol_db,B1,7,B1_7,3.0,-3.0,-11.650822657922017,
R1-3,L_pol_db,B1,8,B1_8,3.0,-2.0,-10.847430125734329,
R1-3,L_pol_db,B1,9,B1_9,3.0,-1.0,-9.682240792279206,
R1-3,L_pol_db,B1,10,B1_10,3.0,0.0,-9.400767307035522,
R1-3,L_pol_db,B1,11,B1_11,3.0,1.0,-8.613177968932092,
R1-3,L_pol_db,B1,12,B1_12,3.0,2.0,-10.267103772298485,
R1-3,L_pol_db,B1,13,B1_13,3.0,3.0,-9.692409970984986,
R1-3,L_pol_db,B1,14,B1_14,4.0,-3.0,-11.428296404710416,
R1-3,L_pol_db,B1,15,B1_15,4.0,-2.0,-9.913967919500527,
R1-3,L_pol_db,B1,16,B1_16,4.0,-1.0,-11.171584773769421,
R1-3,L_pol_db,B1,17,B1_17,4.0,0.0,-8.713106402680301,
R1-3,L_pol_db,B1,18,B1_18,4.0,1.0,-10.18300307109736,
R1-3,L_pol_db,B1,19,B1_19,4.0,2.0,-10.441528222287511,
R1-3,L_pol_db,B1,20,B1_20,4.0,3.0,-10.983873492321838,
R1-3,L_pol_db,B1,21,B1_21,5.0,-3.0,-9.77268370656477,
R1-3,L_pol_db,B1,22,B1_22,5.0,-2.0,-8.720826944930984,
R1-3,L_pol_db,B1,23,B1_23,5.0,-1.0,-10.275296121431523,
