plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
M1-6,"d=1.00,yaw=-10.0",C0,0,C0_0,1.0,25.062864817173182,25.062864817173182,
M1-6,"d=1.00,yaw=-10.0",C0,1,C0_1,1.0,24.933947283561622,24.933947283561622,
M1-6,"d=1.00,yaw=0.0",C0,2,C0_2,1.0,25.32021101393822,25.32021101393822,
M1-6,"d=1.00,yaw=0.0",C0,3,C0_3,1.0,25.05244976590573,25.05244976590573,
M1-6,"d=1.00,yaw=10.0",C0,4,C0_4,1.0,24.732165041556367,24.732165041556367,
M1-6,"d=1.00,yaw=10.0",C0,5,C0_5,1.0,25.18079722600538,25.18079722600538,
M1-6,"d=2.00,yaw=-10.0",C0,6,C0_6,2.0,25.651998678577247,25.651998678577247,
M1-6,"d=2.00,yaw=-10.0",C0,7,C0_7,2.0,25.473539191685223,25.473539191685223,
M1-6,"d=2.00,yaw=0.0",C0,8,C0_8,2.0,24.648131315483944,24.648131315483944,
M1-6,"d=2.00,yaw=0.0",C0,9,C0_9,2.0,24.367288264657297,24.367288264657297,
M1-6,"d=2.00,yaw=10.0",C0,10,C0_10,2.0,24.68836169219218,24.68836169219218,
M1-6,"d=2.00,yaw=10.0",C0,11,C0_11,2.0,25.020661827527988,25.020661827527988,
M1-6,"d=3.00,yaw=-10.0",C0,12,C0_12,3.0,23.837482621447602,23.837482621447602,
M1-6,"d=3.00,yaw=-10.0",C0,13,C0_13,3.0,24.89060163035374,24.89060163035374,
M1-6,"d=3.00,yaw=0.0",C0,14,C0_14,3.0,24.377042271720597,24.377042271720597,
M1-6,"d=3.00,yaw=0.0",C0,15,C0_15,3.0,24.63386393064095,24.63386393064095,
M1-6,"d=3.00,yaw=10.0",C0,16,C0_16,3.0,24.727868064222772,24.727868064222772,
M1-6,"d=3.00,yaw=10.0",C0,17,C0_17,3.0,24.84184741246491,24.84184741246491,
M1-6,"d=4.00,yaw=-10.0",C0,18,C0_18,4.0,25.205810417134963,25.205810417134963,
M1-6,"d=4.00,yaw=-10.0",C0,19,C0_19,4.0,25.521251468204696,25.521251468204696,
M1-6,"d=4.00,yaw=0.0",C0,20,C0_20,4.0,24.935728109973276,24.935728109973276,
M1-6,"d=4.00,yaw=0.0",C0,21,C0_21,4.0,25.683226320525744,25.683226320525744,
M1-6,"d=4.00,yaw=10.0",C0,22,C0_22,4.0,24.667398377834687,24.667398377834687,
M1-6,"d=4.00,yaw=10.0",C0,23,C0_23,4.0,25.17575021745622,25.17575021745622,
M1-6,"d=5.00,yaw=-10.0",C0,24,C0_24,5.0,25.451727069462144,25.451727069462144,
M1-6,"d=5.00,yaw=-10.0",C0,25,C0_25,5.0,25.046998841282743,25.046998841282743,
M1-6,"d=5.00,yaw=0.0",C0,26,C0_26,5.0,24.62824373944831,24.62824373944831,
M1-6,"d=5.00,yaw=0.0",C0,27,C0_27,5.0,24.539130810773475,24.539130810773475,
M1-6,"d=5.00,yaw=10.0",C0,28,C0_28,5.0,24.771130229329135,24.771130229329135,
M1-6,"d=5.00,yaw=10.0",C0,29,C0_29,5.0,25.110090147200566,25.110090147200566,
