stage,cv_scheme,feature_set,feature_family,n_features,model,n,n_pos,AUC,PR_AUC,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_at_0p5,features
stage2,room_label_stratified5,Joint_CIR12_CP_ratio_fp6,joint,18,logistic_l2,900,437,0.677375192135659,0.698160260037448,0.6144444444444445,0.6112632270882861,0.5579617834394904,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,Joint_CIR12_CP_ratio_fp6,joint,18,logistic_l1,900,437,0.6749682451033208,0.6952682829194454,0.6088888888888889,0.6056709055952869,0.5510204081632653,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CP16_all_only,cp_only,16,logistic_l2,900,437,0.6742861944042189,0.7054040797996093,0.6188888888888889,0.6136553469315132,0.5242718446601942,xpr_fp_db;xpr_late_db;xpr_all_db;s3_fp;s3_late;s3_all;delta_tau_l_given_r_s;delta_p_l_given_r_db;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;lambda_l_late_fraction;gamma_anchor_linear;gamma_delay_linear;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage2,room_label_stratified5,CP16_all_only,cp_only,16,logistic_l1,900,437,0.6738908026945946,0.7060850495070027,0.6144444444444445,0.6092714413510535,0.5200553250345782,xpr_fp_db;xpr_late_db;xpr_all_db;s3_fp;s3_late;s3_all;delta_tau_l_given_r_s;delta_p_l_given_r_db;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;lambda_l_late_fraction;gamma_anchor_linear;gamma_delay_linear;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage2,room_label_stratified5,CP_pruned6_only,cp_only,6,logistic_l2,900,437,0.6735843741196357,0.7041937033508252,0.6377777777777778,0.6336201570693567,0.5676392572944297,delta_tau_l_given_r_s;gamma_anchor_linear;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage2,room_label_stratified5,CP_pruned6_only,cp_only,6,logistic_l1,900,437,0.6725612980709826,0.7053627803228435,0.6355555555555555,0.6313318275499058,0.5638297872340425,delta_tau_l_given_r_s;gamma_anchor_linear;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage2,room_label_stratified5,CP_greedy_only,cp_only,3,gradient_boosting,900,437,0.6716766091206983,0.6997882830227675,0.6177777777777778,0.6134749494639972,0.5413333333333333,lambda_l_late_fraction;gamma_delay_linear;delta_f_l_minus_r_fp
stage2,room_label_stratified5,CP_greedy_only,cp_only,3,hist_gradient_boosting,900,437,0.6704904339918253,0.6900939421100393,0.6077777777777778,0.6064542754199801,0.5812574139976275,lambda_l_late_fraction;gamma_delay_linear;delta_f_l_minus_r_fp
stage2,room_label_stratified5,CP_greedy_only,cp_only,3,svm_rbf,900,437,0.6685628994074067,0.6779439894265875,0.6366666666666667,0.6317049784758638,0.551440329218107,lambda_l_late_fraction;gamma_delay_linear;delta_f_l_minus_r_fp
stage2,room_label_stratified5,CP_low_overlap4_only,cp_only,4,logistic_l2,900,437,0.6669862749652796,0.7009316316271839,0.6311111111111111,0.6271406754278879,0.5631578947368421,delta_tau_l_given_r_s;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s
stage2,room_label_stratified5,CP_greedy_only,cp_only,3,knn_15_distance,900,437,0.6658989477638129,0.6728075329020637,0.6188888888888889,0.6164823976553271,0.5760197775030902,lambda_l_late_fraction;gamma_delay_linear;delta_f_l_minus_r_fp
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,knn_15_distance,900,437,0.6649697772461955,0.6742690137905777,0.6066666666666667,0.6049246037433711,0.5734939759036145,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CP_low_overlap4_only,cp_only,4,logistic_l1,900,437,0.6648857565079004,0.7007755542466336,0.6277777777777778,0.6238366834543396,0.5597897503285151,delta_tau_l_given_r_s;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s
stage2,room_label_stratified5,CP_late_energy5_only,cp_only,5,gradient_boosting,900,437,0.6641098002777627,0.6991001657627849,0.6288888888888889,0.6243383366859255,0.5498652291105122,xpr_late_db;s3_late;lambda_l_late_fraction;gamma_delay_linear;xpr_all_db
