scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage
mixed_office,False,P0,0.0,2016,9.566205666703878e-09,9.566205667570749e-09,8.668709717130249e-19,9.566205666703879e-11,0.5386904761904762,1.0,4.693702801564763e-09,4.693702803150617e-09,1.5858541267744136e-18,-2.8545384208106795e-17,4.693702801564763e-09,0.05009920634920635,0.05009920634920635,0.0
mixed_office,False,P0,10.0,2016,9.566205274579829e-08,9.566205274860658e-08,2.8082843490062644e-18,9.566205274579828e-10,0.5515873015873016,1.0,4.6937027472731196e-08,4.693702748303926e-08,1.0308066713284714e-17,-4.1232213913579654e-17,4.6937027472731196e-08,0.05009920634920635,0.05009920634920635,0.0
mixed_office,False,P0,20.0,2016,9.566201299815432e-07,9.566201300044798e-07,2.2936636765382974e-17,9.566201299815432e-09,0.628968253968254,1.0,4.693702110434594e-07,4.6937021100698474e-07,-3.6474668076868664e-17,-4.757582894402432e-17,4.693702110434594e-07,0.05009920634920635,0.05009920634920635,0.0
mixed_office,False,P1,0.0,6400,1.298358873865043e-08,1.2983588738396692e-08,-2.53736750716396e-19,1.298358873865043e-10,0.51046875,1.0,1.7988936780953935e-09,1.798893657003526e-09,-2.1091867537520367e-17,-3.171709411601685e-17,4.693702801564763e-09,0.3371875,0.3371875,0.0
mixed_office,False,P1,10.0,6400,1.2983586942369348e-07,1.298358694266848e-07,2.991317613523232e-18,1.2983586942369347e-09,0.56125,1.0,1.7988936639533055e-08,1.7988936683936987e-08,4.440393209329583e-17,-4.1232213913579654e-17,4.6937027472731196e-08,0.3371875,0.3371875,0.0
mixed_office,False,P1,20.0,6400,1.298356893182817e-06,1.2983568932143471e-06,3.153023200559223e-17,1.298356893182817e-08,0.7021875,1.0,1.7988935834720747e-07,1.7988935835799125e-07,1.0783788209731311e-17,-6.026174610384541e-17,4.693702110434594e-07,0.3371875,0.3371875,0.0
mixed_office,False,P2,0.0,6400,2.221860891944752e-08,2.2218608919690354e-08,2.4283413151701117e-19,2.221860891944752e-10,0.51953125,1.0,1.459433903722313e-09,1.4594338930970866e-09,-1.0625226371701328e-17,-3.488880319674629e-17,4.693702801564763e-09,0.2953125,0.2953125,0.0
mixed_office,False,P2,10.0,6400,2.2218600563659181e-07,2.221860056376028e-07,1.010988096388313e-18,2.2218600563659183e-09,0.53046875,1.0,1.459433898143433e-08,1.4594339001416097e-08,1.9981766960441287e-17,-4.1232227148469455e-17,4.6937027472731196e-08,0.2953125,0.2953125,0.0
mixed_office,False,P2,20.0,6400,2.2218516975875997e-06,2.221851697595284e-06,7.684726325494454e-18,2.2218516975876e-08,0.5990625,1.0,1.4594338355988974e-07,1.4594338352135345e-07,-3.853629333092643e-17,-1.1100959696830684e-16,4.693702110434594e-07,0.2953125,0.2953125,0.0
straight_corridor,False,P0,0.0,768,2.7192809659422077e-08,2.719280966063625e-08,1.2141702319720887e-18,2.719280965942208e-10,0.5325520833333334,1.0,3.5891947168402693e-09,3.5891947189018805e-09,2.0616111919873502e-18,-3.4888805678288125e-17,3.5891947168402693e-09,0.05078125,0.05078125,0.0
