case_id,is_nlos,gamma_cp_3_fp_only,los_angle_from_anchor_bore_deg,los_angle_from_tag_bore_deg,ar_db_at_los,xpd_db_at_los
3,1,0.944194348718715,43.9954370281087,43.9954370281087,5.70867052563606,9.97120123022335
4,1,0.0786460245891588,37.8484732419704,37.8484732419704,8.09582320484978,7.23044398864174
6,0,0.807833895091915,15.6278971117965,15.6278971117965,14.5894511508667,3.27703382875748
7,0,0.257687620524318,66.4134280717721,66.4134280717721,1.96971010552864,-18.9459513355071
8,0,1.50174044959034,50.0468504565504,50.0468504565504,1.82451650039539,19.6057856326793
9,1,0.55440915318726,54.2038247756227,54.2038247756227,7.95268648077772,7.36536110146417
11,1,0.916544159691619,51.6549815014393,51.6549815014393,15.8232868318433,2.834725039213
12,1,0.299898121282134,49.616415676425,49.616415676425,4.2985124754411,12.3053047058637
15,1,0.623306489931577,42.8912448205497,42.8912448205497,1.45377579998199,21.5671810748296
18,1,0.280015637945244,40.151373985743,40.151373985743,16.5287143568313,2.61011453631333
21,1,0.757842046089408,32.4067455598232,32.4067455598232,6.91767002675389,8.44054174656283
24,1,1.58758587420274,43.7184296871697,43.7184296871697,1.9463468258353,19.0487203664821
26,1,1.09365249796331,46.3874595019795,46.3874595019795,1.16797231593467,23.4613091736021
27,1,0.555074841190448,46.2702719536407,46.2702719536407,6.57242278676974,-8.84350208088408
28,0,0.945028806487839,33.6758077011416,33.6758077011416,14.1213948973929,-3.46318105375391
29,1,0.742130930034992,56.5327195896303,56.5327195896303,12.9624947225777,3.97377611784771
31,1,1.20574335173119,35.7777540237339,35.7777540237339,4.71587001229102,11.5354223638924
35,0,0.248465786989706,63.1989799687555,63.1989799687555,16.5398836404853,2.60670970735855
36,1,2.00650524334443,39.2133438439062,39.2133438439062,5.12600296577066,-10.8484032823301
37,0,1.14851734674316,34.8214107641626,34.8214107641626,12.9266619932695,-3.99078620276239
40,1,1.0795514944116,54.8797375146257,54.8797375146257,14.8566981974105,3.1754787940409
41,0,0.261243712938268,57.8857778610245,57.8857778610245,3.98079699995532,12.9476849914491
45,0,0.528295412748143,43.2982750348914,43.2982750348914,23.4701717114599,-1.16677761061599
46,0,1.14674589611265,40.2045398736883,40.2045398736883,1.9672950665522,18.956516861991
47,1,0.504037882265879,39.345841092391,39.345841092391,7.0237284489881,8.32157214193699
52,1,1.67348860218509,44.4890267894395,44.4890267894395,50.1950513506882,-0.0537146956287102
54,1,2.1612356326685,41.9494198005483,41.9494198005483,1.58021288382524,20.8464851149493
55,0,1.31973591405105,31.060824164563,31.060824164563,4.90115287796231,11.2171970308521
57,1,0.529409157069667,61.1597528806892,61.1597528806892,14.9545240262981,-3.13913141865923
60,1,0.647710349821916,40.7524117040979,40.7524117040979,1.47026763101709,21.4696629877283
61,0,1.24092885297543,43.1093144315014,43.1093144315014,1.81137548218401,19.6681157705398
67,0,1.63213535982355,35.7092350346262,35.7092350346262,9.02536613896933,-6.42332834519768
69,1,0.784692826701202,46.4040049122987,46.4040049122987,6.66977543230477,-8.72736603862973
70,1,0.278912884991029,62.8933479942022,62.8933479942022,7.71856452240515,-7.59278487231311
72,1,3.25454089525806,44.2657809446057,44.2657809446057,8.33470414024964,-7.01192572131646
73,1,1.23121541323119,66.1109625666119,66.1109625666119,14.8949794833293,3.16120327345646
76,1,0.209622113824559,7.97296380006506,7.97296380006506,8.82221835238897,-6.59013738167237
79,1,0.859281325710731,18.5543734222061,18.5543734222061,4.27570895186303,12.3496819512711
80,1,0.902396640559671,54.7952089652433,54.7952089652433,22.5378661329685,-1.29945114916439
81,1,1.11824298611924,42.8968164550916,42.8968164550916,3.08105617541646,-15.1133070349129
82,1,0.901538985412313,73.5098594296513,73.5098594296513,5.59183272851353,10.1387487102276
83,1,4.16830179941258,15.7895553106346,15.7895553106346,1.06740783924998,-24.24119980673
87,0,0.640052441070235,21.2432214497729,21.2432214497729,4.98765966783874,11.073133018489
88,1,3.03537707191141,45.98733211941,45.98733211941,3.41079107396772,-14.2504034744079
94,0,0.518440612013231,39.6223731531912,39.6223731531912,10.9512910096139,5.06214349252616
95,0,0.297481731596782,37.7391503217381,37.7391503217381,19.4224778111276,1.86372656887764
98,0,0.141615394491488,9.67201131929174,9.67201131929174,4.37113289802097,12.1656576684262
99,1,0.613905100063796,29.0376635091628,29.0376635091628,10.0600912815075,5.64634175096637
100,1,0.89099361930444,66.6894778554673,66.6894778554673,11.6969848916991,4.6247557752044
101,1,3.21189869126248,49.7378438427419,49.7378438427419,20.3411179286365,-1.67545238923429
102,0,0.47021293210743,39.4628214996369,39.4628214996369,18.0602822503478,2.18327481739439
104,1,1.98615077199561,35.4273106292129,35.4273106292129,6.15730586408038,-9.36250743822309
105,1,0.69610371923924,56.5439387022446,56.5439387022446,7.81754842492223,7.49558862583246
107,1,1.54819288581956,41.9153252902772,41.9153252902772,5.66488230055729,10.0335334605806
110,1,1.41054815315189,45.9508431849801,45.9508431849801,33.353005153965,-0.373474494859612
111,1,0.11680563913409,40.579311804091,40.579311804091,7.31830883994376,8.00223786711855
112,0,0.90224862831305,28.4344541004522,28.4344541004522,5.47991071121078,10.3030140492932
114,1,0.30929433545789,41.3908602462741,41.3908602462741,10.8989933860567,5.09449187169308
116,0,0.347048292511645,54.311502401449,54.311502401449,8.67289455899694,6.71602675783751
117,1,1.42123888909839,38.5379989553994,38.5379989553994,2.2032144323662,17.9821479511994
119,1,0.673545374823886,24.0515274445817,24.0515274445817,4.05297233537959,12.7970401236272
121,0,0.896553667256922,48.4201674031912,48.4201674031912,10.347508810551,5.45003170934218
122,1,0.0489024549921794,59.0663088668709,59.0663088668709,8.69513009160845,6.69710075680696
123,0,0.686101890140123,47.4104801696829,47.4104801696829,9.31247798085469,6.19595733278811
125,1,1.754625488879,41.3380520870521,41.3380520870521,11.4650365946786,-4.75617806958032
126,1,2.4261027694547,50.7304114012538,50.7304114012538,14.3901597445873,3.3549751293784
130,1,2.36158292467513,33.3971687005941,33.3971687005941,2.17419928545112,18.0960867414271
135,1,1.76872700042314,43.8505573372069,43.8505573372069,1.71402062576985,20.1446875270377
137,1,0.826210586370109,53.306998598676,53.306998598676,16.0497022765455,-2.7605360510624
138,0,0.18812428901627,52.4071125945001,52.4071125945001,2.67171109898918,16.3292037953109
139,1,0.614286237272355,54.7695102750203,54.7695102750203,20.0064707818333,-1.74169678235815
141,1,1.20961032464959,63.2014519484437,63.2014519484437,4.62192285314751,11.7020638633645
142,0,0.288446744409162,0.367233263756703,0.367233263756703,17.2856199786112,2.3894065025587
144,0,0.477632217848938,40.3468351216373,40.3468351216373,3.52938061593948,13.9612875195283
146,1,0.682110357179534,53.8848712355683,53.8848712355683,1.33744527218295,22.288503508317
148,1,0.326301167514185,37.4421473049848,37.4421473049848,9.68863467250467,5.91208550509083
149,1,0.416420841025007,48.8556826055868,48.8556826055868,2.53473292272677,16.7795784310617
153,0,0.655930157031456,60.7004071396784,60.7004071396784,1.74733085643536,19.9786065586144
159,0,1.08671601707905,49.1016524975251,49.1016524975251,37.1529264258851,-0.241115910256871
160,1,1.1183983312114,63.2113591466984,63.2113591466984,2.73306672158105,-16.1351349692779
161,1,0.952649987964655,53.990784725103,53.990784725103,16.8038862907284,-2.52754873369317
165,1,0.49703655987028,43.3555106523408,43.3555106523408,3.4179875885611,14.2325593256599
167,1,0.526088207455117,25.4184606369953,25.4184606369953,23.1447315885193,1.21146525721976
168,1,0.863591269415626,36.7829453082797,36.7829453082797,2.51455337129095,16.8480373721857
172,1,0.111647524939226,9.15100933105113,9.15100933105113,5.19560820239099,10.7378715397974
173,1,0.366167537038111,41.4087114724845,41.4087114724845,5.07528283460622,10.9300039666522
178,1,0.632328630313523,32.8230014124161,32.8230014124161,3.76348788509291,13.4194961606665
180,1,0.545490330307276,44.8962188430996,44.8962188430996,4.98227160251767,11.0820250340864
181,0,0.41715800704007,57.9235653839859,57.9235653839859,7.52202312231019,7.79047094002752
184,0,1.32222709403386,23.5918569954337,23.5918569954337,10.6488219111466,-5.25245331064714
185,1,0.420429621252013,38.6308254931628,38.6308254931628,4.9658036722083,-11.109268481199
186,1,0.729428451848477,40.7851864784546,40.7851864784546,1.63270002762742,20.5642805626036
191,0,0.250972675342851,55.2494908209833,55.2494908209833,6.96733745943946,8.38455611342856
193,1,1.64004461522115,48.595289198925,48.595289198925,16.3913274687301,-2.652372126827
194,0,0.855132134327607,40.1330545613994,40.1330545613994,3.01225479309388,15.3055001668339
196,1,0.572261001832641,40.0675941263476,40.0675941263476,2.17952984981704,18.0750383266904
197,1,1.04693390807286,48.4426035845424,48.4426035845424,23.7987460739996,1.12334135395333
198,1,0.697757861868004,43.186163554356,43.186163554356,2.63823044242053,16.4370519094956
199,1,0.925938533140465,2.32048666288661,2.32048666288661,29.6203674170172,-0.574095305216096
200,0,0.481321219980547,9.23959667769038,9.23959667769038,23.5683579382604,-1.15362368554342
