case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,slab_placement_results_tbl
163,2.85656670063008,0.389813871446144,-0.28457716551647,-1.88061248364476,3.45042065657515,0.00160131739127126,30.2986235306665,12.1696471003747,15.531026356102,1.62094359876433,ceramic_tile,ideal,wall_x,3.11489277456879,37.6344886257475,37.6344886257475,2.85656670063008,0.389813871446144,37.6344886257475,0,1,0,17,7.96887159533074e-09,0.0374825927253354,leading_edge,1,1,R,1,1,2,0.18894321447058,-14.5221344585325,0.0456578303258047,0.00787881891473963,0.0198878804756954,0.349199867093427,3.40497490475124e-08,5.89809207872561e-09,4.48249027237354e-09,0.156439168482264,9.96108949416347e-10,1.66940008412566,121.046284136363,10.6435630899225,0.987790225732276,1,167.66154984658,0.185450962914907,0,,2,0,1,1,1,0,3.11489277456879,dielectric,0.00166636209760931,0.000269344335134417,0.161636138700489,0,37.6344886257475,37.6344886257475,wall_x
164,2.57840537142284,0.841558088877729,1.81276385263929,0.764563635757948,9.94964015706801,0.0184537669400569,24.5178411638514,13.9034211173491,13.75247601913,4.63743950474278,drywall,ideal,wall_y,2.62436827092605,48.5615286745024,48.5615286745024,2.57840537142284,0.841558088877729,48.5615286745024,0,1,0,14,6.47470817120623e-09,0.0446405109921681,leading_edge,1,1,R,1,1,2,0.29955448521828,-10.5964985473418,0.0154239244976708,0.0339080837832835,0.0260984157736651,0.40337757380234,3.74166292703476e-08,6.7377620558817e-09,4.48249027237354e-09,0.187698728127635,9.96108949416347e-10,1.65082796511205,121.472713553076,10.6636196673759,0.982921862636564,1,164.885991935958,0.231070336372843,0,,2,0,1,1,0,1,2.62436827092605,dielectric,0.00197782426923908,0.000536495127163562,0.271255204776088,0,48.5615286745024,48.5615286745024,wall_y
165,2.09809777774117,0.881577100219499,-0.825238197837508,-0.798940627938469,5.16037070254497,0.00362863938492952,34.6439995635923,13.4977570831907,12.7694121591995,2.01267233215487,glass,patch_ffd,ceiling,1.67309496711292,43.3555106523408,43.3555106523408,2.09809777774117,0.881577100219499,43.3555106523408,0,1,0,7,2.98832684824903e-09,9.96917186530999,leading_edge,1,1,R,1,1,2,0.620922081939894,-4.56083783701066,0.49703655987028,0.00177953432287881,0.0145338312600612,0.307425139811525,3.61192919060448e-08,6.58504344038521e-09,4.98054474708171e-09,0.120587259319392,9.96108949416347e-10,1.69494814962098,114.418890130628,10.3253210250858,0.986210862749783,1,158.086385522246,0.137122483836276,0,,2,0,1,1,0,1,1.67309496711292,dielectric,0.00310235782169334,0.000811258703832292,0.261497464334881,0,43.3555106523408,43.3555106523408,ceiling
166,2.39783916372413,1.47460570045917,-0.819883475833635,0.615651663314895,5.40393323417471,0.00321684471849874,27.0155943667213,7.37522304935729,19.6873592129046,4.08007022267646,metal_pec,ideal,ceiling,1.37970863307426,47.9984247586402,47.9984247586402,2.39783916372413,1.47460570045917,47.9984247586402,0,1,0,6,2.49027237354086e-09,0.0856424090278777,leading_edge,1,1,R,1,1,2,0.641603885128284,-3.89666680841018,0.0350696039081099,0.420343789791178,0.0339614302122255,0.45789197153797,2.67589757344686e-08,4.12150474941165e-09,4.48249027237354e-09,0.224783759826202,9.96108949416347e-10,1.63712145761972,120.072426866828,10.6128489355646,0.993764000830814,1,166.514872139315,0.28996265580789,0,,2,0,1,1,0,1,1.37970863307426,PEC,0.00376205463474777,0.00238393322681044,0.63367852364278,0,47.9984247586402,47.9984247586402,ceiling
167,2.96215463402205,0.475759965799671,0.284849264264055,-1.14676084831994,3.831524538422,0.0450026254287331,39.9936195255902,13.6637818646718,34.284952075121,2.61453596336654,wood,patch_ffd,ceiling,2.75288176149211,25.4184606369953,25.4184606369953,2.96215463402205,0.475759965799671,25.4184606369953,0,1,0,14,6.47470817120623e-09,2.09713373841131,leading_edge,1,1,R,1,1,2,0.606916853919267,-4.12568174678402,0.526088207455117,0.0275096321387422,0.0142793016487654,0.312517563769155,3.94228757220591e-09,2.89429959014524e-09,5.47859922178988e-09,0.11811128212976,9.96108949416347e-10,1.68789570540474,103.620851583579,9.79016023593172,0.999851486929645,1,150.297315138293,0.133929916254058,0,,2,0,1,1,0,1,2.75288176149211,dielectric,0.00188549298784455,0.000457642178234875,0.242717518009993,0,25.4184606369953,25.4184606369953,ceiling
168,2.3376738034241,0.28690211518034,0.832607914047725,1.28745169777459,6.39839328744198,0.00143022524042581,23.1474405010172,8.82783021670833,10.4210814346271,1.20978227983551,metal_pec,patch_ffd,wall_y,2.56055312968502,36.7829453082797,36.7829453082797,2.3376738034241,0.28690211518034,36.7829453082797,0,1,0,14,6.47470817120623e-09,4.75510249623324,leading_edge,1,1,R,1,1,2,0.720961948727186,-3.08105209845428,0.863591269415626,0.000485699616911694,0.0278842860905796,0.420640923872886,5.9551297823007e-08,1.28413873727054e-08,4.48249027237354e-09,0.197091413834069,2.49027237354087e-09,1.64110138813017,120.500147400297,10.5884410402387,0.963648094985446,1,162.005440489325,0.24547179744985,0,,2,0,1,1,0,1,2.56055312968502,PEC,0.00202711640601538,0.00120379137361424,0.59384422623291,0,36.7829453082797,36.7829453082797,wall_y
169,2.83144562186208,1.27440282865934,0.257338267216544,-1.05452931107587,6.0942944131734,0.00310945034936416,21.4266780430419,7.61651006361127,36.902123501082,3.66642940309126,wood,ideal,floor,1.89806146148031,34.8818398031538,34.8818398031538,2.83144562186208,1.27440282865934,34.8818398031538,0,1,0,9,3.98443579766537e-09,0.0616915450092599,leading_edge,1,1,R,1,1,2,0.0103985600189111,-39.7926917215424,0.00134767687294148,0.399711695615827,0.0223748820548276,0.374758202105046,4.28376472728438e-09,2.65996639084169e-09,4.48249027237354e-09,0.168075502715004,9.96108949416347e-10,1.65970555485601,113.586768759344,10.2053192026086,0.999887600323458,2,163.776496255985,0.202032159485051,0,,2,0,1,1,1,0,1.89806146148031,dielectric,0.00273465288822123,0.00051945646236693,0.189953344574131,0,34.8818398031538,34.8818398031538,floor
170,2.81469448521757,0.400321640957255,0.815159200144479,-0.24762876596298,7.93745327819627,0.0136136370763623,23.5370781027911,6.53896770276605,13.0774796403515,2.30281923260907,brick,ideal,wall_x,2.56027357101036,19.4360258959794,19.4360258959794,2.81469448521757,0.400321640957255,19.4360258959794,0,1,0,13,5.97665369649805e-09,0.0454329963016431,leading_edge,1,1,R,1,1,2,0.283371023775153,-11.0904644115517,0.043931392523565,0.0255356100631724,0.014814760393091,0.304098765376964,4.83127209056144e-08,9.83878197915665e-09,4.98054474708171e-09,0.127126866115727,9.96108949416347e-10,1.69237521837203,120.676746748143,10.6131132776461,0.973399241057435,1,164.686664112753,0.145641859258533,0,,2,0,1,1,0,1,2.56027357101036,dielectric,0.00202733774875869,0.000513097034493665,0.253089074480967,0,19.4360258959793,19.4360258959793,wall_x
171,2.7216630068772,1.49930776412012,1.95629718229916,-0.132474439385584,9.96869060634572,0.00121615949494216,36.2642933861247,10.1379082502523,31.9472992558876,4.98407925690273,concrete,ideal,wall_y,2.3105844459915,58.0604478444463,58.0604478444463,2.7216630068772,1.49930776412012,58.0604478444463,0,1,0,12,5.47859922178988e-09,0.0503060743725284,leading_edge,1,1,R,1,1,2,0.209250431874007,-13.5890159446855,0.00190584287940351,0.293164493408556,0.0286432441587147,0.419312240431582,5.8710874396478e-09,2.3352002099217e-09,4.48249027237354e-09,0.201394118061644,9.96108949416347e-10,1.64644375174162,121.401823700467,10.6779875734551,0.999666736955911,1,167.471241132693,0.252182112123724,0,,2,0,1,1,0,1,2.3105844459915,dielectric,0.00224641833223767,0.000467700861622256,0.208198470832624,0,58.0604478444463,58.0604478444463,wall_y
172,2.22578478281664,0.248507268134898,-0.247498954344773,0.200488467311289,3.00489322928593,0.0108460322463711,29.7825053486242,14.8315485121809,29.8470645957826,2.38135908327523,brick,patch_ffd,floor,2.00276751721027,9.15100933105113,9.15100933105113,2.22578478281664,0.248507268134898,9.15100933105113,0,1,0,8,3.4863813229572e-09,0.806481528447473,leading_edge,1,1,R,1,1,2,0.645810501462922,-4.59518585925303,0.111647524939226,0.250591061032718,0.0140234750969637,0.313592354692118,1.99753421030747e-08,3.83301330022201e-09,5.47859922178988e-09,0.102945069709545,3.48638132295721e-09,1.74334901589695,99.9936832297892,9.56728182195397,0.998167103188359,1,146.594551790804,0.114758936418991,0,,2,0,1,1,0,1,2.00276751721027,dielectric,0.00259168336467162,0.000558658455735952,0.21555814392733,0,9.15100933105113,9.15100933105113,floor
