case_id,room_type_cases_tbl,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,snr_db,xpol_coupling_db,eps_r_multiplier_cases_tbl,dominant_wall_material_cases_tbl,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results_tbl,grid_layer_results_tbl,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,dominant_wall_material_results_tbl,eps_r_multiplier_results_tbl
1,C,2.5,2,2.7,4.53378722555937,3.26936017612936,0.2,2,3.46375024151448,43.7999322316832,43.7999322316832,28.3348622188867,20.0066264406697,1.00909156173892,drywall,patch_ffd,drywall,19,8.96498054474708e-09,5.63792459927441,leading_edge,1,1,R,1,1,2,0.473371648148565,-6.71407879976833,0.543974053776722,0.00539723357614597,0.0161179762604254,0.329416902298661,7.48536425146148e-09,2.95285163278376e-09,4.98054474708171e-09,0.121994311761232,4.98054474708173e-09,1.7049572979633,108.800520702781,10.04517879459,0.999478410246336,1,152.690447721879,0.138944785205145,0,,19,0,2,1,0,1,3.46375024151448,dielectric,0.0014985316191242,0.000569434138837153,0.379994743901335,0,C,2,43.7999322316832,43.7999322316832,drywall,1.00909156173892
2,C,2.5,2,2.7,3.5,1.25,0.2,1,2.79508497187474,26.565051177078,26.565051177078,16.080211598527,30.2754402105328,0.871838406703688,wood,patch_ffd,wood,14,6.47470817120623e-09,0.322320299197604,leading_edge,1,1,R,1,1,2,5.27510257270594,8.83949984933406,1.16876794809568,0.0169151018193614,0.00368922683137397,0.316079932411876,8.19060700588425e-08,3.13263964518514e-08,1.94241245136187e-08,0.0237747388826923,3.98443579766539e-09,1.6881488852837,29.2174705543425,5.12149492174293,0.91897815262747,10,37.9607361281708,0.0243537427575698,0,,20,0,2,1,0,1,2.79508497187474,dielectric,0.00185702377920093,0.00101492192806649,0.546531465796961,0,C,1,26.565051177078,26.565051177078,wood,0.871838406703688
3,A,2.5,2,2.7,3.4363266000822,0.305146123573951,1.2,2,2.44933402468057,52.2359344787864,52.2359344787864,36.8053349626931,27.3497025548828,0.805590337144409,glass,patch_ffd,glass,16,7.47081712062257e-09,2.39530106349182,leading_edge,1,1,R,1,1,2,2.5365176262955,5.33094770222392,1.80655157008306,0.00828211429315995,0.0243414317826759,0.446834801730264,8.07658532622759e-09,4.55688501640344e-09,1.54396887159533e-08,0.160654735924074,2.98832684824904e-09,1.6475155757309,74.6324079182755,7.98435273668382,0.999640358648503,4,125.327175846426,0.191404828025028,0,,23,0,2,1,0,1,2.44933402468057,dielectric,0.00211916349724308,0.000680811904492667,0.321264454289803,0,A,2,52.2359344787864,52.2359344787864,glass,0.805590337144409
4,A,2.5,2,2.7,2.5,0.3,0.2,2,3.02324329156619,34.2157021324374,34.2157021324374,24.3710212448822,30.3312845630637,0.827004769641094,wood,patch_ffd,wood,16,7.47081712062257e-09,2.86910758062404,leading_edge,1,1,R,1,1,2,1.08300792290982,-0.158818115866059,0.54716021551057,0.0473017917569866,0.01407982254364,0.304403396928495,1.2422788344057e-08,3.37230926766786e-09,4.98054474708171e-09,0.116911924314483,9.96108949416347e-10,1.69777633609628,109.796123600722,10.0502974801966,0.99830193468261,2,156.203696377728,0.132389879937771,0,,23,0,2,1,0,1,3.02324329156619,dielectric,0.00171687778887606,0.000563263317515212,0.328074206076106,0,A,2,34.2157021324374,34.2157021324374,wood,0.827004769641094
5,C,2.5,2,2.7,0.5,0.5,1.2,1,2.91547594742265,59.0362434679265,59.0362434679265,26.864578604572,24.5978319778462,1.02766803168866,wood,patch_ffd,wood,15,6.9727626459144e-09,5.11641057905586,leading_edge,1,1,R,1,1,2,0.303356041458819,-10.5356828358568,0.396501628003531,0.0466912323247952,0.0232833321501606,0.395087108210297,7.95545882406639e-09,2.7261783884434e-09,5.47859922178988e-09,0.16770989915735,2.49027237354087e-09,1.65146449344972,106.915017253944,9.96182413411374,0.999388854279347,1,153.338966135911,0.201504137785074,0,,14,0,2,1,0,1,2.91547594742265,dielectric,0.00178034027763017,0.000429159264771946,0.241054628805682,0,C,1,59.0362434679265,59.0362434679265,wood,1.02766803168866
6,B,2.5,2,2.7,0.5,2,0.2,1,3.20156211871642,38.6598082540901,38.6598082540901,22.52536328314,34.7903962122387,0.869404355902495,wood,patch_ffd,wood,17,7.96887159533074e-09,3.84073735872042,leading_edge,1,1,R,1,1,2,1.2054062983227,-0.0712890177183702,0.856548003580569,0.0028759423992839,0.019931950204884,0.35786100156956,3.34691352295231e-08,6.19917780679675e-09,6.47470817120623e-09,0.163796331255244,1.99221789883269e-09,1.65797442366401,105.821369801068,9.66670459708184,0.988439873185751,3,159.997855608026,0.195880904829229,0,,23,0,2,1,0,1,3.20156211871642,dielectric,0.00162125208419805,0.000555768768039364,0.342802191871521,0,B,1,38.6598082540901,38.6598082540901,wood,0.869404355902495
7,C,2.5,2,2.7,0.721582469664414,3.51383987958012,0.65,2,3.1075681960678,48.7245420761672,48.7245420761672,22.9792293992852,30.0977376126809,1.05169420617531,glass,patch_ffd,glass,26,1.24513618677043e-08,1.78673179950354,leading_edge,1,1,R,1,1,2,0.586522533966424,-5.29664645520144,0.125699622250124,0.134153053475251,0.0135943779553174,0.31287869934102,1.38365840539562e-08,9.23040758358047e-09,1.24513618677043e-08,0.0676079647137408,1.99221789883269e-09,1.68380271409918,89.757284144328,8.92604523993056,0.997829541768551,2,142.75800155126,0.0725102340594148,0,,8,1,2,0,0,1,3.1075681960678,dielectric,0,0.000550187177578691,550187177.578691,1,C,2,48.7245420761672,48.7245420761672,glass,1.05169420617531
8,A,2.5,2,2.7,2.37496716322877,3.67010143851542,1.2,2,2.24830425547842,48.151021344603,48.151021344603,12.7581728638662,32.0388306417681,0.95019671845521,wood,patch_ffd,wood,11,4.98054474708171e-09,1.48539126609386,leading_edge,1,1,R,1,1,2,1.42600265774052,-0.419385526603405,0.622991295995049,0.014610525973086,0.0145767757692457,0.38411771671479,6.04467941006913e-08,1.74953853078814e-08,1.39455252918288e-08,0.107263657418159,4.48249027237356e-09,1.6557753954493,56.9071551735251,6.89333766052058,0.956349746082613,3,101.560752615394,0.120151552369814,0,,23,0,2,1,0,1,2.24830425547842,dielectric,0.00230864628086293,0.000480182278436086,0.207993005431999,0,A,2,48.151021344603,48.151021344603,wood,0.95019671845521
9,C,2.5,2,2.7,0.321360101580687,3.48657943850444,1.2,2,3.03420339363871,60.372199607627,60.372199607627,11.227103744642,20.6260331821862,1.06788399415081,brick,patch_ffd,brick,38,1.84280155642023e-08,2.63328239316718,leading_edge,1,1,R,1,1,2,0.837989156561754,-3.25292715971368,0.406847617108422,0.0953050877816158,0.0155277157952008,0.339374559840598,6.02632797020764e-08,1.41236754452303e-08,4.98054474708171e-09,0.114502811733354,1.29494163424125e-08,1.72862493275163,100.197033489868,9.45550636457304,0.957912826227729,3,138.593263341169,0.129309063033269,0,,18,0,2,1,0,1,3.03420339363871,dielectric,0.00171067610976266,0.000523813221573298,0.306202453277945,0,C,2,60.372199607627,60.372199607627,brick,1.06788399415081
10,A,2.5,2,2.7,4.6755819714984,2.64481559279255,0.65,2,3.0580130907858,47.9043779468933,47.9043779468933,26.6694154767024,32.9087065790418,1.19925519330797,concrete,patch_ffd,concrete,15,6.9727626459144e-09,4.49994401711729,leading_edge,1,1,R,1,1,2,1.26422249045434,1.84838033790096,1.71717017894379,0.0187608388961219,0.0137528343099956,0.325503535459086,2.9557686647216e-08,7.4910962949317e-09,7.96887159533074e-09,0.0695352030197811,6.97276264591443e-09,1.39257290183512,76.8162155428049,7.9965519329383,0.994485427505648,4,133.436273668379,0.0747316859761427,0,,20,0,2,1,0,1,3.0580130907858,dielectric,0.00169735678153188,0.000649163064220458,0.382455280636156,0,A,2,47.9043779468933,47.9043779468933,concrete,1.19925519330797
