group,n,mean_num_paths,median_num_paths,mean_rms_delay_spread,median_rms_delay_spread
Stage1_patch,1500,1.99266666666667,2,3.24484895761297e-08,2.31794245468602e-08
A,75,20.5066666666667,21,2.60803927826755e-08,1.94608037846858e-08
B,75,19.6266666666667,21,2.68038136713927e-08,1.92946833205158e-08
C,75,17.48,18,2.70241605919209e-08,1.82931298152699e-08
