case_id,room_type,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer,los_distance_m,los_angle_from_anchor_bore_deg,los_angle_from_tag_bore_deg,snr_db,xpol_coupling_db,eps_r_multiplier,dominant_wall_material,antenna_type,material_name,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,bounce_count_max,bounce_count_min,bounce_to_los_ratio_mid,dominant_bounce_count,energy_concentration_50ns,error_msg,failed,fp_kurtosis,fp_method,fp_peak_val,fp_to_total_ratio,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,gamma_cp_reversed_rx_port,gamma_cp_same_rx_port,gamma_cp_same_tx_port,has_los_path,idx_fp,is_los,is_nlos,k_factor_estimate,kurtosis_total,los_strength_mid,material_kind,max_bounce_strength_mid,max_excess_delay,mean_excess_delay,num_paths,num_significant_peaks,peak_to_avg_ratio,primary_rx_port,primary_tx_port,rise_time_fp,rms_delay_spread,skewness_total,t_fp_s,tx_handedness,tx_rx_dist_m
1,A,2.5,2,2.7,0.5,0.5,0.2,1,3.53553390593274,45,45,18,26,0.95,drywall,patch_ffd,drywall,0.0157332738363959,0.320544687741068,2,0,0.369561772344501,0,0.994925200303899,,0,1.70231995928656,leading_edge,4.59362241439368,0.122835116555549,0.332602977401925,-9.83016954412994,0.216333284911802,0.0577172606001642,2,1,1,1,19,0,1,0.140036518645389,113.610544923714,0.00146810620284214,dielectric,0.000542555930312295,4.98054474708171e-09,4.22802244210414e-09,18,1,157.410989328238,1,1,3.98443579766539e-09,2.28081849545275e-08,10.2962423475752,8.96498054474708e-09,R,3.53553390593274
2,A,2.5,2,2.7,0.3,2,0.2,2,3.33016516106934,41.3477772196937,41.3477772196937,28,34,1.05,brick,patch_ffd,brick,0.0252067547640938,0.473327144014285,2,0,0.315540200457394,0,0.99560109230899,,0,1.61405812620016,leading_edge,3.339633795636,0.177205849549612,2.97571352134471,2.40349954498153,0.809127574528338,0.0327102134453588,2,1,1,1,18,0,1,0.215370818390738,75.5259573965808,0.00155864319233699,dielectric,0.000491814585351566,7.47081712062257e-09,5.21280275524758e-09,18,4,115.661076271006,1,1,9.96108949416347e-10,2.11127926053428e-08,8.28059249270237,8.46692607003891e-09,R,3.33016516106934
3,B,2.5,2,2.7,0.5,0.5,0.2,1,3.53553390593274,45,45,18,26,0.95,drywall,patch_ffd,drywall,0.0160521438864842,0.324609889176363,2,0,0.369561772344501,0,0.994263256082619,,0,1.70171330616454,leading_edge,4.60863672569321,0.123934661115063,0.330752091656543,-9.86748211637348,0.205455723049015,0.00265414314490442,2,1,1,1,19,0,1,0.141467371911789,113.084265719163,0.00146810620284214,dielectric,0.000542555930312295,4.98054474708171e-09,4.22407749773123e-09,18,1,156.603933353229,1,1,3.98443579766539e-09,2.25691494505561e-08,10.2723914230287,8.96498054474708e-09,R,3.53553390593274
4,B,2.5,2,2.7,0.3,2,0.2,2,3.33016516106934,41.3477772196937,41.3477772196937,28,34,1.05,brick,patch_ffd,brick,0.0248027973970623,0.477056294209172,2,0,0.315540200457394,0,0.995514544274778,,0,1.61359024969883,leading_edge,3.31599542585611,0.173111350834034,2.48964736895214,2.37822660115178,0.802843162195833,0.0277374616278359,2,1,1,1,18,0,1,0.209352675246711,73.3031778610016,0.00155864319233699,dielectric,0.000491814585351566,7.47081712062257e-09,5.45830215824654e-09,18,4,112.035206741594,1,1,9.96108949416347e-10,2.1827288673077e-08,8.13407828226951,8.46692607003891e-09,R,3.33016516106934
5,C,2.5,2,2.7,0.5,0.5,0.2,1,3.53553390593274,45,45,18,26,0.95,drywall,patch_ffd,drywall,0.0154275442388472,0.329283886904608,2,1,291584825.583914,1,0.989486498003986,,0,1.68137627197364,leading_edge,0.48475808287279,0.123439748212335,1.07628553225627,-0.507308639477962,0.926424499959959,0.00019789117358382,2,1,1,0,24,0,1,0.140822890338218,97.2872131404153,0,dielectric,0.000291584825583914,4.98054474708171e-09,7.19097210481195e-09,12,4,146.267876347603,1,1,9.96108949416347e-10,3.14532578652492e-08,9.22141007225387,1.14552529182879e-08,R,3.53553390593274
6,C,2.5,2,2.7,0.3,2,0.2,2,3.33016516106934,41.3477772196937,41.3477772196937,28,34,1.05,brick,patch_ffd,brick,0.0215586821135527,0.414670036050648,2,0,0.315540200457394,0,0.995082372624361,,0,1.63073880239379,leading_edge,3.72065556838491,0.164714915225798,2.14097784867515,2.1976019670224,0.831651734391815,0.0158126964658358,2,1,1,1,18,0,1,0.197196045072833,76.2390049198353,0.00155864319233699,dielectric,0.000491814585351566,7.47081712062257e-09,5.33322459216811e-09,15,4,128.887266923013,1,1,9.96108949416347e-10,2.24933585630562e-08,8.23284973029367,8.46692607003891e-09,R,3.33016516106934
