plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
P1-2,observed,,,,low,-31.4165875863492,-31.4165875863492,
P1-2,conditional,,,,low,-30.05012857079552,-30.05012857079552,
P1-2,constant,,,,low,-30.454373739597774,-30.454373739597774,
P1-2,observed,,,,mid,-31.992846548554375,-31.992846548554375,
P1-2,conditional,,,,mid,-30.38546112136239,-30.38546112136239,
P1-2,constant,,,,mid,-30.454373739597774,-30.454373739597774,
P1-2,observed,,,,high,-30.89199401064295,-30.89199401064295,
P1-2,conditional,,,,high,-30.869522283034605,-30.869522283034605,
P1-2,constant,,,,high,-30.454373739597774,-30.454373739597774,
