EL_db,L_m,P_lin,case_id,incidence_deg,link_id,los_flag_ray,material_class,n_bounce,parity,ray_index,run_id,scenario_id,surface_seq,tau_s
2.7199659283313338,5.0,1.9015384099281446e-07,0,53.13010235415599,A2_0,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,1.6678204759907603e-08
2.7199659283313338,5.0,1.9015384099281446e-07,1,53.13010235415599,A2_1,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,1.6678204759907603e-08
2.7199659283313338,5.0,1.9015384099281446e-07,2,53.13010235415599,A2_2,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,1.6678204759907603e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,3,45.0,A2_3,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,1.8869234693997473e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,4,45.0,A2_4,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,1.8869234693997473e-08
2.7199659283313338,5.656854249492381,1.4855768827563644e-07,5,45.0,A2_5,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,1.8869234693997473e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,6,38.65980825409008,A2_6,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.1358523427006454e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,7,38.65980825409008,A2_7,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.1358523427006454e-08
2.7199659283313338,6.4031242374328485,1.1594746402000896e-07,8,38.65980825409008,A2_8,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.1358523427006454e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,9,63.43494882292201,A2_9,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.2376159751488378e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,10,63.43494882292201,A2_10,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.2376159751488378e-08
2.7199659283313338,6.708203932499369,1.0564102277378595e-07,11,63.43494882292201,A2_11,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.2376159751488378e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,12,56.309932474020215,A2_12,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,13,56.309932474020215,A2_13,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193009e-08,14,56.309932474020215,A2_14,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.405364897781377e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,15,50.1944289077348,A2_15,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.6052188664154634e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,16,50.1944289077348,A2_16,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.6052188664154634e-08
2.719965928331348,7.810249675906654,7.793190204623549e-08,17,50.1944289077348,A2_17,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.6052188664154634e-08
2.719965928331348,8.54400374531753,6.51211784221968e-08,18,69.44395478041653,A2_18,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.8499728786764644e-08
2.719965928331348,8.54400374531753,6.51211784221968e-08,19,69.44395478041653,A2_19,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.8499728786764644e-08
2.719965928331348,8.54400374531753,6.51211784221968e-08,20,69.44395478041653,A2_20,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.8499728786764644e-08
2.7199659283313338,8.94427190999916,5.94230753102546e-08,21,63.43494882292201,A2_21,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.983487966865117e-08
2.7199659283313338,8.94427190999916,5.94230753102546e-08,22,63.43494882292201,A2_22,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.983487966865117e-08
2.7199659283313338,8.94427190999916,5.94230753102546e-08,23,63.43494882292201,A2_23,0.0,1,1.0,odd,0.0,A2_20260301T084857Z,A2,1,2.983487966865117e-08
