hole_type,pool_n,selected_n,status,strata
none,28,,PASS,LOS0_q1
none,7,,PASS,LOS0_q2
structural_hole,0,,FAIL,LOS0_q3
none,26,,PASS,LOS1_q1
none,51,,PASS,LOS1_q2
none,49,,PASS,LOS1_q3
