W_target_s,expected_sign,expected_sign_hit_rate,median_xpd_target_ex_db,n_eval,n_links,p10_xpd_target_ex_db,p90_xpd_target_ex_db,scenario,status,target_n
3.0000000000000004e-09,negative,1.0,-32.934837696767445,27,27,-32.934837696767445,-32.934837696767445,A2,PASS,1
3.0000000000000004e-09,positive,0.0,-16.93483769676745,24,24,-25.41451287851512,-16.93483769676745,A3,FAIL,2
