scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,r0,outage_lp,outage_cp,delta_outage
mixed_office,False,P0,0.0,345,9.659055146111546e-09,9.659055143502818e-09,-2.6087256784629134e-18,9.659055146111545e-11,0.5420289855072464,1.0,4.849690528903654e-09,4.849690528903654e-09,-7.62720586358169e-17,4.849690528903654e-09,0.05217391304347826,0.05217391304347826,0.0
mixed_office,False,P0,10.0,345,9.659054718885658e-08,9.659054718925451e-08,3.9793981891501402e-19,9.659054718885657e-10,0.5246376811594203,1.0,4.8496904654885876e-08,4.849690465183499e-08,-7.627208494016038e-17,4.8496904654885876e-08,0.05217391304347826,0.05217391304347826,0.0
mixed_office,False,P0,20.0,345,9.659050405114775e-07,9.659050405295614e-07,1.8084163704895157e-17,9.659050405114776e-09,0.5768115942028985,1.0,4.849689871365628e-07,4.84968987182326e-07,-7.62721299387857e-17,4.849689871365628e-07,0.05217391304347826,0.05217391304347826,0.0
mixed_office,False,P1,0.0,36,1.5502911955005956e-08,1.5502911960514492e-08,5.508537772639761e-18,1.5502911955005957e-10,0.5555555555555556,1.0,3.2314477521179196e-09,3.2314477597451246e-09,-4.5763233444410853e-17,4.849690528903654e-09,0.2777777777777778,0.2777777777777778,0.0
mixed_office,False,P1,10.0,36,1.5502909515439751e-07,1.550290951505839e-07,-3.813607761606533e-18,1.5502909515439751e-09,0.5555555555555556,1.0,3.231447732009807e-08,3.2314477346793285e-08,-7.627206442608119e-17,4.8496904654885876e-08,0.2777777777777778,0.2777777777777778,0.0
mixed_office,False,P1,20.0,36,1.5502885002717724e-06,1.5502885002857555e-06,1.398319635236166e-17,1.5502885002717725e-08,0.6111111111111112,1.0,3.2314474533981747e-07,3.231447453588855e-07,-9.534013595370252e-17,4.849689871365628e-07,0.2777777777777778,0.2777777777777778,0.0
mixed_office,False,P2,0.0,36,2.7032542070116058e-08,2.7032542064183787e-08,-5.932270456343827e-18,2.703254207011606e-10,0.5555555555555556,1.0,2.268038051737029e-09,2.268037971651367e-09,-6.864485616367572e-17,4.849690528903654e-09,0.16666666666666666,0.16666666666666666,0.0
mixed_office,False,P2,10.0,36,2.7032533211734675e-07,2.7032533211819426e-07,8.474876208643336e-19,2.7032533211734674e-09,0.6111111111111112,1.0,2.2680379727136724e-08,2.2680379780527163e-08,-8.771286234402867e-17,4.8496904654885876e-08,0.16666666666666666,0.16666666666666666,0.0
mixed_office,False,P2,20.0,36,2.7032444550204074e-06,2.7032444550415934e-06,2.1186388432141036e-17,2.7032444550204074e-08,0.4722222222222222,1.0,2.2680378126398771e-07,2.2680378133644614e-07,-1.2584897892949174e-16,4.849689871365628e-07,0.16666666666666666,0.16666666666666666,0.0
open_office,False,P0,0.0,343,9.626958979769385e-09,9.626958982304374e-09,2.5349894928551883e-18,9.626958979769386e-11,0.5714285714285714,1.0,4.9425106000131235e-09,4.942510598487682e-09,-6.101764872845087e-17,4.9425106000131235e-09,0.052478134110787174,0.052478134110787174,0.0
open_office,False,P0,10.0,343,9.626958575358342e-08,9.62695857596318e-08,6.048395019833735e-18,9.626958575358343e-10,0.565597667638484,1.0,4.9425105118847144e-08,4.942510519206831e-08,-9.152646870861906e-17,4.9425105118847144e-08,0.052478134110787174,0.052478134110787174,0.0
open_office,False,P0,20.0,343,9.626954483588943e-07,9.62695448375883e-07,1.698882058366782e-17,9.626954483588943e-09,0.5918367346938775,1.0,4.942509799467134e-07,4.942509798750176e-07,-9.152646275291864e-17,4.942509799467134e-07,0.052478134110787174,0.052478134110787174,0.0
open_office,False,P1,0.0,36,1.3842122915963066e-08,1.3842122911725727e-08,-4.237337165309698e-18,1.3842122915963066e-10,0.5,1.0,2.315539836249096e-09,2.3155398743851252e-09,-8.00856642145857e-17,4.9425106000131235e-09,0.2777777777777778,0.2777777777777778,0.0
open_office,False,P1,10.0,36,1.3842121370785778e-07,1.3842121373201058e-07,2.4152808104173935e-17,1.384212137078578e-09,0.75,1.0,2.3155398226773523e-08,2.3155398306859184e-08,-3.8136016496608955e-17,4.9425105118847144e-08,0.2777777777777778,0.2777777777777778,0.0
open_office,False,P1,20.0,36,1.3842105892303273e-06,1.3842105892701582e-06,3.983086554733973e-17,1.3842105892303273e-08,0.7777777777777778,1.0,2.3155396532095575e-07,2.3155396538578694e-07,-8.389898400245287e-17,4.942509799467134e-07,0.2777777777777778,0.2777777777777778,0.0
open_office,False,P2,0.0,36,3.863846868904861e-08,3.863846868269261e-08,-6.356006127088994e-18,3.8638468689048613e-10,0.5,1.0,2.230186905764795e-09,2.230186882883177e-09,-4.9576839126577235e-17,4.9425106000131235e-09,0.25,0.25,0.0
open_office,False,P2,10.0,36,3.8638450298194213e-07,3.86384502974315e-07,-7.627169936370418e-18,3.863845029819421e-09,0.4444444444444444,1.0,2.2301868906342215e-08,2.2301868944478246e-08,-9.915359077880469e-17,4.9425105118847144e-08,0.25,0.25,0.0
open_office,False,P2,20.0,36,3.863826636783105e-06,3.863826636724208e-06,-5.889714595320802e-17,3.863826636783105e-08,0.4444444444444444,1.0,2.2301867464980784e-07,2.2301867466887582e-07,-1.8305281962671888e-16,4.942509799467134e-07,0.25,0.25,0.0
straight_corridor,False,P0,0.0,117,2.7925187568713856e-08,2.7925187569496137e-08,7.822776008250504e-19,2.7925187568713854e-10,0.5384615384615384,1.0,3.517261281237873e-09,3.517261275136108e-09,-6.101764657778128e-17,3.517261281237873e-09,0.05128205128205128,0.05128205128205128,0.0
straight_corridor,False,P0,10.0,117,2.792518138965028e-07,2.792518138965028e-07,-1.436607696331412e-23,2.7925181389650285e-09,0.5641025641025641,1.0,3.5172612505962553e-08,3.517261247240285e-08,-9.152646275291864e-17,3.5172612505962553e-08,0.05128205128205128,0.05128205128205128,0.0
straight_corridor,False,P0,20.0,117,2.7925119578951106e-06,2.79251195792953e-06,3.44199901218879e-17,2.7925119578951108e-08,0.5641025641025641,1.0,3.5172609031152685e-07,3.517260903694936e-07,-1.2813681492002558e-16,3.5172609031152685e-07,0.05128205128205128,0.05128205128205128,0.0
straight_corridor,False,P1,0.0,36,1.8789193281857508e-08,1.87891932691455e-08,-1.2712009858800797e-17,1.8789193281857508e-10,0.4444444444444444,1.0,3.775977987432809e-09,3.7759780179416325e-09,-8.008565987188749e-17,3.517261281237873e-09,0.027777777777777776,0.027777777777777776,0.0
straight_corridor,False,P1,10.0,36,1.878919091230315e-07,1.878919091230315e-07,-1.1120983790990706e-23,1.878919091230315e-09,0.4444444444444444,1.0,3.7759779838178304e-08,3.775977980004228e-08,-9.534006316180862e-17,3.5172612505962553e-08,0.027777777777777776,0.027777777777777776,0.0
straight_corridor,False,P1,20.0,36,1.8789167205016944e-06,1.8789167205588984e-06,5.720382525652237e-17,1.8789167205016944e-08,0.6666666666666666,1.0,3.775977601354824e-07,3.775977602651449e-07,-1.1059420671701741e-16,3.5172609031152685e-07,0.027777777777777776,0.027777777777777776,0.0
straight_corridor,False,P2,0.0,36,2.97460259450162e-08,2.97460259424738e-08,-2.5423994569013247e-18,2.97460259450162e-10,0.5277777777777778,1.0,3.650255815352895e-09,3.650255788657674e-09,-7.627205119119139e-17,3.517261281237873e-09,0.05555555555555555,0.05555555555555555,0.0
straight_corridor,False,P2,10.0,36,2.9746020636187616e-07,2.9746020636568977e-07,3.8135873578180896e-18,2.974602063618762e-09,0.5833333333333334,1.0,3.650255750746841e-08,3.650255755323165e-08,-9.152646606164109e-17,3.5172612505962553e-08,0.05555555555555555,0.05555555555555555,0.0
straight_corridor,False,P2,20.0,36,2.974596756594585e-06,2.974596756626365e-06,3.1779782090648137e-17,2.974596756594585e-08,0.5277777777777778,1.0,3.6502553734309794e-07,3.6502553735453865e-07,-1.7542581733228594e-16,3.5172609031152685e-07,0.05555555555555555,0.05555555555555555,0.0
l_corridor_proxy,True,P1,0.0,4,7.218067927654082e-08,7.218067927272722e-08,-3.813605371973652e-18,7.218067927654082e-10,0.75,1.0,5.083717076300701e-08,5.083717080114303e-08,-7.779750458963718e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,10.0,4,7.218066275677618e-07,7.218066276173386e-07,4.95768384027942e-17,7.218066275677618e-09,0.75,1.0,5.083716295575935e-07,5.083716294996267e-07,-5.796682680029013e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,20.0,4,7.21804975702324e-06,7.2180497571795965e-06,1.5635762338193394e-16,7.21804975702324e-08,0.75,1.0,5.083708471029662e-06,5.08370847095339e-06,-8.542407741189608e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,0.0,4,4.212047469237544e-07,4.212047469199407e-07,-3.813627705850191e-18,4.212047469237544e-09,0.5,1.0,2.5431614246569106e-08,2.5431614209958515e-08,-3.8898765364272265e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,10.0,4,4.212039615333576e-06,4.2120396152763715e-06,-5.72047472871785e-17,4.212039615333576e-08,0.25,1.0,2.543161176311403e-07,2.5431611773868395e-07,-2.059347158946123e-16,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,20.0,4,4.211961080630643e-05,4.2119610805482745e-05,-8.236762254919998e-16,4.211961080630643e-07,0.25,1.0,2.5431587196194898e-06,2.543158719524912e-06,-1.7022909232396188e-15,0.0,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,0.0,4,1.6913985666079916e-08,1.69139856508255e-08,-1.525441362967879e-17,1.6913985666079917e-10,0.25,1.0,3.656122086804704e-09,3.6561220395160265e-09,-5.644132418459789e-17,2.373818745590451e-09,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,10.0,4,1.6913983871333717e-07,1.6913983864850593e-07,-6.483125161888268e-17,1.6913983871333717e-09,0.0,1.0,3.656121996927804e-08,3.6561219940294656e-08,-1.0449272101762907e-16,2.373818717749338e-08,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,20.0,4,1.6913966196545914e-06,1.6913966196355235e-06,-1.9067982192115182e-17,1.6913966196545916e-08,0.75,1.0,3.656121573547385e-07,3.6561215719532997e-07,-1.6856116057224962e-16,2.3738185894478705e-07,0.0,0.0,0.0
lobby_blocker_proxy,True,P3,0.0,4,7.888040398919266e-09,7.888040456123312e-09,5.720404511423602e-17,7.888040398919266e-11,1.0,1.0,3.482073640064585e-09,3.482073688115982e-09,4.576323528488772e-17,2.373818745590451e-09,0.0,0.0,0.0
lobby_blocker_proxy,True,P3,10.0,4,7.888040247004348e-08,7.88804024700435e-08,8.271806125530277e-24,7.888040247004348e-10,0.75,1.0,3.482073629703075e-08,3.4820736322963253e-08,-2.5932494030108173e-17,2.373818717749338e-08,0.0,0.0,0.0
lobby_blocker_proxy,True,P3,20.0,4,7.888038124658703e-07,7.888038124582431e-07,-7.62714787822075e-18,7.888038124658702e-09,0.5,1.0,3.4820732050589867e-07,3.482073204448811e-07,-6.101754566174655e-17,2.3738185894478705e-07,0.0,0.0,0.0
