link,abs_H11_mid,abs_H21_mid,gamma_mid,gamma_fp,tx_coupling_ratio,rx_coupling_ratio,h11_dominant
ideal_to_ideal,0.00183513275355267,0,0,0,0,0,1
ideal_to_patch,0.00396532407492515,0.00107459234531575,0.270997357343619,0.270997357343619,0,0.270997357343619,1
patch_to_ideal,0.00396532407492515,0.00107459234531575,0.270997357343619,0.270997357343619,0.270997357343619,0,1
patch_to_patch,0.00919745108091861,0,0,6.11579319898528e-18,0.270997357343619,0.270997357343619,1
