feature,AUC,n_valid
gamma_cp_3_fp_only,0.942164948453609,197
gamma_cp_2_freq_db,0.81,197
gamma_cp_1_freq_avg,0.808762886597938,197
rise_time_fp,0.604072164948454,197
mean_excess_delay,0.567422680412371,197
rms_delay_spread,0.548969072164948,197
max_excess_delay,0.547422680412371,197
fp_kurtosis,0.528969072164948,197
num_significant_peaks,0.524484536082474,197
kurtosis_total,0.454536082474227,197
skewness_total,0.45340206185567,197
a_fp_6_fp_to_2nd_peak,0.447525773195876,197
energy_concentration_50ns,0.435773195876289,197
peak_to_avg_ratio,0.395567010309278,197
a_fp_2_peak_to_total,0.381546391752577,197
fp_to_total_ratio,0.375154639175258,197
k_factor_estimate,0.375154639175258,197
gamma_cp_6_phase_circvar,0.18659793814433,197
