case_name,bounce_count,abs_H11_mid,abs_H21_mid,gamma_mid,gamma_fp,path_length_m,delay_ns
ideal_los_only,0,0.00183513275355267,0,0,0,2,6.67128190396304
patch_los_only,0,0.00919745108091861,0,0,6.11579319898528e-18,2,6.67128190396304
ideal_1bounce_only,1,7.29713681151058e-06,0.00129763481441463,177.827941003892,177.827941003892,2.82842712474619,9.43461734699874
patch_1bounce_only,1,3.65723181196072e-05,0.00650358002894909,177.827941003892,177.827941003892,2.82842712474619,9.43461734699874
