ar_db,gamma_mid_patch_patch,gamma_mid_ideal_patch,gamma_mid_patch_ideal,gamma_fp_patch_patch,gamma_fp_ideal_patch,coupling_ratio
0,0,0.0177827941003892,0.0177827941003892,1.13099066239957e-17,0.0177827941003892,0.0177827941003892
1,0,0.0752839218849264,0.0752839218849264,2.62300485017133e-18,0.0752839218849265,0.0752839218849264
3,9.43045774701499e-17,0.188780151444008,0.188780151444008,6.31179175885469e-18,0.188780151444008,0.188780151444008
6,4.7152288735075e-17,0.350061643266633,0.350061643266633,3.41638670186697e-18,0.350061643266633,0.350061643266633
10,0,0.49,0.49,1.28879326367985e-18,0.49,0.49
