scenario_name,proxy,rx_x,rx_y,rx_z,path_count,n_eff,tau_rms_ns,mean_aoa_spread_deg,aoa_azimuth_spread_deg,aoa_elevation_spread_deg,aod_azimuth_spread_deg,aod_elevation_spread_deg,dpr_db,pmi_env,mrs_raw,mrs_score,mrs_label,selected_role,lp_rate_raw_snr_0,cp_rate_raw_snr_0,delta_rate_raw_snr_0,lp_rate_norm_snr_0,cp_rate_norm_snr_0,delta_rate_norm_snr_0,lp_rate_raw_snr_10,cp_rate_raw_snr_10,delta_rate_raw_snr_10,lp_rate_norm_snr_10,cp_rate_norm_snr_10,delta_rate_norm_snr_10,lp_rate_raw_snr_20,cp_rate_raw_snr_20,delta_rate_raw_snr_20,lp_rate_norm_snr_20,cp_rate_norm_snr_20,delta_rate_norm_snr_20
open_office,False,0.5,0.5,1.2,21,1.9043612809446826,5.595020540186655,16.115623703346692,28.42789061556041,3.8033567911329764,18.285436491591998,11.69356810450296,3.7967201178144445,0.00025734017750801756,-0.04889335740465839,42.15945901879477,moderate,,4.334734136543283e-05,0.00017338268344957788,0.00013003534208414505,5.730228132775448e-09,5.730228132775448e-09,0.0,0.00043342330428901353,0.0017330255857014782,0.0012996022814124647,5.7302280601130696e-08,5.730228061638511e-08,1.5254414870449708e-17,0.004329231488693021,0.017250727075844456,0.012921495587151435,5.730227171487665e-07,5.730227170572401e-07,-9.152635687380024e-17
open_office,False,1.0,0.5,1.2,22,1.8244105511080715,5.502361110237399,16.341827659417195,27.90219334926588,4.781461969568511,17.770122753874926,12.130269763750691,4.1877077974165475,0.0002343805038417497,-0.06170163194077969,42.037222031375265,moderate,,3.919018680830263e-05,0.0001567553416980325,0.00011756515488972988,5.165115707753834e-09,5.16511576877148e-09,6.101764624690903e-17,0.00039186133088827134,0.001566905197379883,0.0011750438664916117,5.1651156661699254e-08,5.1651156737971315e-08,7.627206111735874e-17,0.0039145666213574485,0.015604676930958395,0.011690110309600946,5.165114968887102e-07,5.165114969039646e-07,1.5254428105339508e-17
open_office,False,1.5,0.5,1.2,23,2.011092192651726,5.268355516184247,18.235279555980036,25.556092325129697,10.91446678683037,16.770153573272488,12.544683376491522,3.435164674197535,0.00020372161820816754,-0.007319551457179593,42.55622259379868,moderate,,0.000120123993094786,0.0004804441834536549,0.0003603201903588689,1.622698625307121e-08,1.6226986176799148e-08,-7.627206111735874e-17,0.001200851648553492,0.00479824111187816,0.0035973894633246684,1.6226985472353373e-07,1.6226985461675284e-07,-1.0678089085825815e-16,0.011969908471838592,0.04737611051794711,0.03540620204610852,1.6226978082389247e-06,1.622697808177907e-06,-6.101771242135803e-17
open_office,False,2.0,0.5,1.2,22,1.8902825506271406,5.151945074433577,17.8497295123951,24.709050930784148,10.990408094006051,15.880883097487487,12.963887838414028,3.948467349414469,0.00017752082969244379,-0.03673960718973083,42.275449491042394,moderate,,4.486479757750691e-05,0.00017945269533186975,0.00013458789775436285,5.9419710998214666e-09,5.941971084567053e-09,-1.5254413216088482e-17,0.0004485992688406129,0.0017937481181127025,0.0013451488492720897,5.9419709960199555e-08,5.941970994494516e-08,-1.5254395018115006e-17,0.004481130903029726,0.01786016357419589,0.013379032671166163,5.941970146854685e-07,5.941970147159773e-07,3.050875033156061e-17
open_office,False,2.5,0.5,1.2,22,1.7919944894742288,5.126080133711996,17.641498035146277,24.155713617247095,11.127282453045456,15.579039369697973,13.370970242405146,4.426478835430679,0.00015224721656343203,-0.05869954981855272,42.06587268791547,moderate,,6.556892800183824e-05,0.00026225929645362026,0.000196690368451782,8.813802991647716e-09,8.81380300690213e-09,1.5254413216088482e-17,0.0006555661873782223,0.0026206255979556088,0.0019650594105773862,8.813802769656704e-08,8.813802762029498e-08,-7.627206111735874e-17,0.006543392184007076,0.026012019334819732,0.019468627150812656,8.813800435187084e-07,8.813800434881994e-07,-3.050906796891583e-17
open_office,False,3.0,0.5,1.2,22,1.723256064376401,5.0342023781991365,18.23433117314682,24.714615103306006,11.754047242987639,15.226374356754977,13.818864541887047,4.80783933877484,0.00014539540423061744,-0.06440124935316785,42.01145797558892,moderate,,6.310999611900915e-05,0.0002524242709041415,0.00018931427478513236,8.261198652506931e-09,8.261198683015754e-09,3.0508823123454515e-17,0.0006309821328972201,0.0025223595173616636,0.0018913773844644434,8.261198470517753e-08,8.261198472043192e-08,1.5254388400670106e-17,0.006298077048398371,0.025037710162825515,0.018739633114427143,8.261196495031789e-07,8.2611964947267e-07,-3.0508856210679017e-17
open_office,False,3.5,0.5,1.2,23,1.7594521761442226,4.965884999667781,20.985869894063164,24.389363469072627,17.582376319053704,14.635917226272014,16.244700490681264,4.615852690741777,0.00011352410406564981,-0.010806487514476168,42.52294468756967,moderate,,4.533757760228134e-05,0.00018134181917891043,0.0001360042415766291,6.048254397745101e-09,6.04825438249069e-09,-1.5254411561727257e-17,0.00045331210102773467,0.0018124002037228264,0.0013590881026950916,6.048254275549022e-08,6.048254281650788e-08,6.101765948179883e-17,0.004526768705788116,0.018023166250431835,0.01349639754464372,6.048253128182705e-07,6.048253127725072e-07,-4.5763284316018525e-17
open_office,False,4.0,0.5,1.2,24,1.7063991748189304,5.011121005064091,21.357320617831896,24.703089629929753,18.011551605734038,15.009977353082204,16.50526468823521,4.915386109146568,8.171615992863222e-05,-0.0136936206157371,42.495391057954535,moderate,moderate,4.209692173090169e-05,0.0001683805923766415,0.00012628367064573983,5.61433748236736e-09,5.61433748236736e-09,0.0,0.00042091601464388823,0.0016829552495992402,0.001262039234955352,5.6143373644300024e-08,5.614337361379119e-08,-3.0508836358344315e-17,0.004203850523577081,0.016745160967510705,0.012541310443933624,5.614336393584513e-07,5.614336394194689e-07,6.101760654223963e-17
open_office,False,4.5,0.5,1.2,26,1.6688742867038016,4.836691710419603,21.963665534100343,25.2875087158639,18.63982235233679,14.428625259921974,16.76562512928153,5.144060362870395,8.35299248561879e-05,-0.016315409239211744,42.4703697686247,moderate,,4.826149349732904e-05,0.00019303586242499514,0.0001447743689276661,6.411918371026672e-09,6.411918371026672e-09,0.0,0.0004825391107577577,0.0019291465447027567,0.001446607433944999,6.41191822749182e-08,6.411918233593584e-08,6.101763301201923e-17,0.004817829416320589,0.019171569323178532,0.014353739906857944,6.411916865822625e-07,6.411916866280257e-07,4.576317843690012e-17
open_office,False,5.0,0.5,1.2,26,1.6293357037228768,4.803025694429993,22.147497828562017,25.520947366840968,18.774048290283062,14.299807989716104,16.918067333659813,5.390815210386288,4.237403882360619e-05,-0.023302963407115716,42.40368338018835,moderate,,6.395060024964878e-05,0.00025578512982969915,0.00019183452958005038,8.496077787141387e-09,8.496077802395798e-09,1.5254411561727257e-17,0.0006393764954461076,0.0025557815354155873,0.0019164050399694797,8.496077606139722e-08,8.496077609190605e-08,3.0508829740899415e-17,0.00638085820014785,0.025353613722751227,0.018972755522603378,8.496075313321975e-07,8.49607531286434e-07,-4.576349607425534e-17
